Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2021-03-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-03-31,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-04-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-05-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2021-06-15,10000.0,9999.0,-1.0,-0.01,0.01,"{""SOXS"": 0.7145067302538826}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-16,10198.48,10198.48,0.0,0.0,0.0,"{""SOXS"": 0.7145067302538826}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-17,9924.19,9924.19,0.0,0.0,2.6895,"{""SOXS"": 0.7145067302538826}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-18,10622.38,10566.65,-55.72,-0.5246,0.0,"{""SOXS"": 0.7107584962732789}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-06-21,10355.82,10355.82,0.0,0.0,1.9953,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-22,10219.39,10219.39,0.0,0.0,3.2864,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-23,10132.57,10132.57,0.0,0.0,4.108,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-24,9599.28,9599.28,0.0,0.0,9.1549,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-25,9686.1,9686.1,0.0,0.0,8.3334,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-28,8966.77,8966.77,0.0,0.0,15.1409,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-29,8743.53,8743.53,0.0,0.0,17.2536,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-06-30,8768.34,8768.34,0.0,0.0,17.0188,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-01,9165.21,9165.21,0.0,0.0,13.2629,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-02,8991.58,8991.58,0.0,0.0,14.9061,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-06,9053.58,9053.58,0.0,0.0,14.3193,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-07,9425.65,9425.65,0.0,0.0,10.7981,"{""SOXS"": 0.7107584962732789}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-08,9760.51,10013.0,252.49,2.5868,5.2396,"{""SOXS"": 0.7291447116534483}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-07-09,9504.08,9504.08,0.0,0.0,10.0559,"{""SOXS"": 0.7291447116534483}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-12,9160.56,9160.56,0.0,0.0,13.3069,"{""SOXS"": 0.7291447116534483}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-13,9313.23,9313.23,0.0,0.0,11.862,"{""SOXS"": 0.7291447116534483}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-14,9415.02,9415.02,0.0,0.0,10.8987,"{""SOXS"": 0.7291447116534483}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-15,10013.0,10009.12,-3.89,-0.0388,5.2764,"{""SOXS"": 0.7288617773189067}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-07-16,10695.89,10695.89,0.0,0.0,0.0,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-19,10683.17,10683.17,0.0,0.0,0.1189,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-20,10225.32,10225.32,0.0,0.0,4.3996,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-21,9284.18,9284.18,0.0,0.0,13.1986,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-22,9551.27,9551.27,0.0,0.0,10.7016,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-23,9335.06,9335.06,0.0,0.0,12.723,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-26,9373.21,9373.21,0.0,0.0,12.3662,"{""SOXS"": 0.7288617773189067}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-27,9881.94,10230.65,348.71,3.5288,4.3497,"{""SOXS"": 0.754581868298122}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-07-28,9690.81,9690.81,0.0,0.0,9.3969,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-29,9177.3,9177.3,0.0,0.0,14.1979,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-07-30,8979.8,8979.8,0.0,0.0,16.0445,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-02,8808.63,8808.63,0.0,0.0,17.6448,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-03,8650.62,8650.62,0.0,0.0,19.122,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-04,8360.96,8360.96,0.0,0.0,21.8302,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-05,8400.46,8400.46,0.0,0.0,21.4609,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-06,8492.62,8492.62,0.0,0.0,20.5992,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-09,8597.95,8597.95,0.0,0.0,19.6144,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-10,8887.63,8887.63,0.0,0.0,16.9061,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-11,8966.63,8966.63,0.0,0.0,16.1676,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-12,9269.46,9269.46,0.0,0.0,13.3362,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-13,9085.13,9085.13,0.0,0.0,15.0597,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-16,9190.47,9190.47,0.0,0.0,14.0748,"{""SOXS"": 0.754581868298122}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-17,9717.14,9766.01,48.87,0.5029,8.6938,"{""SOXS"": 0.7583766158039124}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-08-18,10215.93,10215.93,0.0,0.0,4.4873,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-19,9964.51,9964.51,0.0,0.0,6.838,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-20,9739.54,9739.54,0.0,0.0,8.9413,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-23,8972.02,8972.02,0.0,0.0,16.1172,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-24,8932.33,8932.33,0.0,0.0,16.4883,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-25,8747.06,8747.06,0.0,0.0,18.2204,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-26,8733.83,8733.83,0.0,0.0,18.3441,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-27,8230.97,8230.97,0.0,0.0,23.0455,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-30,8151.57,8151.57,0.0,0.0,23.7879,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-08-31,8336.83,8336.83,0.0,0.0,22.0557,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-01,8469.16,8469.16,0.0,0.0,20.8186,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-02,8403.0,8403.0,0.0,0.0,21.4371,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-03,8217.74,8217.74,0.0,0.0,23.1692,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-07,8310.37,8310.37,0.0,0.0,22.3032,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-08,8614.73,8614.73,0.0,0.0,19.4576,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-09,8522.1,8522.1,0.0,0.0,20.3236,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-10,8310.37,8310.37,0.0,0.0,22.3032,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-13,8098.64,8098.64,0.0,0.0,24.2827,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-14,8058.94,8058.94,0.0,0.0,24.6539,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-15,7966.31,7966.31,0.0,0.0,25.52,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-16,7900.15,7900.15,0.0,0.0,26.1385,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-17,8257.44,8257.44,0.0,0.0,22.798,"{""SOXS"": 0.7583766158039124}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-20,8879.39,9050.14,170.75,1.923,15.3868,"{""SOXS"": 0.7729601417933959}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-09-21,8955.73,8955.73,0.0,0.0,16.2694,"{""SOXS"": 0.7729601417933959}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-22,8402.74,8402.74,0.0,0.0,21.4396,"{""SOXS"": 0.7729601417933959}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-23,8065.55,8065.55,0.0,0.0,24.5921,"{""SOXS"": 0.7729601417933959}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-24,8106.02,8106.02,0.0,0.0,24.2137,"{""SOXS"": 0.7729601417933959}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-27,8132.99,8132.99,0.0,0.0,23.9616,"{""SOXS"": 0.7729601417933959}",vol_target_off;persistence_off;inverse_blocker_off
2021-09-28,9090.61,8933.44,-157.16,-1.7288,16.4778,"{""SOXS"": 0.7595968829506717}",optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-09-29,9384.09,9384.09,0.0,0.0,12.2646,"{""SOXS"": 0.7595968829506717}",vol_target_off;persistence_off;inverse_blocker_off
