Variant,Profile,Window,Mode,Start Equity,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,CPU Trades,GPU Backend,GPU Final Equity,GPU Return %,CPU-GPU Diff (bps),Sharpe,Sortino,Calmar,Worst Day %,Best Day %,Bootstrap P10 %,Bootstrap P50 %,Bootstrap P90 %
baseline,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,1m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inverse_ma20,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,1m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inverse_ma60,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,1m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,2m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inverse_ma20,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,2m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inverse_ma60,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,2m,paper_live_style_optimistic,10000.0,10000.0,0.0,0.0,0.0,0,cpu_emulated_fallback,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,3m,paper_live_style_optimistic,10000.0,9524.1,-4.759,-475.9,6.9336,1,cpu_emulated_fallback,9524.1,-4.759,0.0,-1.2232,-1.3146,-2.5136,-6.7639,2.3468,-2.7207,0.0,2.3366
inverse_ma20,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,3m,paper_live_style_optimistic,10000.0,9524.1,-4.759,-475.9,6.9336,1,cpu_emulated_fallback,9524.1,-4.759,0.0,-1.2232,-1.3146,-2.5136,-6.7639,2.3468,-2.7207,0.0,2.3366
inverse_ma60,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,3m,paper_live_style_optimistic,10000.0,9524.1,-4.759,-475.9,6.9336,1,cpu_emulated_fallback,9524.1,-4.759,0.0,-1.2232,-1.3146,-2.5136,-6.7639,2.3468,-2.7207,0.0,2.3366
baseline,aggr_adapt_t10_tr2_rv14_b85_m8_M30_intraday_pl_5m,6m,paper_live_style_optimistic,10000.0,25169.47,151.6947,15169.47,35.3406,45,cpu_emulated_fallback,25169.47,151.6947,0.0,2.735,5.2384,14.5055,-11.0645,17.3775,5.5645,135.6264,501.8161
