Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2026-01-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-01-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-02-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2026-03-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
