Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2024-03-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-03-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-04-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2024-05-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
