Variant,Window,CPU Final Equity,CPU Return %,CPU PnL,CPU MaxDD %,CPU Trades,GPU Final Equity,GPU Return %,CPU-GPU Diff (bps)
baseline,1m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
inverse_ma20,1m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
inverse_ma60,1m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
baseline,2m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
inverse_ma20,2m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
inverse_ma60,2m,10000.0,0.0,0.0,0.0,0,10000.0,0.0,0.0
baseline,3m,9524.1,-4.759,-475.9,6.9336,1,9524.1,-4.759,0.0
inverse_ma20,3m,9524.1,-4.759,-475.9,6.9336,1,9524.1,-4.759,0.0
inverse_ma60,3m,9524.1,-4.759,-475.9,6.9336,1,9524.1,-4.759,0.0
baseline,6m,25171.94,151.7194,15171.94,35.3406,45,25171.94,151.7194,0.0
inverse_ma20,6m,28352.11,183.5211,18352.11,24.0718,46,28352.11,183.5211,0.0
inverse_ma60,6m,15220.02,52.2002,5220.02,32.6315,43,15220.02,52.2002,0.0
baseline,1y,48056.78,380.5678,38056.78,37.3342,112,48056.78,380.5678,0.0
inverse_ma20,1y,58253.17,482.5317,48253.17,32.4852,110,58253.17,482.5317,0.0
inverse_ma60,1y,33450.17,234.5017,23450.17,32.6315,93,33450.17,234.5017,0.0
baseline,2y,48717.51,387.1751,38717.51,53.2166,519,48717.51,387.1751,0.0
inverse_ma20,2y,8305.46,-16.9454,-1694.54,91.2912,515,8305.46,-16.9454,0.0
inverse_ma60,2y,8320.0,-16.8,-1680.0,84.3709,516,8320.0,-16.8,0.0
baseline,3y,26718.72,167.1872,16718.72,84.3076,620,26718.72,167.1872,0.0
inverse_ma20,3y,11179.62,11.7962,1179.62,91.2912,637,11179.62,11.7962,0.0
inverse_ma60,3y,37603.88,276.0388,27603.88,84.3709,620,37603.88,276.0388,0.0
baseline,5y,13064.01,30.6401,3064.01,85.6538,1246,13064.01,30.6401,0.0
inverse_ma20,5y,6368.54,-36.3146,-3631.46,93.773,1273,6368.54,-36.3146,0.0
inverse_ma60,5y,32608.85,226.0885,22608.85,84.3709,1273,32608.85,226.0885,0.0
