Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-05-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-22,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-29,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-05-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-23,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-06-30,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-07-21,10000.0,9999.0,-1.0,-0.01,0.01,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-22,9985.0,9985.0,0.0,0.0,0.15,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-23,9971.02,9971.02,0.0,0.0,0.2898,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-24,9957.06,9957.06,0.0,0.0,0.4294,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-25,9943.12,9943.12,0.0,0.0,0.5688,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-28,9929.2,9929.2,0.0,0.0,0.708,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-29,9915.3,9915.3,0.0,0.0,0.847,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-30,9901.42,9901.42,0.0,0.0,0.9858,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-07-31,9887.56,9887.56,0.0,0.0,1.1244,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-01,9873.72,9873.72,0.0,0.0,1.2628,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-04,9859.89,9859.89,0.0,0.0,1.4011,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-05,9846.09,9846.09,0.0,0.0,1.5391,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-06,9832.3,9832.3,0.0,0.0,1.677,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-07,9818.54,9818.54,0.0,0.0,1.8146,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
2025-08-08,9804.79,9804.79,0.0,0.0,1.9521,"{""SOXS"": 176.59667081616152}",vol_target_off;persistence_off
