Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-02-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-02-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-05,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-06,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-12,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-13,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-18,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-19,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-20,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-21,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-24,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-25,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-26,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-27,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-28,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-03-31,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-01,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-02,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-03,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-04,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-07,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-08,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-09,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-10,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-11,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-14,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-15,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-16,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-17,10000.0,10000.0,0.0,0.0,0.0,{},warmup
2025-04-18,10000.0,9999.0,-1.0,-0.01,0.01,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-21,10017.0,10017.0,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-22,10035.03,10035.03,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-23,10053.09,10053.09,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-24,10071.19,10071.19,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-25,10089.32,10089.32,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-28,10107.48,10107.48,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-29,10125.67,10125.67,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-04-30,10143.9,10143.9,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-05-01,10162.16,10162.16,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-05-02,10180.45,10180.45,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-05-05,10198.77,10198.77,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2025-05-06,10217.13,10217.13,0.0,0.0,0.0,"{""SOXL"": 54.2509406832515}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
