Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2024-08-07,10071.19,10071.19,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-08,10089.32,10089.32,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-09,10107.48,10107.48,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-12,10125.67,10125.67,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-13,10143.9,10143.9,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-14,10162.16,10162.16,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-15,10180.45,10180.45,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-16,10198.77,10198.77,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-19,10217.13,10217.13,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-20,10235.52,10235.52,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-21,10253.94,10253.94,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-22,10272.4,10272.4,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-23,10290.89,10290.89,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-26,10309.42,10309.42,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-27,10327.97,10327.97,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-28,10346.56,10346.56,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-29,10365.19,10365.19,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-08-30,10383.84,10383.84,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-02,10402.53,10402.53,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-03,10421.26,10421.26,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-04,10440.02,10440.02,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-05,10458.81,10458.81,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-06,10477.64,10477.64,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-09,10496.5,10496.5,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-10,10515.39,10515.39,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-11,10534.32,10534.32,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-12,10553.28,10553.28,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-13,10572.27,10572.27,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-16,10591.3,10591.3,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-17,10610.37,10610.37,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-18,10629.47,10629.47,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-19,10648.6,10648.6,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-20,10667.77,10667.77,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-23,10686.97,10686.97,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-24,10706.21,10706.21,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-25,10725.48,10725.48,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-26,10744.78,10744.78,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-27,10764.12,10764.12,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-09-30,10783.5,10783.5,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-10-01,10802.91,10802.91,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-10-02,10822.36,10822.36,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-10-03,10841.84,10841.84,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
2024-10-04,10861.35,10861.35,0.0,0.0,0.0,"{""SOXL"": 75.80159810137127}",vol_target_off;persistence_off;inverse_blocker_fallback_soxl
