candidate,accepted,acceptance_reason,overall_score,window_avg_return_pct,window_avg_risk_score,scenario_avg_return_pct,scenario_avg_risk_score,wf_avg_return_pct,wf_avg_risk_score
inv_blocker_w60,True,"ret_gate=True,risk_gate=True",27.84736,23.451609,4.9998,13.500489,6.9998,12.591182,4.9998
inv_blocker_ma20,True,"ret_gate=True,risk_gate=True",17.058307,10.217934,5.811561,3.600272,3.811601,1.62166,8.244365
inv_blocker_ma50,True,"ret_gate=True,risk_gate=True",17.058307,10.217934,5.811561,3.600272,3.811601,1.62166,8.244365
inv_blocker_ma100,True,"ret_gate=True,risk_gate=True",17.058307,10.217934,5.811561,3.600272,3.811601,1.62166,8.244365
inv_blocker_persist,True,"ret_gate=True,risk_gate=True",17.058307,10.217934,5.811561,3.600272,3.811601,1.62166,8.244365
inv_blocker_voltarget,True,"ret_gate=True,risk_gate=True",17.058307,10.217934,5.811561,3.600272,3.811601,1.62166,8.244365
baseline,True,baseline_anchor,-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
warmup_260,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
persist_2_band_0.005,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
persist_2_band_0.01,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
persist_3_band_0.005,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
persist_3_band_0.01,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
vol_target_0.25,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
vol_target_0.35,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
vol_target_0.5,False,"ret_gate=False,risk_gate=False",-12.459622,-6.508118,-4.649632,-2.51272,-3.019815,-1.262777,-5.878179
loss_stop_0.08,False,"ret_gate=False,risk_gate=False",-12.493718,-6.581801,-4.649997,-2.541653,-3.019285,-1.262777,-5.878179
loss_stop_0.12,False,"ret_gate=False,risk_gate=False",-12.493718,-6.581801,-4.649997,-2.541653,-3.019285,-1.262777,-5.878179
loss_stop_0.2,False,"ret_gate=False,risk_gate=False",-12.493718,-6.581801,-4.649997,-2.541653,-3.019285,-1.262777,-5.878179
warmup_120,False,"ret_gate=False,risk_gate=False",-22.995712,-11.578358,-8.821021,-5.805824,-5.07908,-6.643754,-8.5795
warmup_60,False,"ret_gate=False,risk_gate=False",-27.776485,-13.709491,-8.846062,-9.127398,-8.381678,-8.840981,-8.598052
