Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2024-08-07,9943.12,9943.12,0.0,0.0,0.5688,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-08,9929.2,9929.2,0.0,0.0,0.708,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-09,9915.3,9915.3,0.0,0.0,0.847,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-12,9901.42,9901.42,0.0,0.0,0.9858,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-13,9887.56,9887.56,0.0,0.0,1.1244,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-14,9873.72,9873.72,0.0,0.0,1.2628,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-15,9859.89,9859.89,0.0,0.0,1.4011,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-16,9846.09,9846.09,0.0,0.0,1.5391,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-19,9832.3,9832.3,0.0,0.0,1.677,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-20,9818.54,9818.54,0.0,0.0,1.8146,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-21,9804.79,9804.79,0.0,0.0,1.9521,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-22,9791.07,9791.07,0.0,0.0,2.0893,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-23,9777.36,9777.36,0.0,0.0,2.2264,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-26,9763.67,9763.67,0.0,0.0,2.3633,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-27,9750.0,9750.0,0.0,0.0,2.5,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-28,9736.35,9736.35,0.0,0.0,2.6365,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-29,9722.72,9722.72,0.0,0.0,2.7728,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-08-30,9709.11,9709.11,0.0,0.0,2.9089,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-02,9695.52,9695.52,0.0,0.0,3.0448,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-03,9681.94,9681.94,0.0,0.0,3.1806,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-04,9668.39,9668.39,0.0,0.0,3.3161,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-05,9654.85,9654.85,0.0,0.0,3.4515,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-06,9641.34,9641.34,0.0,0.0,3.5866,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-09,9627.84,9627.84,0.0,0.0,3.7216,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-10,9614.36,9614.36,0.0,0.0,3.8564,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-11,9600.9,9600.9,0.0,0.0,3.991,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-12,9587.46,9587.46,0.0,0.0,4.1254,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-13,9574.03,9574.03,0.0,0.0,4.2597,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-16,9560.63,9560.63,0.0,0.0,4.3937,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-17,9547.25,9547.25,0.0,0.0,4.5275,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-18,9533.88,9533.88,0.0,0.0,4.6612,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-19,9520.53,9520.53,0.0,0.0,4.7947,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-20,9507.2,9507.2,0.0,0.0,4.928,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-23,9493.89,9493.89,0.0,0.0,5.0611,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-24,9480.6,9480.6,0.0,0.0,5.194,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-25,9467.33,9467.33,0.0,0.0,5.3267,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-26,9454.07,9454.07,0.0,0.0,5.4593,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-27,9440.84,9440.84,0.0,0.0,5.5916,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-09-30,9427.62,9427.62,0.0,0.0,5.7238,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-01,9414.42,9414.42,0.0,0.0,5.8558,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-02,9401.24,9401.24,0.0,0.0,5.9876,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-03,9388.08,9388.08,0.0,0.0,6.1192,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-04,9374.94,9374.94,0.0,0.0,6.2506,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-07,9361.81,9361.81,0.0,0.0,6.3819,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-08,9348.71,9348.71,0.0,0.0,6.5129,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-09,9335.62,9335.62,0.0,0.0,6.6438,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-10,9322.55,9322.55,0.0,0.0,6.7745,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-11,9309.5,9309.5,0.0,0.0,6.905,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-14,9296.46,9296.46,0.0,0.0,7.0354,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-15,9283.45,9283.45,0.0,0.0,7.1655,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-16,9270.45,9270.45,0.0,0.0,7.2955,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-17,9257.47,9257.47,0.0,0.0,7.4253,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-18,9244.51,9244.51,0.0,0.0,7.5549,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-21,9231.57,9231.57,0.0,0.0,7.6843,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-22,9218.65,9218.65,0.0,0.0,7.8135,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-23,9205.74,9205.74,0.0,0.0,7.9426,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-24,9192.85,9192.85,0.0,0.0,8.0715,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-25,9179.98,9179.98,0.0,0.0,8.2002,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-28,9167.13,9167.13,0.0,0.0,8.3287,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-29,9154.3,9154.3,0.0,0.0,8.457,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-30,9141.48,9141.48,0.0,0.0,8.5852,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-10-31,9128.68,9128.68,0.0,0.0,8.7132,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-11-01,9115.9,9115.9,0.0,0.0,8.841,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
2024-11-04,9103.14,9103.14,0.0,0.0,8.9686,"{""SOXS"": 124.06693852356076}",vol_target_off;persistence_off;inverse_blocker_off
