Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2021-03-22,7447.55,7447.55,0.0,0.0,25.5245,"{""SOXS"": 0.40610178671132036}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-03-23,8049.87,8049.87,0.0,0.0,19.5013,"{""SOXS"": 0.40610178671132036}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-03-24,8382.92,8382.92,0.0,0.0,16.1708,"{""SOXS"": 0.40610178671132036}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-03-25,8326.23,8324.57,-1.67,-0.02,16.7543,"{""SOXL"": 261.36787299094675}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-03-26,9560.84,9380.55,-180.29,-1.8857,6.1945,"{""SOXS"": 0.5359836943745706}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-03-29,9848.18,9937.2,89.02,0.904,0.628,"{""SOXS"": 0.5408288430176157}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-03-30,10003.26,10001.26,-2.0,-0.02,0.0,"{""SOXL"": 290.0596392619264}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-03-31,10758.31,10754.19,-4.12,-0.0383,0.0,"{""SOXL"": 289.9484648654682}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-04-01,11934.28,11701.78,-232.5,-1.9482,0.0,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-04-05,11003.16,11003.16,0.0,0.0,5.9702,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-06,11339.03,11339.03,0.0,0.0,3.0999,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-07,11379.34,11379.34,0.0,0.0,2.7554,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-08,10989.73,10989.73,0.0,0.0,6.085,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-09,11043.47,11043.47,0.0,0.0,5.6257,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-12,11419.65,11419.65,0.0,0.0,2.411,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-13,11486.82,11486.82,0.0,0.0,1.837,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-14,11903.3,11903.3,0.0,0.0,0.0,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-15,11271.86,11271.86,0.0,0.0,5.3047,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-16,11446.52,11446.52,0.0,0.0,3.8375,"{""SOXS"": 0.7699418968333823}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-19,12306.35,12399.01,92.66,0.7529,0.0,"{""SOXS"": 0.7757389865018194}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-04-20,12981.05,12981.05,0.0,0.0,0.0,"{""SOXS"": 0.7757389865018194}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-21,11911.7,11911.7,0.0,0.0,8.2378,"{""SOXS"": 0.7757389865018194}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-22,12750.95,12665.84,-85.1,-0.6674,2.4282,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-04-23,11899.43,11899.43,0.0,0.0,8.3323,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-26,11321.27,11321.27,0.0,0.0,12.7862,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-27,11522.95,11522.95,0.0,0.0,11.2325,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-28,12033.89,12033.89,0.0,0.0,7.2965,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-29,11791.87,11791.87,0.0,0.0,9.1609,"{""SOXS"": 0.7705615057437448}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-04-30,12800.3,12620.82,-179.47,-1.4021,2.775,"{""SOXS"": 0.7597574197142326}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-05-03,13058.31,13058.31,0.0,0.0,0.0,"{""SOXS"": 0.7597574197142326}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-05-04,13668.14,14080.53,412.39,3.0172,0.0,"{""SOXS"": 0.78268064060545}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-05-05,13848.36,13848.36,0.0,0.0,1.6489,"{""SOXS"": 0.78268064060545}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-05-06,13506.93,13506.93,0.0,0.0,4.0737,"{""SOXS"": 0.78268064060545}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-05-07,12906.01,12906.01,0.0,0.0,8.3415,"{""SOXS"": 0.78268064060545}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2021-05-10,14695.1,14398.32,-296.78,-2.0196,0.0,"{""SOXS"": 0.7668736377267888}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-05-11,14251.13,15444.99,1193.86,8.3773,0.0,"{""SOXS"": 0.8311172215407627}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2021-05-12,17417.31,17165.02,-252.29,-1.4485,0.0,"{""SOXL"": 628.7552781772906}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
