Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-03-19,8695.04,8694.17,-0.87,-0.01,44.9037,"{""SPXS"": 64.49371843125576, ""TMV"": 128.3712977578499}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-20,8708.44,8708.44,-0.0,-0.0001,44.8133,"{""SPXS"": 64.13641491876734, ""TMV"": 129.09031597548537}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-21,8796.22,8795.33,-0.89,-0.0101,44.2627,"{""SPXS"": 64.78287657645873, ""SQQQ"": 25.767484207748677}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-24,8295.72,8295.72,-0.0,-0.0001,47.4288,"{""SPXS"": 64.39776609510614, ""SQQQ"": 25.9224745558941}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-25,8193.24,8193.24,-0.0,-0.0001,48.0782,"{""SPXS"": 64.03972153792948, ""SQQQ"": 26.06819221391868}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-26,8559.95,8559.94,-0.01,-0.0001,45.7544,"{""SPXS"": 64.63253868963116, ""SQQQ"": 25.831218323875543}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-27,8666.52,8665.65,-0.87,-0.01,45.0845,"{""SPXS"": 64.95669129971124, ""TMV"": 118.40366183857023}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-28,8765.07,8765.02,-0.04,-0.0005,44.4547,"{""SPXS"": 61.795439585068436, ""TMV"": 124.78609739926551}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-03-31,8565.5,8565.49,-0.0,-0.0,45.7192,"{""SPXS"": 61.4895735339909, ""TMV"": 125.4097960865126}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-01,8412.7,8412.7,-0.01,-0.0001,46.6875,"{""SPXS"": 60.99699033281821, ""TMV"": 126.43058792674888}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-02,8340.29,8340.28,-0.01,-0.0001,47.1464,"{""SPXS"": 61.606386894644665, ""TMV"": 125.19197177226764}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-03,8885.2,8800.89,-84.32,-0.9489,44.2274,"{""SQQQ"": 21.769369415169503, ""TMV"": 133.94852950324633}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-04-04,9470.28,9368.24,-102.04,-1.0774,40.632,"{""SPXS"": 51.27383046877414, ""TMV"": 147.29139256627366}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-04-07,9815.39,10354.38,539.0,5.4914,34.3827,"{""SPXS"": 56.43001401790683, ""TMV"": 149.19105040206477}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-04-08,10902.22,10902.22,-0.0,-0.0,30.911,"{""SPXS"": 56.63489235772626, ""TMV"": 148.6531860849093}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-09,9292.81,9291.73,-1.07,-0.0116,41.1169,"{""SPXS"": 67.09607154527305, ""SQQQ"": 28.511194341088565}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-10,10290.64,10290.63,-0.01,-0.0001,34.7867,"{""SPXS"": 67.52379014349219, ""SQQQ"": 28.33169609612604}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-11,9758.88,9758.88,-0.0,-0.0,38.1565,"{""SPXS"": 67.49812968171331, ""SQQQ"": 28.342468771661213}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-14,9522.85,9521.89,-0.96,-0.01,39.6583,"{""SPXS"": 135.388801405471}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-15,9588.23,9587.28,-0.96,-0.01,39.244,"{""SPXS"": 67.6944007027355, ""SQQQ"": 28.53580240607809}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-16,10338.79,10337.75,-1.05,-0.0101,34.4881,"{""SPXS"": 68.45975686537506, ""TMV"": 140.7119767977358}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-17,10485.31,10485.29,-0.01,-0.0001,33.5531,"{""SPXS"": 69.3379086079363, ""TMV"": 138.95183012416618}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-21,11125.84,11125.83,-0.01,-0.0001,29.4939,"{""SPXS"": 68.84800905295086, ""TMV"": 139.94745196209357}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-22,10614.16,10613.06,-1.09,-0.0103,32.7434,"{""SPXS"": 142.01879324626105}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-23,10098.96,10097.95,-1.01,-0.01,36.0078,"{""SPXS"": 71.00939662313053, ""SQQQ"": 29.702114486153462}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-24,9356.31,9356.3,-0.01,-0.0001,40.7077,"{""SPXS"": 70.1267403209086, ""SQQQ"": 30.08065246646701}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-25,9107.11,9105.29,-1.82,-0.02,42.2984,"{""SPXL"": 24.301189462853028, ""TMF"": 77.14624111053622, ""TQQQ"": 113.24685879324541}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-28,9169.6,9167.77,-1.83,-0.02,41.9024,"{""SPXS"": 70.1683870223093, ""SQQQ"": 30.42735805635529}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-29,8997.43,8996.53,-0.9,-0.01,42.9876,"{""SQQQ"": 30.454355291451364, ""TMV"": 130.18283393977583}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-04-30,9092.73,9090.91,-1.82,-0.02,42.3895,"{""SPXL"": 23.794243832340108, ""TMF"": 75.19004662276068, ""TQQQ"": 110.9557661074113}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-01,9199.07,9199.05,-0.02,-0.0002,41.7042,"{""SPXL"": 23.574656908359717, ""TMF"": 77.6091244395266, ""TQQQ"": 108.58199801948825}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-02,9384.09,9384.06,-0.03,-0.0003,40.5318,"{""SPXL"": 23.035795665661443, ""TMF"": 81.64969280890442, ""TQQQ"": 105.8197122273399}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-05,9215.64,9215.03,-0.61,-0.0067,41.603,"{""SOXL"": 236.06969416428606, ""SPXL"": 23.013792597041164, ""TQQQ"": 105.74461397084525}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-06,8954.07,8952.28,-1.79,-0.02,43.2681,"{""SPXS"": 143.00760004699882}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-07,8855.03,8854.15,-0.89,-0.01,43.8899,"{""SPXS"": 71.50380002349941, ""TMV"": 119.70334999829758}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-08,8904.59,8902.8,-1.78,-0.02,43.5816,"{""SOXL"": 217.9291558335848, ""SPXL"": 22.07657197808423, ""TQQQ"": 100.89844773693373}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-09,8978.8,8978.78,-0.01,-0.0002,43.1001,"{""SOXL"": 212.71731173208082, ""SPXL"": 22.373720386262814, ""TQQQ"": 102.0428882171}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-12,10275.31,10143.18,-132.12,-1.2858,35.7211,"{""SOXL"": 197.97417630678373, ""SPXL"": 23.016805740384356, ""TQQQ"": 102.8097510058484}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;optimistic_trail_touch;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-05-13,10654.22,10630.52,-23.69,-0.2224,32.6328,"{""SOXL"": 191.13424095131003, ""SPXL"": 23.654154110121404, ""TQQQ"": 103.0318160092204}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-05-14,10751.22,10751.22,-0.01,-0.0001,31.8679,"{""SOXL"": 190.82752749780045, ""SPXL"": 23.83436782708037, ""TQQQ"": 102.42186242951392}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-15,10742.41,10742.39,-0.01,-0.0001,31.9238,"{""SOXL"": 194.50237121854582, ""SPXL"": 23.48374990989782, ""TQQQ"": 102.01715630373843}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-16,10839.82,10839.81,-0.01,-0.0001,31.3065,"{""SOXL"": 197.12301210728805, ""SPXL"": 23.254436994187866, ""TQQQ"": 101.66782273936158}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-19,10793.91,10793.9,-0.01,-0.0001,31.5974,"{""SOXL"": 199.88671702223832, ""SPXL"": 23.092040669616946, ""TQQQ"": 100.98150032930161}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-20,10698.37,10698.37,-0.0,-0.0,32.2028,"{""SOXL"": 199.11352148608495, ""SPXL"": 23.146122994845083, ""TQQQ"": 101.13784459745612}",variant=baseline;variant_reason=baseline_hold;vol_target_off;persistence_off;inverse_blocker_off
2025-05-21,10181.01,10181.01,-0.0,-0.0,35.4814,"{""SOXL"": 200.21660500653888, ""SPXL"": 23.18078347044737, ""TQQQ"": 100.43419517196905}",variant=baseline;variant_reason=baseline_hold;vol_target_off;persistence_off;inverse_blocker_off
2025-05-22,10098.35,10098.34,-0.01,-0.0001,36.0053,"{""SOXL"": 204.50207177350595, ""SPXL"": 23.00360972158423, ""TQQQ"": 99.12008865015962}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-23,9774.13,9774.12,-0.01,-0.0001,38.0599,"{""SOXL"": 207.78275501300482, ""SPXL"": 22.727895973878475, ""TQQQ"": 98.75852948940525}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-27,10524.88,10497.32,-27.56,-0.2618,33.4769,"{""SOXL"": 202.97135503270263, ""SPXL"": 22.99550608374708, ""TQQQ"": 99.17433953930893}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-05-28,10336.87,10336.87,-0.0,-0.0,34.4937,"{""SOXL"": 202.80310862677138, ""SPXL"": 23.072335078417954, ""TQQQ"": 98.92692551159476}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-29,10432.98,10432.97,-0.0,-0.0,33.8847,"{""SOXL"": 202.77891286054563, ""SPXL"": 22.974554770154963, ""TQQQ"": 99.3615803620033}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-05-30,10188.53,10188.51,-0.03,-0.0003,35.4339,"{""SOXL"": 210.67944231470742, ""SPXL"": 22.550983293276424, ""TQQQ"": 97.53526949935178}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-06-02,10476.71,10476.7,-0.01,-0.0001,33.6076,"{""SOXL"": 207.25441038121366, ""SPXL"": 22.81016861478413, ""TQQQ"": 98.04113626389542}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-06-03,10906.38,10846.27,-60.1,-0.5511,31.2655,"{""SOXL"": 198.22086554874647, ""SPXL"": 23.215285653070083, ""TQQQ"": 99.1817987858087}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-06-04,11024.43,11024.41,-0.02,-0.0002,30.1366,"{""SOXL"": 193.10622189244947, ""SPXL"": 23.642870762486737, ""TQQQ"": 100.02155520484474}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-06-05,10831.37,10831.36,-0.0,-0.0,31.36,"{""SOXL"": 192.55762548157512, ""SPXL"": 23.568480173506973, ""TQQQ"": 100.62572858968021}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-06-06,11112.31,11112.31,-0.0,-0.0,29.5796,"{""SOXL"": 193.7290383581002, ""SPXL"": 23.48978180821681, ""TQQQ"": 100.35501742990272}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-06-09,11409.21,11418.14,8.93,0.0783,27.6415,"{""SOXL"": 185.4863801223665, ""SPXL"": 24.074513093680967, ""TQQQ"": 102.66474495002453}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
