Date,Start Equity,End Equity,PnL,Return %,Drawdown %,Holdings,Notes
2025-12-17,16652.52,16652.52,0.0,0.0,27.4723,"{""SOXL"": 462.44144215905226}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-18,17840.99,18312.66,471.67,2.6437,20.2418,"{""SOXL"": 474.667195436161}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-12-19,19803.12,19700.82,-102.29,-0.5165,14.1958,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2025-12-22,20428.04,20428.04,0.0,0.0,11.0286,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-23,20635.81,20635.81,0.0,0.0,10.1236,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-24,20876.64,20876.64,0.0,0.0,9.0747,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-26,20876.64,20876.64,0.0,0.0,9.0747,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-29,20692.48,20692.48,0.0,0.0,9.8768,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-30,20621.64,20621.64,0.0,0.0,10.1853,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2025-12-31,19847.21,19847.21,0.0,0.0,13.5583,"{""SOXL"": 472.21533537603085}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-01-02,22307.45,22250.21,-57.24,-0.2566,3.0923,"{""SOXS"": 404.54924149024714}",variant=baseline;variant_reason=override_dd20_ge_12;optimistic_trail_touch;vol_target_off;persistence_off;inverse_blocker_off
2026-01-05,21360.2,21360.2,0.0,0.0,6.9687,"{""SOXS"": 404.54924149024714}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-01-06,19256.54,19256.54,0.0,0.0,16.1308,"{""SOXS"": 404.54924149024714}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
2026-01-07,19822.91,19822.91,0.0,0.0,13.6641,"{""SOXS"": 404.54924149024714}",variant=baseline;variant_reason=override_dd20_ge_12;vol_target_off;persistence_off;inverse_blocker_off
