date,SOXL,SOXS,SPXL,SPXS,SQQQ,TMF,TMV,TQQQ
2024-01-01,100.18,99.86,100.08,99.94,99.9,100.02,99.98,100.12
2024-01-02,100.360324,99.720196,100.160064,99.880036,99.8001,100.040004,99.960004,100.240144
2024-01-03,100.540973,99.580588,100.240192,99.820108,99.7003,100.060012,99.940012,100.360432
2024-01-04,100.721946,99.441175,100.320384,99.760216,99.6006,100.080024,99.920024,100.480865
2024-01-05,100.903246,99.301957,100.400641,99.70036,99.500999,100.10004,99.90004,100.601442
2024-01-08,101.084872,99.162935,100.480961,99.64054,99.401498,100.12006,99.88006,100.722163
2024-01-09,101.266824,99.024106,100.561346,99.580755,99.302097,100.140084,99.860084,100.84303
2024-01-10,101.449105,98.885473,100.641795,99.521007,99.202794,100.160112,99.840112,100.964042
2024-01-11,101.631713,98.747033,100.722308,99.461294,99.103592,100.180144,99.820144,101.085199
2024-01-12,101.81465,98.608787,100.802886,99.401617,99.004488,100.20018,99.80018,101.206501
2024-01-15,101.997917,98.470735,100.883528,99.341976,98.905484,100.22022,99.78022,101.327949
2024-01-16,102.181513,98.332876,100.964235,99.282371,98.806578,100.240264,99.760264,101.449542
2024-01-17,102.36544,98.19521,101.045007,99.222802,98.707771,100.260312,99.740312,101.571282
2024-01-18,102.549697,98.057737,101.125843,99.163268,98.609064,100.280364,99.720364,101.693167
2024-01-19,102.734287,97.920456,101.206743,99.10377,98.510455,100.30042,99.70042,101.815199
2024-01-22,102.919209,97.783367,101.287709,99.044308,98.411944,100.32048,99.68048,101.937377
2024-01-23,103.104463,97.64647,101.368739,98.984881,98.313532,100.340545,99.660543,102.059702
2024-01-24,103.290051,97.509765,101.449834,98.92549,98.215219,100.360613,99.640611,102.182174
2024-01-25,103.475973,97.373252,101.530994,98.866135,98.117003,100.380685,99.620683,102.304792
2024-01-26,103.66223,97.236929,101.612219,98.806815,98.018886,100.400761,99.600759,102.427558
2024-01-29,103.848822,97.100797,101.693508,98.747531,97.920868,100.420841,99.580839,102.550471
