Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
1m,original_composer,S0_prev_like_baseline,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,0.0,0,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S1_threshold_5pct,18769.763601768704,87.69763601768703,8.620689844168508,7,0.0,0.0,-1,18769.763601768704,87.69763601768703,8.620689844168508,7,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S2_sequence_rebalance_then_profit,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,0.0,0,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S3_anchor_off,19306.866156368058,93.06866156368059,8.620689844168506,9,5.371025545993561,537.1025545993543,1,19306.866156368058,93.06866156368059,8.620689844168506,9,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S4_zero_costs,18782.906942084504,87.82906942084506,8.620689844168515,7,0.13143340315802732,13.143340315800742,-1,18782.906942084504,87.82906942084506,8.620689844168515,7,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S5_profit_exec_market_close,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,0.0,0,18769.763601768704,87.69763601768703,8.620689844168508,8,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,original_composer,S6_runtime_like_bundle,19306.866156368058,93.06866156368059,8.620689844168506,9,5.371025545993561,537.1025545993543,1,19306.866156368058,93.06866156368059,8.620689844168506,9,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S0_prev_like_baseline,19596.537734784255,95.96537734784253,8.620689844168508,13,0.0,0.0,0,19596.537734784255,95.96537734784253,8.620689844168508,13,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S1_threshold_5pct,19596.537734784255,95.96537734784253,8.620689844168508,13,0.0,0.0,0,19596.537734784255,95.96537734784253,8.620689844168508,13,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S2_sequence_rebalance_then_profit,16272.045487842755,62.720454878427546,8.620689844168508,9,-33.24492246941499,-3324.4922469414996,-4,16272.045487842755,62.720454878427546,8.620689844168508,9,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
1m,trailing12_4_adapt,S3_anchor_off,20157.298685319805,101.57298685319805,8.620689844168506,15,5.607609505355512,560.7609505355504,2,20157.298685319805,101.57298685319805,8.620689844168506,15,0.0,10000.0,2026-02-19,2026-03-19,yfinance,cpu_emulated_fallback
