window,mode,period,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,cpu_events,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,gpu_events,cpu_gpu_diff_bps,parity_enabled,parity_strict,split_override,split_adjustment_enabled,summary_json,daily_csv,status
2m,strict_split_off,2026-01-21 to 2026-03-21,31304.10908814832,213.04109088148323,21304.10908814832,6.933575978161961,33,31304.10908814832,213.04109088148323,21304.10908814832,6.933575978161961,33,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2026-01-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2026-01-21_to_2026-03-21_synthetic_daily.csv,ok
2m,parity_split_on,2026-01-21 to 2026-03-21,1565.205454407416,-84.34794545592584,-8434.794545592584,94.94639917076253,33,1565.205454407416,-84.34794545592584,-8434.794545592584,94.94639917076253,33,0.0,True,False,True,True,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2026-01-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_2m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2026-01-21_to_2026-03-21_synthetic_daily.csv,ok
3m,strict_split_off,2025-12-21 to 2026-03-21,24735.652039746652,147.35652039746654,14735.652039746652,14.515639510827087,36,24735.652039746652,147.35652039746654,14735.652039746652,14.515639510827087,36,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-12-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-12-21_to_2026-03-21_synthetic_daily.csv,ok
3m,parity_split_on,2025-12-21 to 2026-03-21,1236.7826019873328,-87.63217398012667,-8763.217398012668,94.94639917076253,37,1236.7826019873328,-87.63217398012667,-8763.217398012668,94.94639917076253,37,0.0,True,False,True,True,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-12-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_3m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-12-21_to_2026-03-21_synthetic_daily.csv,ok
4m,strict_split_off,2025-11-21 to 2026-03-21,34743.03013645778,247.43030136457782,24743.030136457783,15.507584535836607,42,34743.03013645778,247.43030136457782,24743.030136457783,15.507584535836607,42,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_4m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-11-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_4m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-11-21_to_2026-03-21_synthetic_daily.csv,ok
4m,parity_split_on,2025-11-21 to 2026-03-21,1737.151506822889,-82.62848493177111,-8262.84849317711,94.94639917076253,43,1737.151506822889,-82.62848493177111,-8262.84849317711,94.94639917076253,43,0.0,True,False,True,True,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_4m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-11-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_4m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-11-21_to_2026-03-21_synthetic_daily.csv,ok
6m,strict_split_off,2025-09-21 to 2026-03-21,39793.88106636636,297.9388106636636,29793.88106636636,15.507584535836589,58,39793.88106636636,297.9388106636636,29793.88106636636,15.507584535836589,58,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-09-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-09-21_to_2026-03-21_synthetic_daily.csv,ok
6m,parity_split_on,2025-09-21 to 2026-03-21,2011.0921247067918,-79.88907875293208,-7988.907875293208,94.94639917076255,90,2011.0921247067918,-79.88907875293208,-7988.907875293208,94.94639917076255,90,0.0,True,False,True,True,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-09-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_6m_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-09-21_to_2026-03-21_synthetic_daily.csv,ok
1y,strict_split_off,2025-03-21 to 2026-03-21,75881.35249810589,658.8135249810589,65881.35249810589,15.507584535836612,270,75881.35249810589,658.8135249810589,65881.35249810589,15.507584535836612,270,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic_daily.csv,ok
1y,parity_split_on,2025-03-21 to 2026-03-21,3902.5407589332276,-60.97459241066772,-6097.459241066772,94.94639917076253,525,3902.5407589332276,-60.97459241066772,-6097.459241066772,94.94639917076253,525,0.0,True,False,True,True,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_parity_split_on_1y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-21_to_2026-03-21_synthetic_daily.csv,ok
2y,strict_split_off,2024-03-21 to 2026-03-21,66590.11284767915,565.9011284767914,56590.11284767915,15.507584535836596,492,66590.11284767915,565.9011284767914,56590.11284767915,15.507584535836596,492,0.0,True,True,False,False,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_2y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2024-03-21_to_2026-03-21_synthetic.json,/home/chewy/projects/trading-compose-dev/composer_original/reports/batch_strict_split_off_2y_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2024-03-21_to_2026-03-21_synthetic_daily.csv,ok
