date,cpu_equity,cpu_pnl,cpu_return_pct,cpu_drawdown_usd,cpu_drawdown_pct,cpu_day_fall_usd,cpu_day_fall_pct,gpu_equity,gpu_pnl,gpu_return_pct,gpu_drawdown_usd,gpu_drawdown_pct,gpu_day_fall_usd,gpu_day_fall_pct,cpu_gpu_diff_bps,sale_time_stock,new_purchase_time_stock
2021-03-19,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.999900009997873,0.00999900009997873,0.999900009997873,0.00999900009997873,9999.000099990002,-0.999900009997873,-0.00999900009998056,0.999900009997873,0.00999900009997873,0.999900009997873,0.00999900009997873,0.0,no change,15:59 | SOXS
2021-03-22,9341.288835952506,-657.7112640374962,-6.577770351639001,658.7111640474941,6.587111640474941,657.7112640374962,6.577770351639,9341.288835952506,-657.7112640374962,-6.577770351639001,658.7111640474941,6.587111640474941,657.7112640374962,6.577770351639,0.0,no change,15:59 | SOXS
2021-03-23,10096.767439926309,755.4786039738028,8.087520011865346,0.0,0.0,0.0,0.0,10096.767439926309,755.4786039738028,8.087520011865346,0.0,0.0,0.0,0.0,0.0,no change,no change
2021-03-24,10514.507102469623,417.7396625433139,4.13736044757671,0.0,0.0,0.0,0.0,10514.507102469623,417.7396625433139,4.13736044757671,0.0,0.0,0.0,0.0,0.0,no change,no change
2021-03-25,10441.311406921472,-73.19569554815098,-0.6961400552096153,73.19569554815098,0.6961400552096155,73.19569554815098,0.6961400552096155,10441.311406921472,-73.19569554815098,-0.6961400552096153,73.19569554815098,0.6961400552096155,73.19569554815098,0.6961400552096155,0.0,no change,15:59 | SOXL
2021-03-26,11989.538156013627,1548.226749092155,14.82789554639512,0.0,0.0,0.0,0.0,11989.538156013627,1548.226749092155,14.82789554639512,0.0,0.0,0.0,0.0,0.0,no change,15:59 | SOXS
2021-03-29,12701.006691277655,711.4685352640281,5.934077910308622,0.0,0.0,0.0,0.0,12701.006691277655,711.4685352640281,5.934077910308622,0.0,0.0,0.0,0.0,0.0,15:59 | SOXS,15:59 | SOXS
2021-03-30,12782.878904588368,81.87221331071305,0.6446120004561351,0.0,0.0,0.0,0.0,12782.878904588368,81.87221331071305,0.6446120004561351,0.0,0.0,0.0,0.0,0.0,no change,15:59 | SOXL
2021-03-31,13750.492417957734,967.613513369366,7.569605568445503,0.0,0.0,0.0,0.0,13750.492417957734,967.613513369366,7.569605568445503,0.0,0.0,0.0,0.0,0.0,no change,no change
2021-04-01,15256.324755670777,1505.8323377130437,10.95111572692824,0.0,0.0,0.0,0.0,15256.324755670777,1505.8323377130437,10.95111572692824,0.0,0.0,0.0,0.0,0.0,no change,15:59 | SOXS
2021-04-05,14345.49819853164,-910.8265571391366,-5.970157110090247,910.8265571391366,5.970157110090242,910.8265571391366,5.970157110090242,14345.49819853164,-910.8265571391366,-5.970157110090247,910.8265571391366,5.970157110090242,910.8265571391366,5.970157110090242,0.0,no change,no change
2021-04-06,14783.394809602003,437.89661107036227,3.052501941795116,472.92994606877437,3.099894330008846,0.0,0.0,14783.394809602003,437.89661107036227,3.052501941795116,472.92994606877437,3.099894330008846,0.0,0.0,0.0,no change,no change
2021-04-07,14835.944812099617,52.550002497613605,0.3554664079151948,420.37994357116077,2.7554470051177002,0.0,0.0,14835.944812099617,52.550002497613605,0.3554664079151948,420.37994357116077,2.7554470051177002,0.0,0.0,0.0,no change,no change
2021-04-08,14327.981531032437,-507.9632810671792,-3.4238687694018943,928.34322463834,6.084972885053949,507.9632810671792,3.4238687694018934,14327.981531032437,-507.9632810671792,-3.4238687694018943,928.34322463834,6.084972885053949,507.9632810671792,3.4238687694018934,0.0,no change,no change
2021-04-09,14398.048201029254,70.06666999681693,0.4890198235184995,858.276554641523,5.6257097851990965,0.0,0.0,14398.048201029254,70.06666999681693,0.4890198235184995,858.276554641523,5.6257097851990965,0.0,0.0,0.0,no change,no change
2021-04-12,14888.49481459723,490.4466135679759,3.406340961776433,367.82994107354716,2.410999680226555,0.0,0.0,14888.49481459723,490.4466135679759,3.406340961776433,367.82994107354716,2.410999680226555,0.0,0.0,0.0,no change,no change
2021-04-13,14976.06811388838,87.57329929114894,0.5881944439762199,280.2566417823982,1.8369866024137091,0.0,0.0,14976.06811388838,87.57329929114894,0.5881944439762199,280.2566417823982,1.8369866024137091,0.0,0.0,0.0,no change,no change
2021-04-14,15519.064729953969,542.9966160655895,3.6257621956328423,0.0,0.0,0.0,0.0,15519.064729953969,542.9966160655895,3.6257621956328423,0.0,0.0,0.0,0.0,0.0,no change,no change
2021-04-15,14695.821510310854,-823.2432196431146,-5.304721862871931,823.2432196431146,5.304721862871928,823.2432196431146,5.304721862871928,14695.821510310854,-823.2432196431146,-5.304721862871931,823.2432196431146,5.304721862871928,823.2432196431146,5.304721862871928,0.0,no change,no change
