window,order_type,period,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,profit_lock_exec_model_effective
1m,close_position,2026-02-19 to 2026-03-19,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,0.0,synthetic
1m,market_order,2026-02-19 to 2026-03-19,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,0.0,synthetic
1m,stop_order,2026-02-19 to 2026-03-19,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,0.0,synthetic
1m,trailing_stop,2026-02-19 to 2026-03-19,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,21970.998962327518,119.70998962327516,11970.998962327518,4.122978246272544,0.0,synthetic
3m,close_position,2025-12-19 to 2026-03-19,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,0.0,synthetic
3m,market_order,2025-12-19 to 2026-03-19,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,0.0,synthetic
3m,stop_order,2025-12-19 to 2026-03-19,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,0.0,synthetic
3m,trailing_stop,2025-12-19 to 2026-03-19,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,27509.423332151255,175.09423332151255,17509.423332151255,14.515639510827086,0.0,synthetic
6m,close_position,2025-09-19 to 2026-03-19,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,0.0,synthetic
6m,market_order,2025-09-19 to 2026-03-19,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,0.0,synthetic
6m,stop_order,2025-09-19 to 2026-03-19,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,0.0,synthetic
6m,trailing_stop,2025-09-19 to 2026-03-19,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,40751.513207032556,307.5151320703256,30751.513207032556,15.507584535836592,0.0,synthetic
1y,close_position,2025-03-19 to 2026-03-19,82333.16924166403,723.3316924166402,72333.16924166403,15.5075845358366,82333.16924166403,723.3316924166402,72333.16924166403,15.5075845358366,0.0,synthetic
1y,market_order,2025-03-19 to 2026-03-19,82333.16924166403,723.3316924166402,72333.16924166403,15.5075845358366,82333.16924166403,723.3316924166402,72333.16924166403,15.5075845358366,0.0,synthetic
