date,cpu_equity,gpu_equity,cpu_gpu_diff_bps
2025-03-19,10000.0000000000,10000.0000000000,0.0000000000
2025-03-20,9999.0000999900,9999.0000999900,0.0000000000
2025-03-21,10098.7605621683,10098.7605621683,0.0000000000
2025-03-24,9525.1043210050,9525.1043210050,0.0000000000
2025-03-25,9407.4396693912,9407.4396693912,0.0000000000
2025-03-26,9828.4874786353,9828.4874786353,0.0000000000
2025-03-27,9949.8627685265,9949.8627685265,0.0000000000
2025-03-28,10063.9583435649,10063.9583435649,0.0000000000
2025-03-31,9834.8623262925,9834.8623262925,0.0000000000
2025-04-01,9659.4235176058,9659.4235176058,0.0000000000
2025-04-02,9576.2743965980,9576.2743965980,0.0000000000
2025-04-03,10200.8557787411,10200.8557787411,0.0000000000
2025-04-04,10975.5809707466,10975.5809707466,0.0000000000
2025-04-07,12130.9242969215,12130.9242969215,0.0000000000
2025-04-08,12772.7563541859,12772.7563541859,0.0000000000
2025-04-09,10885.9497549147,10885.9497549147,0.0000000000
2025-04-10,12056.2351793659,12056.2351793659,0.0000000000
2025-04-11,11433.2473825223,11433.2473825223,0.0000000000
2025-04-14,11155.6021774009,11155.6021774009,0.0000000000
2025-04-15,11232.2017649442,11232.2017649442,0.0000000000
2025-04-16,12111.4338935344,12111.4338935344,0.0000000000
2025-04-17,12284.2933678945,12284.2933678945,0.0000000000
2025-04-21,13034.7315348260,13034.7315348260,0.0000000000
2025-04-22,12433.9883993427,12433.9883993427,0.0000000000
2025-04-23,11830.4898411170,11830.4898411170,0.0000000000
2025-04-24,10961.5936719093,10961.5936719093,0.0000000000
2025-04-25,10667.5223219419,10667.5223219419,0.0000000000
2025-04-28,10740.7205623384,10740.7205623384,0.0000000000
2025-04-29,10540.1040082362,10540.1040082362,0.0000000000
2025-04-30,10650.6767903840,10650.6767903840,0.0000000000
2025-05-01,10777.3634973502,10777.3634973502,0.0000000000
2025-05-02,10994.1203101214,10994.1203101214,0.0000000000
2025-05-05,10796.0864630943,10796.0864630943,0.0000000000
2025-05-06,10488.2518928075,10488.2518928075,0.0000000000
2025-05-07,10373.2846715750,10373.2846715750,0.0000000000
2025-05-08,10430.2927365190,10430.2927365190,0.0000000000
2025-05-09,10519.3071521759,10519.3071521759,0.0000000000
2025-05-12,12038.2296785849,12038.2296785849,0.0000000000
2025-05-13,12644.7063762792,12644.7063762792,0.0000000000
2025-05-14,12788.2729239623,12788.2729239623,0.0000000000
2025-05-15,12777.7764835956,12777.7764835956,0.0000000000
