date,cpu_equity,gpu_equity,cpu_gpu_diff_bps
2025-03-19,6706.9847061819,6706.9847061819,0.0000000000
2025-03-20,6717.9883424951,6717.9883424951,0.0000000000
2025-03-21,6785.0206724836,6785.0206724836,0.0000000000
2025-03-24,6399.6001619649,6399.6001619649,0.0000000000
2025-03-25,6320.5452038092,6320.5452038092,0.0000000000
2025-03-26,6603.4331951031,6603.4331951031,0.0000000000
2025-03-27,6684.9812074575,6684.9812074575,0.0000000000
2025-03-28,6761.6382220043,6761.6382220043,0.0000000000
2025-03-31,6607.7162427973,6607.7162427973,0.0000000000
2025-04-01,6489.8447538719,6489.8447538719,0.0000000000
2025-04-02,6433.9796304743,6433.9796304743,0.0000000000
2025-04-03,6853.6150464884,6853.6150464884,0.0000000000
2025-04-04,7374.1270846929,7374.1270846929,0.0000000000
2025-04-07,8150.3637628581,8150.3637628581,0.0000000000
2025-04-08,8581.5893325945,8581.5893325945,0.0000000000
2025-04-09,7313.9068578037,7313.9068578037,0.0000000000
2025-04-10,8100.1826338440,8100.1826338440,0.0000000000
2025-04-11,7681.6178946851,7681.6178946851,0.0000000000
2025-04-14,7495.0773341009,7495.0773341009,0.0000000000
2025-04-15,7546.5420442319,7546.5420442319,0.0000000000
2025-04-16,8137.2688103548,8137.2688103548,0.0000000000
2025-04-17,8253.4073305044,8253.4073305044,0.0000000000
2025-04-21,8757.6017259452,8757.6017259452,0.0000000000
2025-04-22,8353.9824334341,8353.9824334341,0.0000000000
2025-04-23,7948.5118642090,7948.5118642090,0.0000000000
2025-04-24,7364.7294847415,7364.7294847415,0.0000000000
2025-04-25,7167.1527448489,7167.1527448489,0.0000000000
2025-04-28,7216.3322031845,7216.3322031845,0.0000000000
2025-04-29,7081.5446261819,7081.5446261819,0.0000000000
2025-04-30,7155.8347935853,7155.8347935853,0.0000000000
2025-05-01,7240.9513700654,7240.9513700654,0.0000000000
2025-05-02,7386.5830489813,7386.5830489813,0.0000000000
2025-05-05,7253.5307067918,7253.5307067918,0.0000000000
2025-05-06,7046.7069178364,7046.7069178364,0.0000000000
2025-05-07,6969.4642732601,6969.4642732601,0.0000000000
2025-05-08,7007.7660922590,7007.7660922590,0.0000000000
2025-05-09,7067.5719116660,7067.5719116660,0.0000000000
2025-05-12,8088.0853379161,8088.0853379161,0.0000000000
2025-05-13,8495.5568198015,8495.5568198015,0.0000000000
2025-05-14,8592.0143987258,8592.0143987258,0.0000000000
2025-05-15,8584.9621902452,8584.9621902452,0.0000000000
2025-05-16,8662.8175047099,8662.8175047099,0.0000000000
2025-05-19,8626.1269390167,8626.1269390167,0.0000000000
2025-05-20,8549.7778505738,8549.7778505738,0.0000000000
2025-05-21,8136.3232886503,8136.3232886503,0.0000000000
2025-05-22,8070.2569115518,8070.2569115518,0.0000000000
2025-05-23,7811.1517827683,7811.1517827683,0.0000000000
2025-05-27,8411.1208651268,8411.1208651268,0.0000000000
2025-05-28,8282.5581272006,8282.5581272006,0.0000000000
2025-05-29,8359.5594447854,8359.5594447854,0.0000000000
