date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2024-01-25,36.6,855.68,27.62,258.36,109.43,99.06,50.69,32.45
2024-01-26,33.53,927.14,27.11,263.11,109.04,99.43,50.39,32.66
2024-01-29,34.55,899.65,27.91,255.34,111.45,97.13,52.16,31.49
2024-01-30,33.06,938.13,27.35,260.52,111.22,97.41,53.51,30.72
2024-01-31,31.65,980.27,25.74,275.84,105.73,102.18,55.1,29.79
2024-02-01,32.0,969.28,26.65,266.34,109.71,98.42,58.12,28.16
2024-02-02,33.18,932.63,27.99,252.96,113.15,95.29,54.37,29.96
2024-02-05,34.61,892.32,27.85,254.26,111.89,96.4,51.07,31.78
2024-02-06,33.36,923.47,27.69,255.98,112.79,95.66,52.42,30.93
2024-02-07,34.86,883.16,28.52,248.43,115.57,93.37,51.8,31.32
2024-02-08,36.63,839.19,28.63,247.13,115.71,93.27,50.79,31.98
2024-02-09,38.77,789.71,29.48,240.01,117.59,91.81,50.47,32.15
2024-02-12,38.6,795.21,29.13,243.03,117.39,91.99,50.61,32.07
2024-02-13,36.32,841.02,27.75,254.69,112.56,95.75,48.02,33.72
2024-02-14,38.57,787.88,28.63,246.27,115.56,93.18,48.74,33.27
2024-02-15,38.56,787.88,28.87,244.54,117.78,91.62,49.4,32.79
2024-02-16,37.79,804.37,28.08,251.45,115.97,92.91,48.52,33.4
2024-02-20,35.91,844.68,27.43,257.28,113.98,94.65,48.59,33.34
2024-02-21,35.63,850.18,27.08,260.52,114.27,94.47,47.62,34.02
2024-02-22,40.84,725.58,29.43,237.85,121.3,88.68,48.18,33.62
2024-02-23,39.61,749.4,29.16,240.01,121.43,88.5,50.14,32.27
2024-02-26,40.63,729.25,29.12,240.66,120.15,89.51,49.64,32.62
2024-02-27,40.53,731.08,29.3,238.93,120.72,88.96,48.61,33.29
2024-02-28,39.24,754.9,28.83,242.82,120.17,89.51,49.51,32.68
2024-02-29,42.24,696.27,29.52,237.21,121.33,88.59,50.48,32.07
2024-03-01,47.65,608.32,30.87,226.41,124.88,86.11,51.37,31.48
2024-03-04,49.07,590.0,30.51,229.22,124.34,86.48,50.79,31.87
2024-03-05,46.18,622.98,28.87,241.52,120.62,89.24,52.94,30.51
2024-03-06,49.52,580.83,29.41,236.99,122.42,87.77,53.81,30.03
2024-03-07,54.54,520.37,30.72,226.85,125.97,85.29,53.58,30.18
2024-03-08,48.26,582.67,29.37,236.56,123.59,86.94,53.36,30.3
2024-03-11,46.11,606.49,29.03,239.36,123.24,87.31,53.22,30.37
2024-03-12,48.89,568.01,30.26,229.0,127.19,84.37,51.83,31.18
2024-03-13,45.43,610.15,29.56,234.83,126.52,84.83,51.13,31.63
2024-03-14,42.92,643.13,29.32,236.56,125.63,85.65,48.68,33.14
2024-03-15,42.14,657.79,28.25,245.19,122.91,87.4,48.66,33.19
2024-03-18,41.94,657.79,29.05,238.5,125.13,85.84,48.15,33.52
2024-03-19,40.87,676.36,29.25,236.77,127.26,84.43,48.57,33.26
2024-03-20,42.83,641.15,30.28,228.66,130.6,82.29,48.51,33.3
2024-03-21,45.7,600.38,30.67,225.81,131.82,81.45,48.74,33.15
2024-03-22,45.82,596.68,30.74,225.37,131.08,81.92,50.1,32.23
2024-03-25,45.29,604.09,30.42,227.78,130.04,82.76,49.39,32.69
2024-03-26,44.44,618.91,30.14,229.75,128.98,83.22,49.84,32.41
2024-03-27,45.89,596.68,30.4,228.0,132.2,81.36,51.11,31.59
