cpu_final_equity,cpu_gpu_diff_bps,cpu_max_drawdown_pct,cpu_return_pct,cpu_trade_count,elapsed_sec,end_date,gpu_final_equity,gpu_max_drawdown_pct,gpu_return_pct,gpu_trade_count,profit_lock_exec_model_effective,reports_dir,scenario,split_adjustment_enabled,start_date,status,summary_json,window
75980.66769540054,0.0,36.859360006958156,659.8066769540054,272,2.38,2026-03-20,75980.66769540054,36.859360006958156,659.8066769540054,267,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/1Y_daily_yfinance_synthetic/reports,daily_yfinance_synthetic,,2025-03-20,ok,,1Y
75881.35249810589,0.0,36.86528998000157,658.8135249810589,271,1.92,2026-03-20,75881.35249810589,36.86528998000157,658.8135249810589,267,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/1Y_daily_alpaca_sip_synthetic/reports,daily_alpaca_sip_synthetic,,2025-03-20,ok,,1Y
29294.580833601794,0.0,32.89683036508183,192.94580833601796,,75.4,2026-03-20,29294.580833601794,32.89683036508183,192.94580833601796,,synthetic,,intraday_alpaca_sip_paper_live_style_optimistic,True,2025-03-20,ok,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/intraday_paper_live_verification_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2025-03-20_to_2026-03-20_paper_live_style_optimistic.json,1Y
66656.20348886447,1.0915649607015109e-11,58.97486707246053,566.5620348886447,497,2.62,2026-03-20,66656.2034888644,58.97486707246053,566.5620348886439,491,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/2Y_daily_yfinance_synthetic/reports,daily_yfinance_synthetic,,2024-03-20,ok,,2Y
66590.11284767915,6.555890029043866e-12,58.96848011367173,565.9011284767914,499,2.17,2026-03-20,66590.1128476791,58.96848011367176,565.901128476791,489,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/2Y_daily_alpaca_sip_synthetic/reports,daily_alpaca_sip_synthetic,,2024-03-20,ok,,2Y
16769.656944380487,0.0,52.09485555138766,67.69656944380486,,148.43,2026-03-20,16769.656944380487,52.09485555138766,67.69656944380486,,synthetic,,intraday_alpaca_sip_paper_live_style_optimistic,True,2024-03-20,ok,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/intraday_paper_live_verification_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2024-03-20_to_2026-03-20_paper_live_style_optimistic.json,2Y
41527.137384304886,8.760485398800161e-12,80.62383011063025,315.2713738430489,559,2.87,2026-03-20,41527.13738430492,80.62383011063025,315.2713738430492,545,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/3Y_daily_yfinance_synthetic/reports,daily_yfinance_synthetic,,2023-03-20,ok,,3Y
41359.99056282781,0.0,80.60379580311817,313.5999056282781,550,2.47,2026-03-20,41359.99056282781,80.60379580311816,313.5999056282781,541,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/3Y_daily_alpaca_sip_synthetic/reports,daily_alpaca_sip_synthetic,,2023-03-20,ok,,3Y
8622.210443677848,0.0,86.66026033556913,-13.77789556322152,,224.98,2026-03-20,8622.210443677848,86.66026033556913,-13.77789556322152,,synthetic,,intraday_alpaca_sip_paper_live_style_optimistic,True,2023-03-20,ok,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/intraday_paper_live_verification_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2023-03-20_to_2026-03-20_paper_live_style_optimistic.json,3Y
99229.25539528526,7.332472248430408e-12,80.62382177490048,892.2925539528526,1166,3.94,2026-03-20,99229.25539528519,80.62382177490048,892.2925539528519,1143,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/5Y_daily_yfinance_synthetic/reports,daily_yfinance_synthetic,,2021-03-20,ok,,5Y
101007.5978403073,0.0,80.60379580311819,910.075978403073,1168,3.15,2026-03-20,101007.5978403073,80.60379580311819,910.075978403073,1144,,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/5Y_daily_alpaca_sip_synthetic/reports,daily_alpaca_sip_synthetic,,2021-03-20,ok,,5Y
14233.963267702893,0.0,86.6602603355691,42.33963267702894,,368.88,2026-03-20,14233.963267702893,86.6602603355691,42.33963267702894,,synthetic,,intraday_alpaca_sip_paper_live_style_optimistic,True,2021-03-20,ok,/home/chewy/projects/trading-compose-dev/composer_original/reports/reconciliation_aggr_2026-03-21/intraday_paper_live_verification_aggr_adapt_t10_tr2_rv14_b85_m8_M30_2021-03-20_to_2026-03-20_paper_live_style_optimistic.json,5Y
