month,trailing_events,aggr_events,delta_events_aggr_minus_trailing,trailing_threshold_hits,aggr_threshold_hits,delta_threshold_hits,trailing_avg_hold_days,aggr_avg_hold_days,delta_avg_hold_days,trailing_avg_high_to_exec_drop_pct,aggr_avg_high_to_exec_drop_pct,delta_avg_high_to_exec_drop_pct
2018-05,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-06,0,1,1,1,1,0,0.0,29.999999999999996,29.999999999999996,0.0,2.0098,2.0098
2018-07,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09,1,1,0,2,2,0,28.0,28.0,0.0,4.009600000000007,2.009799999999999,-1.999800000000008
2018-10,0,3,3,3,4,1,0.0,4.000032795261133,4.000032795261133,0.0,2.009799999999999,2.009799999999999
2018-11,0,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,0,0,0,2,5,3,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,1,1,0,1,3,2,2.9999999999999996,3.0,4.440892098500626e-16,4.00960000000001,2.009800000000001,-1.9998000000000085
2019-02,0,1,1,1,1,0,0.0,8.0,8.0,0.0,2.0097999999999985,2.0097999999999985
2019-03,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04,1,2,1,2,2,0,62.0,26.93259468800229,-35.06740531199771,4.009600000000002,2.009799999999996,-1.9998000000000058
2019-05,2,3,1,5,5,0,4.48976950025406,2.962536111624892,-1.5272333886291682,4.009599999999997,2.0098000000000042,-1.999799999999993
2019-06,0,1,1,4,4,0,0.0,14.0,14.0,0.0,2.0098000000000136,2.0098000000000136
2019-07,0,1,1,1,1,0,0.0,23.999999999999996,23.999999999999996,0.0,2.0098000000000007,2.0098000000000007
2019-08,0,2,2,4,4,0,0.0,1.5006057902808727,1.5006057902808727,0.0,2.009799999999998,2.009799999999998
2019-09,0,1,1,2,2,0,0.0,17.0,17.0,0.0,2.0098000000000003,2.0098000000000003
2019-10,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12,0,1,1,1,1,0,0.0,46.0,46.0,0.0,2.009800000000009,2.009800000000009
2020-01,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02,1,1,0,3,3,0,115.99999999999996,53.0,-62.99999999999996,4.0096000000000025,2.0098000000000056,-1.999799999999997
2020-03,0,1,1,3,4,1,0.0,3.9307700535790437,3.9307700535790437,0.0,2.0098000000000016,2.0098000000000016
2020-04,0,0,0,2,3,1,0.0,0.0,0.0,0.0,0.0,0.0
2020-05,1,1,0,5,5,0,6.7685973674840625,6.768597367484061,-1.7763568394002505e-15,4.009600000000002,2.0097999999999896,-1.999800000000012
2020-06,0,2,2,4,5,1,0.0,2.255248502470435,2.255248502470435,0.0,2.0098000000000016,2.0098000000000016
2020-07,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10,0,2,2,2,2,0,0.0,3.0008514528838033,3.0008514528838033,0.0,2.009800000000001,2.009800000000001
2020-11,0,1,1,1,2,1,0.0,3.0,3.0,0.0,2.009799999999983,2.009799999999983
2020-12,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01,0,1,1,2,2,0,0.0,1.0,1.0,0.0,2.009800000000012,2.009800000000012
2021-02,0,2,2,5,5,0,0.0,4.007489236543832,4.007489236543832,0.0,2.0098000000000065,2.0098000000000065
2021-03,0,2,2,4,10,6,0.0,1.0,1.0,0.0,2.0098000000000003,2.0098000000000003
2021-04,0,1,1,4,4,0,0.0,11.0,11.0,0.0,2.009799999999999,2.009799999999999
2021-05,2,4,2,7,8,1,13.461298656318531,1.008153774608848,-12.453144881709683,4.009599999999993,2.009800000000006,-1.9997999999999867
2021-06,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07,2,2,0,3,3,0,20.481549183119135,20.40423202435265,-0.07731715876648693,4.009599999999999,2.009799999999993,-1.9998000000000058
2021-08,0,1,1,1,1,0,0.0,15.0,15.0,0.0,2.009800000000006,2.009800000000006
2021-09,0,1,1,2,2,0,0.0,23.0,23.0,0.0,2.0098000000000047,2.0098000000000047
2021-10,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0
