window,order_type,period,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,cpu_events,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,gpu_events,cpu_gpu_diff_bps,profit_lock_exec_model_effective
1m,close_position,2026-02-19 to 2026-03-19,18435.853206751708,84.35853206751709,8435.853206751708,5.211784130690275,18,18435.853206751708,84.35853206751709,8435.853206751708,5.211784130690275,18,0.0,synthetic
1m,market_order,2026-02-19 to 2026-03-19,18435.853206751708,84.35853206751709,8435.853206751708,5.211784130690275,18,18435.853206751708,84.35853206751709,8435.853206751708,5.211784130690275,18,0.0,synthetic
1m,stop_order,2026-02-19 to 2026-03-19,15317.821770468305,53.17821770468305,5317.821770468305,6.272673009156344,18,15317.821770468305,53.17821770468305,5317.821770468305,6.272673009156344,18,0.0,synthetic
1m,trailing_stop,2026-02-19 to 2026-03-19,15520.042140374073,55.20042140374073,5520.042140374073,6.190942415596309,18,15520.042140374073,55.20042140374073,5520.042140374073,6.190942415596309,18,0.0,synthetic
3m,close_position,2025-12-19 to 2026-03-19,14512.193368119884,45.12193368119883,4512.193368119884,26.82624212812834,26,14512.193368119884,45.12193368119883,4512.193368119884,26.82624212812834,26,0.0,synthetic
3m,market_order,2025-12-19 to 2026-03-19,14512.193368119884,45.12193368119883,4512.193368119884,26.82624212812834,26,14512.193368119884,45.12193368119883,4512.193368119884,26.82624212812834,26,0.0,synthetic
3m,stop_order,2025-12-19 to 2026-03-19,12057.765323821406,20.577653238214054,2057.765323821406,32.286879255668,28,12057.765323821406,20.577653238214054,2057.765323821406,32.286879255668,28,0.0,synthetic
3m,trailing_stop,2025-12-19 to 2026-03-19,12206.342612622786,22.06342612622787,2206.342612622786,31.89387890036879,28,12206.342612622786,22.06342612622787,2206.342612622786,31.89387890036879,28,0.0,synthetic
6m,close_position,2025-09-19 to 2026-03-19,15596.716212345862,55.96716212345862,5596.716212345862,32.89683036508179,81,15596.716212345862,55.96716212345862,5596.716212345862,32.89683036508179,81,0.0,synthetic
6m,market_order,2025-09-19 to 2026-03-19,15596.716212345862,55.96716212345862,5596.716212345862,32.89683036508179,81,15596.716212345862,55.96716212345862,5596.716212345862,32.89683036508179,81,0.0,synthetic
6m,stop_order,2025-09-19 to 2026-03-19,12362.939294923033,23.629392949230343,2362.9392949230332,45.08926788459734,86,12362.939294923033,23.629392949230343,2362.9392949230332,45.08926788459734,86,0.0,synthetic
6m,trailing_stop,2025-09-19 to 2026-03-19,12782.588864356505,27.825888643565055,2782.588864356505,45.74983463640749,84,12782.588864356505,27.825888643565055,2782.588864356505,45.74983463640749,84,0.0,synthetic
1y,close_position,2025-03-19 to 2026-03-19,31417.307950550457,214.17307950550457,21417.307950550457,32.89683036508183,586,31417.307950550457,214.17307950550457,21417.307950550457,32.89683036508183,586,0.0,synthetic
1y,market_order,2025-03-19 to 2026-03-19,31417.307950550457,214.17307950550457,21417.307950550457,32.89683036508183,586,31417.307950550457,214.17307950550457,21417.307950550457,32.89683036508183,586,0.0,synthetic
1y,stop_order,2025-03-19 to 2026-03-19,22376.367523862515,123.76367523862513,12376.367523862515,45.08926788459733,429,22376.367523862515,123.76367523862513,12376.367523862515,45.08926788459733,429,0.0,synthetic
1y,trailing_stop,2025-03-19 to 2026-03-19,23604.053915312776,136.04053915312778,13604.053915312776,45.749834636407485,427,23604.053915312776,136.04053915312778,13604.053915312776,45.749834636407485,427,0.0,synthetic
2y,close_position,2024-03-19 to 2026-03-19,16013.369007555963,60.13369007555962,6013.3690075559625,52.09485555138769,961,16013.369007555963,60.13369007555962,6013.3690075559625,52.09485555138769,961,0.0,synthetic
2y,market_order,2024-03-19 to 2026-03-19,16013.369007555963,60.13369007555962,6013.3690075559625,52.09485555138769,961,16013.369007555963,60.13369007555962,6013.3690075559625,52.09485555138769,961,0.0,synthetic
2y,stop_order,2024-03-19 to 2026-03-19,13948.8878725804,39.488878725804,3948.8878725804007,45.321582287963544,1052,13948.8878725804,39.488878725804,3948.8878725804007,45.321582287963544,1052,0.0,synthetic
2y,trailing_stop,2024-03-19 to 2026-03-19,16259.779185760595,62.59779185760594,6259.779185760595,45.87821301779986,979,16259.779185760595,62.59779185760594,6259.779185760595,45.87821301779986,979,0.0,synthetic
3y,close_position,2023-03-19 to 2026-03-19,9167.853818820913,-8.321461811790865,-832.1461811790869,86.66026033556913,1352,9167.853818820913,-8.321461811790865,-832.1461811790869,86.66026033556913,1352,0.0,synthetic
