date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2026-02-20,67.11,34.0,50.06,70.37,223.44,34.67,40.01,34.51
2026-02-23,65.86,34.8,48.24,72.96,216.62,35.73,40.42,34.16
2026-02-24,68.53,33.2,49.78,70.655,221.31,34.96,40.56,34.0
2026-02-25,71.86,31.8,51.87,67.64,226.74,34.1,40.61,34.01
2026-02-26,65.34,34.4,50.05,70.07,222.95,34.67,41.11,33.59
2026-02-27,62.77,35.8,49.52,70.85,219.73,35.2,41.77,33.12
2026-03-02,62.76,35.8,49.7,70.59,219.81,35.19,40.53,34.04
2026-03-03,53.42,41.2,48.1,72.87,213.94,36.14,40.3,34.26
2026-03-04,56.62,38.6,50.26,69.62,218.35,35.38,39.9,34.59
2026-03-05,54.8,40.09,49.8,70.26,214.89,35.97,39.45,35.0
2026-03-06,47.89,45.17,47.54,73.46,206.17,37.43,38.96,35.42
2026-03-09,53.32,39.78,49.39,70.6,211.53,36.46,39.91,34.59
2026-03-10,54.59,38.82,49.4,70.59,210.31,36.68,38.71,35.64
2026-03-11,56.09,37.73,49.35,70.65,209.54,36.82,37.19,37.01
2026-03-12,50.28,41.75,46.83,74.33,199.91,38.51,36.97,37.28
2026-03-13,50.72,41.3,45.93,75.74,196.35,39.21,36.4,37.86
2026-03-16,53.69,38.86,47.46,73.21,202.26,38.04,37.16,37.02
2026-03-17,54.95,38.07,48.16,72.15,203.85,37.75,37.52,36.7
2026-03-18,54.02,38.7,46.1,75.21,195.34,39.34,36.86,37.37
2026-03-19,54.85,38.11,45.69,75.91,193.75,39.66,37.51,36.67
