date,SOXL,SOXS,TQQQ,SQQQ,SPXL,SPXS,TMF,TMV
2026-01-20,57.94,43.4,50.73,70.77,214.87,36.31,36.43,38.03
2026-01-21,63.48,39.4,52.73,67.97,222.14,35.06,37.26,37.17
2026-01-22,63.72,39.2,53.9,66.47,225.5,34.53,37.7,36.69
2026-01-23,61.6,40.4,54.38,65.91,225.6,34.54,37.93,36.49
2026-01-26,60.7,41.2,55.08,65.07,229.13,34.02,38.47,35.95
2026-01-27,64.96,38.2,56.54,63.33,231.9,33.61,37.74,36.62
2026-01-28,70.09,35.2,57.06,62.79,231.78,33.63,37.48,36.9
2026-01-29,70.47,35.2,56.04,63.88,230.14,33.86,37.51,36.87
2026-01-30,61.79,39.4,54.0,66.26,227.97,34.21,36.93,37.48
2026-02-02,65.2,37.0,55.1,64.91,231.3,33.69,36.57,37.88
2026-02-03,61.2,39.4,52.52,67.96,225.33,34.59,36.78,37.64
2026-02-04,53.19,44.6,49.76,71.49,221.96,35.09,36.49,37.9
2026-02-05,53.25,44.8,47.64,74.58,213.47,36.44,37.61,36.74
2026-02-06,61.75,37.4,50.59,69.99,225.8,34.36,37.66,36.7
2026-02-09,64.03,36.2,51.74,68.41,228.97,33.89,37.66,36.72
2026-02-10,63.34,36.4,51.02,69.38,226.98,34.17,38.96,35.44
2026-02-11,68.05,33.6,51.4,68.88,226.87,34.2,38.3,36.04
2026-02-12,63.1,36.2,48.26,73.1,216.33,35.81,39.86,34.59
2026-02-13,64.59,35.2,48.47,72.73,216.41,35.8,40.42,34.13
2026-02-17,64.35,35.4,48.35,72.96,217.46,35.63,40.71,33.94
2026-02-18,66.29,34.2,49.39,71.4,220.74,35.1,40.2,34.34
2026-02-19,65.23,35.0,48.83,72.21,218.93,35.37,40.33,34.21
2026-02-20,67.11,34.0,50.06,70.37,223.44,34.67,40.01,34.51
2026-02-23,65.86,34.8,48.24,72.96,216.62,35.73,40.42,34.16
2026-02-24,68.53,33.2,49.78,70.655,221.31,34.96,40.56,34.0
2026-02-25,71.86,31.8,51.87,67.64,226.74,34.1,40.61,34.01
2026-02-26,65.34,34.4,50.05,70.07,222.95,34.67,41.11,33.59
2026-02-27,62.77,35.8,49.52,70.85,219.73,35.2,41.77,33.12
2026-03-02,62.76,35.8,49.7,70.59,219.81,35.19,40.53,34.04
2026-03-03,53.42,41.2,48.1,72.87,213.94,36.14,40.3,34.26
2026-03-04,56.62,38.6,50.26,69.62,218.35,35.38,39.9,34.59
2026-03-05,54.8,40.09,49.8,70.26,214.89,35.97,39.45,35.0
2026-03-06,47.89,45.17,47.54,73.46,206.17,37.43,38.96,35.42
2026-03-09,53.32,39.78,49.39,70.6,211.53,36.46,39.91,34.59
2026-03-10,54.59,38.82,49.4,70.59,210.31,36.68,38.71,35.64
2026-03-11,56.09,37.73,49.35,70.65,209.54,36.82,37.19,37.01
2026-03-12,50.28,41.75,46.83,74.33,199.91,38.51,36.97,37.28
2026-03-13,50.72,41.3,45.93,75.74,196.35,39.21,36.4,37.86
2026-03-16,53.69,38.86,47.46,73.21,202.26,38.04,37.16,37.02
2026-03-17,54.95,38.07,48.16,72.15,203.85,37.75,37.52,36.7
2026-03-18,54.02,38.7,46.1,75.21,195.34,39.34,36.86,37.37
2026-03-19,54.85,38.11,45.69,75.91,193.75,39.66,37.51,36.67
