window,start,end,profile,exec_model,exec_model_effective,status,cpu_start_equity,cpu_final_equity,cpu_return_pct,cpu_max_dd_pct,cpu_cagr_pct,cpu_window_trades,gpu_final_equity,gpu_return_pct,gpu_max_dd_pct,gpu_window_trades,cpu_gpu_diff_bps
1m,2026-02-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,18338.27508555365,83.3827508555365,8.629826672505132,365204.5114242789,7,18338.27508555365,83.3827508555365,8.629826672505132,7,0.0
2m,2026-01-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,23729.756697185967,137.29756697185968,14.563106796116504,22987.510814046705,16,23729.756697185967,137.29756697185968,14.563106796116504,16,0.0
3m,2025-12-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,18372.506546297504,83.72506546297504,35.99999999999999,1185.4401554207068,19,18372.506546297504,83.72506546297504,35.99999999999999,19,0.0
6m,2025-09-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,20502.3113892186,105.02311389218599,39.11872329383373,336.3237842934697,27,20502.3113892186,105.02311389218599,39.11872329383373,27,0.0
1y,2025-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,33352.11281045155,233.52112810451553,39.11872329383374,234.9035808814742,229,33352.112810451574,233.52112810451575,39.11872329383373,229,6.544674685709889e-12
2y,2024-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,23264.138397343515,132.64138397343515,62.25657403956084,52.65841058031495,437,23264.138397343515,132.64138397343515,62.25657403956084,436,0.0
3y,2023-03-20,2026-03-20,original_composer,synthetic,synthetic,ok,10000.0,11315.208006754408,13.152080067544091,84.60249729254178,4.207689239915546,471,11315.208006754412,13.152080067544114,84.60249729254178,471,3.215123226121948e-12
1m,2026-02-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,19146.043906599276,91.46043906599274,8.629826672505132,654389.5417396335,13,19146.043906599276,91.46043906599274,8.629826672505132,13,0.0
2m,2026-01-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,28364.848035595413,183.64848035595412,14.563106796116504,70914.3181474086,28,28364.848035595413,183.64848035595412,14.563106796116504,28,0.0
3m,2025-12-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,21961.17570309982,119.6117570309982,35.99999999999999,2618.719500694044,29,21961.17570309982,119.6117570309982,35.99999999999999,29,0.0
6m,2025-09-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,31509.60485014565,215.0960485014565,38.78450297113504,953.8726795948185,52,31509.60485014565,215.0960485014565,38.78450297113504,52,0.0
1y,2025-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,54048.25091862795,440.4825091862795,38.78450297113504,443.6233025297753,252,54048.25091862795,440.4825091862795,38.784502971135026,250,0.0
2y,2024-03-20,2026-03-20,trailing12_4_adapt,synthetic,synthetic,ok,10000.0,39772.951933232434,297.72951933232434,60.8921663605028,99.71504042881645,469,39772.951933232434,297.72951933232434,60.8921663605028,464,0.0
