Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-01-12,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
2026-01-13,9999.0,SOXL,no change,no change,no change,no change,SOXL,10203.95,204.95,2.05,0.0
2026-01-14,10203.95,SOXL,no change,no change,no change,no change,SOXL,10051.83,-152.12,-1.49,1.49
2026-01-15,10051.83,SOXL,09:37,SOXL,15:55,SOXL,SOXL,10927.63,875.8,8.71,0.0
2026-01-16,10927.63,SOXL,no change,no change,no change,no change,SOXL,11404.62,476.99,4.37,0.0
2026-01-20,11404.62,SOXL,no change,no change,no change,no change,SOXL,10913.55,-491.08,-4.31,4.31
2026-01-21,10913.55,SOXL,11:42,SOXL,15:55,SOXL,SOXL,11806.77,893.22,8.18,0.0
2026-01-22,11806.77,SOXL,no change,no change,no change,no change,SOXL,11793.77,-12.99,-0.11,0.11
2026-01-23,11793.77,SOXL,no change,no change,no change,no change,SOXL,11392.79,-400.98,-3.4,3.51
2026-01-26,11392.79,SOXL,no change,no change,no change,no change,SOXL,11264.7,-128.09,-1.12,4.59
2026-01-27,11264.7,SOXL,no change,no change,no change,no change,SOXL,12059.24,794.54,7.05,0.0
2026-01-28,12059.24,SOXL,04:00,SOXL,15:55,SOXL,SOXL,12995.57,936.34,7.76,0.0
2026-01-29,12995.57,SOXL,no change,no change,no change,no change,SOXL,13033.6,38.03,0.29,0.0
2026-01-30,13033.6,SOXL,no change,no change,no change,no change,SOXL,11458.66,-1574.94,-12.08,12.08
2026-02-02,11458.66,SOXL,no change,no change,no change,no change,SOXL,12053.52,594.86,5.19,7.52
2026-02-03,12053.52,SOXL,no change,no change,no change,no change,SOXL,11298.2,-755.32,-6.27,13.31
2026-02-04,11298.2,SOXL,no change,no change,no change,no change,SOXL,9906.0,-1392.2,-12.32,24.0
2026-02-05,9906.0,SOXL,no change,no change,no change,no change,SOXL,9815.09,-90.92,-0.92,24.69
