Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2025-04-10,10000.0,CASH,no change,no change,15:55,SPXS,SPXS,9999.0,-1.0,-0.01,0.01
2025-04-11,9999.0,SPXS,no change,no change,no change,no change,SQQQ,9419.68,-579.32,-5.79,5.8
2025-04-14,9419.68,SPXS,no change,no change,15:55,SPXS,SPXS,9235.59,-184.08,-1.95,7.64
2025-04-15,9235.59,SPXS,no change,no change,15:55,SQQQ,SPXS,9297.44,61.85,0.67,7.03
2025-04-16,9297.44,SQQQ,no change,no change,15:55,TMV,TMV,10050.27,752.82,8.1,0.0
2025-04-17,10050.27,TMV,no change,no change,no change,no change,TMV,10169.68,119.42,1.19,0.0
2025-04-21,10169.68,TMV,no change,no change,no change,no change,TMV,10786.0,616.32,6.06,0.0
2025-04-22,10786.0,TMV,no change,no change,15:55,SPXS,SPXS,10308.95,-477.05,-4.42,4.42
2025-04-23,10308.95,SPXS,no change,no change,15:55,SQQQ,SPXS,9701.62,-607.34,-5.89,10.05
2025-04-24,9701.62,SQQQ,no change,no change,no change,no change,SPXS,9060.41,-641.21,-6.61,16.0
2025-04-25,9060.41,SPXS,no change,no change,15:55,SPXL,SPXL,8829.89,-230.52,-2.54,18.14
2025-04-28,8829.89,TMF,no change,no change,15:55,SPXS,SPXS,8920.96,91.07,1.03,17.29
2025-04-29,8920.96,SPXS,no change,no change,15:55,TMV,TMV,8802.34,-118.62,-1.33,18.39
2025-04-30,8802.34,SQQQ,no change,no change,15:55,SPXL,SPXL,8813.08,10.74,0.12,18.29
2025-05-01,8813.08,TQQQ,no change,no change,no change,no change,TQQQ,8875.21,62.13,0.7,17.72
2025-05-02,8875.21,TQQQ,no change,no change,no change,no change,TQQQ,9029.45,154.24,1.74,16.29
2025-05-05,9029.45,TQQQ,no change,no change,15:55,SOXL,TQQQ,8867.44,-162.01,-1.79,17.79
2025-05-06,8867.44,TQQQ,no change,no change,15:55,SPXS,SPXS,8671.08,-196.36,-2.21,19.61
2025-05-07,8671.08,SPXS,no change,no change,15:55,TMV,SPXS,8608.33,-62.75,-0.72,20.19
2025-05-08,8608.33,TMV,no change,no change,15:55,SOXL,SOXL,8650.0,41.66,0.48,19.8
2025-05-09,8650.0,SOXL,no change,no change,no change,no change,SOXL,8699.5,49.51,0.57,19.34
2025-05-12,8699.5,SOXL,no change,no change,no change,no change,SOXL,9934.2,1234.7,14.19,7.9
2025-05-13,9934.2,SOXL,no change,no change,no change,no change,SOXL,10497.82,563.62,5.67,2.67
2025-05-14,10497.82,SOXL,no change,no change,no change,no change,SOXL,10604.0,106.19,1.01,1.69
2025-05-15,10604.0,SOXL,no change,no change,no change,no change,SOXL,10529.62,-74.38,-0.7,2.38
2025-05-16,10529.62,SOXL,no change,no change,no change,no change,SOXL,10656.81,127.19,1.21,1.2
2025-05-19,10656.81,SOXL,no change,no change,no change,no change,SOXL,10595.27,-61.54,-0.58,1.77
2025-05-20,10595.27,SOXL,no change,no change,no change,no change,SOXL,10506.77,-88.5,-0.84,2.59
2025-05-21,10506.77,SOXL,no change,no change,no change,no change,SOXL,10050.67,-456.1,-4.34,6.82
2025-05-22,10050.67,SOXL,no change,no change,no change,no change,SOXL,9958.43,-92.24,-0.92,7.67
2025-05-23,9958.43,SOXL,no change,no change,no change,no change,SOXL,9589.17,-369.26,-3.71,11.1
2025-05-27,9589.17,SOXL,no change,no change,no change,no change,SOXL,10324.32,735.15,7.67,4.28
2025-05-28,10324.32,SOXL,no change,no change,no change,no change,SOXL,10188.11,-136.21,-1.32,5.54
2025-05-29,10188.11,SOXL,no change,no change,no change,no change,SOXL,10249.55,61.43,0.6,4.97
2025-05-30,10249.55,SOXL,no change,no change,no change,no change,TQQQ,10090.96,-158.59,-1.55,6.44
2025-06-02,10090.96,TQQQ,no change,no change,no change,no change,SOXL,10281.54,190.58,1.89,4.68
2025-06-03,10281.54,SOXL,no change,no change,no change,no change,SOXL,10763.36,481.82,4.69,0.21
2025-06-04,10763.36,SOXL,no change,no change,no change,no change,SOXL,10941.74,178.38,1.66,0.0
2025-06-05,10941.74,SOXL,no change,no change,no change,no change,SOXL,10789.08,-152.67,-1.4,1.4
2025-06-06,10789.08,SOXL,no change,no change,no change,no change,SOXL,11054.07,264.99,2.46,0.0
2025-06-09,11054.07,SOXL,no change,no change,no change,no change,SOXL,11364.29,310.22,2.81,0.0
2025-06-10,11364.29,SOXL,no change,no change,no change,no change,SOXL,11730.11,365.82,3.22,0.0
2025-06-11,11730.11,SOXL,no change,no change,no change,no change,SOXL,11618.25,-111.86,-0.95,0.95
2025-06-12,11618.25,SOXL,no change,no change,no change,no change,SOXL,11686.76,68.52,0.59,0.37
2025-06-13,11686.76,SOXL,no change,no change,no change,no change,SOXL,11105.72,-581.05,-4.97,5.32
2025-06-16,11105.72,SOXL,no change,no change,no change,no change,SOXL,11723.56,617.85,5.56,0.06
2025-06-17,11723.56,SOXL,no change,no change,no change,no change,SOXL,11459.2,-264.36,-2.25,2.31
2025-06-18,11459.2,SOXL,no change,no change,15:55,TMF,SOXL,11455.42,-3.79,-0.03,2.34
2025-06-20,11455.42,SOXL,no change,no change,no change,no change,TMF,11328.73,-126.68,-1.11,3.42
2025-06-23,11328.73,TMF,no change,no change,no change,no change,SOXL,11541.86,213.13,1.88,1.6
2025-06-24,11541.86,SOXL,no change,no change,15:55,SOXS,SOXS,12249.95,708.09,6.13,0.0
2025-06-25,12249.95,SOXS,no change,no change,no change,no change,SOXS,11974.76,-275.19,-2.25,2.25
2025-06-26,11974.76,SOXS,no change,no change,no change,no change,SOXS,11689.29,-285.48,-2.38,4.58
2025-06-27,11689.29,SOXS,no change,no change,no change,no change,SOXS,11744.19,54.9,0.47,4.13
2025-06-30,11744.19,SOXS,no change,no change,no change,no change,SOXS,11714.92,-29.27,-0.25,4.37
2025-07-01,11714.92,SOXS,no change,no change,no change,no change,SOXS,11854.5,139.59,1.19,3.23
2025-07-02,11854.5,SOXS,no change,no change,no change,no change,SOXS,11239.29,-615.22,-5.19,8.25
2025-07-03,11239.29,SOXS,no change,no change,no change,no change,SOXS,11112.05,-127.23,-1.13,9.29
2025-07-07,11112.05,SOXS,no change,no change,no change,no change,SOXS,11699.85,587.79,5.29,4.49
2025-07-08,11699.85,SOXS,no change,no change,no change,no change,SOXS,11015.65,-684.2,-5.85,10.08
2025-07-09,11015.65,SOXS,no change,no change,no change,no change,SOXS,10972.81,-42.84,-0.39,10.43
2025-07-10,10972.81,SOXS,no change,no change,no change,no change,SOXS,10629.07,-343.74,-3.13,13.23
2025-07-11,10629.07,SOXS,no change,no change,no change,no change,SOXS,10651.15,22.08,0.21,13.05
2025-07-14,10651.15,SOXS,no change,no change,no change,no change,SOXS,11000.97,349.82,3.28,10.2
2025-07-15,11000.97,SOXS,no change,no change,no change,no change,SOXS,10591.49,-409.47,-3.72,13.54
2025-07-16,10591.49,SOXS,no change,no change,no change,no change,SOXS,10807.58,216.08,2.04,11.77
2025-07-17,10807.58,SOXS,no change,no change,no change,no change,SOXS,10633.54,-174.04,-1.61,13.2
2025-07-18,10633.54,SOXS,no change,no change,no change,no change,SOXS,10628.49,-5.05,-0.05,13.24
2025-07-21,10628.49,SOXS,no change,no change,no change,no change,SOXS,10576.37,-52.12,-0.49,13.66
2025-07-22,10576.37,SOXS,no change,no change,no change,no change,SOXS,11048.34,471.97,4.46,9.81
2025-07-23,11048.34,SOXS,no change,no change,no change,no change,SOXS,11335.1,286.75,2.6,7.47
2025-07-24,11335.1,SOXS,no change,no change,no change,no change,SOXS,11345.65,10.56,0.09,7.38
2025-07-25,11345.65,SOXS,no change,no change,no change,no change,SOXS,11387.35,41.7,0.37,7.04
2025-07-28,11387.35,SOXS,no change,no change,no change,no change,SOXS,10745.41,-641.94,-5.64,12.28
2025-07-29,10745.41,SOXS,no change,no change,no change,no change,SOXS,10703.25,-42.15,-0.39,12.63
2025-07-30,10703.25,SOXS,no change,no change,no change,no change,SOXS,10532.37,-170.88,-1.6,14.02
2025-07-31,10532.37,SOXS,no change,no change,no change,no change,SOXS,11551.1,1018.72,9.67,5.7
2025-08-01,11551.1,SOXS,no change,no change,15:55,SOXL,SOXL,11904.35,353.25,3.06,2.82
2025-08-04,11904.35,SOXL,no change,no change,15:55,SOXS,SOXS,12327.76,423.41,3.56,0.0
2025-08-05,12327.76,SOXS,no change,no change,15:55,SOXL,SOXL,12508.0,180.25,1.46,0.0
2025-08-06,12508.0,SOXL,no change,no change,no change,no change,SOXL,12149.87,-358.13,-2.86,2.86
2025-08-07,12149.87,SOXL,no change,no change,no change,no change,SOXL,12680.77,530.9,4.37,0.0
2025-08-08,12680.77,SOXL,no change,no change,no change,no change,SOXL,13059.25,378.49,2.98,0.0
2025-08-11,13059.25,SOXL,no change,no change,no change,no change,SOXL,12937.35,-121.9,-0.93,0.93
2025-08-12,12937.35,SOXL,no change,no change,no change,no change,SOXL,14253.14,1315.79,10.17,0.0
