Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-10,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-11,9999.0,SOXL,no change,no change,no change,no change,SOXL,10771.38,772.38,7.72,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-12,10771.38,SOXL,no change,no change,no change,no change,SOXL,9978.15,-793.23,-7.36,7.36
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-13,9978.15,SOXL,no change,no change,15:55,SOXS,SOXS,10146.38,168.23,1.69,5.8
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-17,10146.38,SOXS,no change,no change,15:55,SOXL,SOXL,10115.77,-30.6,-0.3,6.09
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-18,10115.77,SOXL,no change,no change,no change,no change,SOXL,10462.23,346.46,3.42,2.87
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-19,10462.23,SOXL,no change,no change,no change,no change,SOXL,10218.14,-244.1,-2.33,5.14
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-20,10218.14,SOXL,no change,no change,no change,no change,SOXL,10518.14,300.0,2.94,2.35
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-23,10518.14,SOXL,no change,no change,no change,no change,SOXL,10282.29,-235.84,-2.24,4.54
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-24,10282.29,SOXL,no change,no change,no change,no change,SOXL,10812.63,530.33,5.16,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-25,10812.63,SOXL,no change,no change,no change,no change,SOXL,11322.86,510.24,4.72,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-26,11322.86,SOXL,no change,no change,no change,no change,SOXL,10253.57,-1069.29,-9.44,9.44
OV_sh6_h1_dd0w20_re1_SOXS,2026-02-27,10253.57,SOXL,no change,no change,15:55,SOXS,SOXS,9854.55,-399.02,-3.89,12.97
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-02,9854.55,SOXS,no change,no change,no change,no change,SOXS,9855.1,0.55,0.01,12.96
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-03,9855.1,SOXS,no change,no change,no change,no change,SOXS,11333.56,1478.47,15.0,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-04,11333.56,SOXS,no change,no change,no change,no change,SOXS,10594.54,-739.02,-6.52,6.52
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-05,10594.54,SOXS,13:43,SOXS,15:55,SOXS,SOXS,11375.79,781.25,7.37,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-06,11375.79,SOXS,09:30,SOXS,15:55,SOXL,SOXL,12057.68,681.89,5.99,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-09,12057.68,SOXL,15:43,SOXL,15:55,SOXS,SOXS,13302.68,1245.0,10.33,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-10,13302.68,SOXS,04:36,SOXS,15:55,SOXL,SOXL,12668.07,-634.6,-4.77,4.77
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-11,12668.07,SOXL,no change,no change,15:55,SOXS,SOXS,13120.2,452.13,3.57,1.37
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-12,13120.2,SOXS,10:02,SOXS,15:55,SOXL,SOXL,14137.2,1017.0,7.75,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-13,14137.2,SOXL,no change,no change,15:55,SOXS,SOXS,14231.71,94.51,0.67,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-16,14231.71,SOXS,06:42,SOXS,15:55,SOXL,SOXL,13556.14,-675.57,-4.75,4.75
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-17,13556.14,SOXL,no change,no change,no change,no change,SOXL,13828.73,272.59,2.01,2.83
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-18,13828.73,SOXL,no change,no change,no change,no change,SOXL,13745.44,-83.29,-0.6,3.42
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-19,13745.44,SOXL,no change,no change,no change,no change,SOXL,13879.21,133.77,0.97,2.48
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-20,13879.21,SOXL,no change,no change,no change,no change,SOXL,12807.79,-1071.42,-7.72,10.01
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-23,12807.79,SOXL,10:50,SOXL,15:55,SOXS,SOXS,14018.91,1211.12,9.46,1.5
