Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-10,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-13,9999.0,SOXL,04:00,SOXL,15:55,SOXS,SOXS,10813.87,814.87,8.15,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-14,10813.87,SOXS,no change,no change,15:55,SOXL,SOXL,11517.02,703.15,6.5,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-15,11517.02,SOXL,11:37,SOXL,15:55,SOXS,SOXS,12346.8,829.78,7.2,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-16,12346.8,SOXS,09:17,SOXS,15:55,SOXL,SOXL,11764.15,-582.65,-4.72,4.72
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-17,11764.15,SOXL,no change,no change,no change,no change,SOXL,11682.78,-81.37,-0.69,5.38
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-20,11682.78,SOXL,no change,no change,no change,no change,SOXL,12328.29,645.52,5.53,0.15
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-21,12328.29,SOXL,no change,no change,no change,no change,SOXL,12105.62,-222.67,-1.81,1.95
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-22,12105.62,SOXL,no change,no change,15:55,SOXS,SOXS,11102.57,-1003.05,-8.29,10.08
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-23,11102.57,SOXS,09:50,SOXS,no change,no change,CASH,10537.41,-565.17,-5.09,14.65
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-24,10537.41,CASH,no change,no change,15:55,SOXL,SOXL,10536.35,-1.05,-0.01,14.66
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-27,10536.35,SOXL,no change,no change,no change,no change,SOXL,11380.13,843.78,8.01,7.83
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-28,11380.13,SOXL,no change,no change,no change,no change,SOXL,11410.44,30.31,0.27,7.58
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-29,11410.44,SOXL,no change,no change,no change,no change,SOXL,12003.27,592.83,5.2,2.78
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-30,12003.27,SOXL,no change,no change,no change,no change,SOXL,11560.55,-442.72,-3.69,6.37
OV_sh6_h1_dd0w20_re1_SOXS,2025-10-31,11560.55,SOXL,no change,no change,no change,no change,SOXL,11662.61,102.05,0.88,5.54
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-03,11662.61,SOXL,no change,no change,no change,no change,SOXL,11778.99,116.38,1.0,4.6
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-04,11778.99,SOXL,no change,no change,no change,no change,SOXL,10376.32,-1402.66,-11.91,15.96
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-05,10376.32,SOXL,15:50,SOXL,15:55,SOXS,SOXS,11480.84,1104.51,10.64,7.01
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-06,11480.84,SOXS,no change,no change,15:55,SOXL,SOXL,12544.94,1064.1,9.27,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-07,12544.94,SOXL,no change,no change,15:55,SOXS,SOXS,12001.47,-543.47,-4.33,4.33
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-10,12001.47,SOXS,04:00,SOXS,no change,no change,CASH,10971.51,-1029.97,-8.58,12.54
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-11,10971.51,CASH,no change,no change,15:55,SOXL,SOXL,10970.41,-1.1,-0.01,12.55
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-12,10970.41,SOXL,no change,no change,15:55,SOXS,SOXS,11444.55,474.14,4.32,8.77
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-13,11444.55,SOXS,no change,no change,15:55,SOXL,SOXL,12625.79,1181.24,10.32,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-14,12625.79,SOXL,no change,no change,15:55,SOXS,SOXS,12512.57,-113.22,-0.9,0.9
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-17,12512.57,SOXS,no change,no change,no change,no change,SOXS,13159.14,646.57,5.17,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-18,13159.14,SOXS,no change,no change,no change,no change,SOXS,13934.27,775.13,5.89,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-19,13934.27,SOXS,no change,no change,no change,no change,SOXS,13287.01,-647.26,-4.65,4.65
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-20,13287.01,SOXS,no change,no change,15:55,SOXL,SOXL,15299.65,2012.65,15.15,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-21,15299.65,SOXL,no change,no change,15:55,SOXS,SOXS,15701.87,402.22,2.63,0.0
OV_sh6_h1_dd0w20_re1_SOXS,2025-11-24,15701.87,SOXS,09:31,SOXS,15:55,SOXL,SOXL,14938.59,-763.28,-4.86,4.86
