candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
OV_sh6_h1_dd0w20_re1_SOXS,1m,2026-03-10 to 2026-04-10,17717.14,7717.14,77.1714,10.01,23
OV_sh6_h1_dd0w20_re1_SOXS,2m,2026-02-10 to 2026-04-10,22446.44,12446.44,124.4644,12.97,42
OV_sh6_h1_dd0w20_re1_SOXS,3m,2026-01-12 to 2026-04-10,21978.97,11978.97,119.7897,26.58,62
OV_sh6_h1_dd0w20_re1_SOXS,4m,2025-12-10 to 2026-04-10,22482.76,12482.76,124.8276,26.58,83
OV_sh6_h1_dd0w20_re1_SOXS,5m,2025-11-10 to 2026-04-10,45279.06,35279.06,352.7906,26.58,104
OV_sh6_h1_dd0w20_re1_SOXS,6m,2025-10-10 to 2026-04-10,46300.2,36300.2,363.002,26.58,125
OV_sh6_h1_dd0w20_re1_SOXS,1y,2025-04-10 to 2026-04-10,72277.27,62277.27,622.7727,26.58,251
OV_sh6_h1_dd0w20_re1_SOXS,2y,2024-04-10 to 2026-04-10,94887.04,84887.04,848.8704,58.2,502
OV_sh6_h1_dd0w40_re1_SOXS,1m,2026-03-10 to 2026-04-10,17717.14,7717.14,77.1714,10.01,23
OV_sh6_h1_dd0w40_re1_SOXS,2m,2026-02-10 to 2026-04-10,22446.44,12446.44,124.4644,12.97,42
OV_sh6_h1_dd0w40_re1_SOXS,3m,2026-01-12 to 2026-04-10,21978.97,11978.97,119.7897,26.58,62
OV_sh6_h1_dd0w40_re1_SOXS,4m,2025-12-10 to 2026-04-10,22482.76,12482.76,124.8276,26.58,83
OV_sh6_h1_dd0w40_re1_SOXS,5m,2025-11-10 to 2026-04-10,45279.06,35279.06,352.7906,26.58,104
OV_sh6_h1_dd0w40_re1_SOXS,6m,2025-10-10 to 2026-04-10,46300.2,36300.2,363.002,26.58,125
OV_sh6_h1_dd0w40_re1_SOXS,1y,2025-04-10 to 2026-04-10,72277.27,62277.27,622.7727,26.58,251
OV_sh6_h1_dd0w40_re1_SOXS,2y,2024-04-10 to 2026-04-10,94887.04,84887.04,848.8704,58.2,502
OV_sh0_h1_dd0w20_re1_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h1_dd0w20_re1_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h1_dd0w20_re1_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h1_dd0w20_re1_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h1_dd0w20_re1_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h1_dd0w20_re1_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h1_dd0w20_re1_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h1_dd0w20_re1_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h1_dd0w20_re2_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h1_dd0w20_re2_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h1_dd0w20_re2_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h1_dd0w20_re2_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h1_dd0w20_re2_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h1_dd0w20_re2_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h1_dd0w20_re2_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h1_dd0w20_re2_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h1_dd0w40_re1_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h1_dd0w40_re1_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h1_dd0w40_re1_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h1_dd0w40_re1_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h1_dd0w40_re1_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h1_dd0w40_re1_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h1_dd0w40_re1_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h1_dd0w40_re1_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h1_dd0w40_re2_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h1_dd0w40_re2_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h1_dd0w40_re2_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h1_dd0w40_re2_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h1_dd0w40_re2_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h1_dd0w40_re2_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h1_dd0w40_re2_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h1_dd0w40_re2_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h2_dd0w20_re1_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h2_dd0w20_re1_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h2_dd0w20_re1_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h2_dd0w20_re1_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h2_dd0w20_re1_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h2_dd0w20_re1_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h2_dd0w20_re1_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h2_dd0w20_re1_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h2_dd0w20_re2_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h2_dd0w20_re2_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h2_dd0w20_re2_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h2_dd0w20_re2_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h2_dd0w20_re2_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h2_dd0w20_re2_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h2_dd0w20_re2_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h2_dd0w20_re2_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h2_dd0w40_re1_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h2_dd0w40_re1_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h2_dd0w40_re1_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h2_dd0w40_re1_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h2_dd0w40_re1_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h2_dd0w40_re1_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h2_dd0w40_re1_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h2_dd0w40_re1_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh0_h2_dd0w40_re2_SOXS,1m,2026-03-10 to 2026-04-10,20284.95,10284.95,102.8495,16.73,23
OV_sh0_h2_dd0w40_re2_SOXS,2m,2026-02-10 to 2026-04-10,27659.28,17659.28,176.5928,16.73,42
OV_sh0_h2_dd0w40_re2_SOXS,3m,2026-01-12 to 2026-04-10,31132.33,21132.33,211.3233,24.69,62
OV_sh0_h2_dd0w40_re2_SOXS,4m,2025-12-10 to 2026-04-10,34758.67,24758.67,247.5867,28.08,83
OV_sh0_h2_dd0w40_re2_SOXS,5m,2025-11-10 to 2026-04-10,48144.79,38144.79,381.4479,28.08,104
OV_sh0_h2_dd0w40_re2_SOXS,6m,2025-10-10 to 2026-04-10,52142.77,42142.77,421.4277,29.78,125
OV_sh0_h2_dd0w40_re2_SOXS,1y,2025-04-10 to 2026-04-10,88960.12,78960.12,789.6012,32.82,251
OV_sh0_h2_dd0w40_re2_SOXS,2y,2024-04-10 to 2026-04-10,39523.89,29523.89,295.2389,81.52,502
OV_sh6_h2_dd0w20_re1_SOXS,1m,2026-03-10 to 2026-04-10,16115.49,6115.49,61.1549,15.39,23
OV_sh6_h2_dd0w20_re1_SOXS,2m,2026-02-10 to 2026-04-10,17515.37,7515.37,75.1537,19.39,42
OV_sh6_h2_dd0w20_re1_SOXS,3m,2026-01-12 to 2026-04-10,18908.64,8908.64,89.0864,23.83,62
OV_sh6_h2_dd0w20_re1_SOXS,4m,2025-12-10 to 2026-04-10,18761.2,8761.2,87.612,23.83,83
OV_sh6_h2_dd0w20_re1_SOXS,5m,2025-11-10 to 2026-04-10,32767.51,22767.51,227.6751,23.83,104
OV_sh6_h2_dd0w20_re1_SOXS,6m,2025-10-10 to 2026-04-10,25122.95,15122.95,151.2295,33.09,125
OV_sh6_h2_dd0w20_re1_SOXS,1y,2025-04-10 to 2026-04-10,47322.91,37322.91,373.2291,37.84,251
OV_sh6_h2_dd0w20_re1_SOXS,2y,2024-04-10 to 2026-04-10,73750.04,63750.04,637.5004,64.12,502
OV_sh6_h2_dd0w40_re1_SOXS,1m,2026-03-10 to 2026-04-10,16115.49,6115.49,61.1549,15.39,23
OV_sh6_h2_dd0w40_re1_SOXS,2m,2026-02-10 to 2026-04-10,17515.37,7515.37,75.1537,19.39,42
OV_sh6_h2_dd0w40_re1_SOXS,3m,2026-01-12 to 2026-04-10,18908.64,8908.64,89.0864,23.83,62
OV_sh6_h2_dd0w40_re1_SOXS,4m,2025-12-10 to 2026-04-10,18761.2,8761.2,87.612,23.83,83
OV_sh6_h2_dd0w40_re1_SOXS,5m,2025-11-10 to 2026-04-10,32767.51,22767.51,227.6751,23.83,104
OV_sh6_h2_dd0w40_re1_SOXS,6m,2025-10-10 to 2026-04-10,25122.95,15122.95,151.2295,33.09,125
OV_sh6_h2_dd0w40_re1_SOXS,1y,2025-04-10 to 2026-04-10,47322.91,37322.91,373.2291,37.84,251
OV_sh6_h2_dd0w40_re1_SOXS,2y,2024-04-10 to 2026-04-10,73750.04,63750.04,637.5004,64.12,502
OV_sh6_h1_dd0w20_re2_SOXS,1m,2026-03-10 to 2026-04-10,16115.49,6115.49,61.1549,15.39,23
OV_sh6_h1_dd0w20_re2_SOXS,2m,2026-02-10 to 2026-04-10,17307.87,7307.87,73.0787,19.39,42
OV_sh6_h1_dd0w20_re2_SOXS,3m,2026-01-12 to 2026-04-10,18684.64,8684.64,86.8464,27.46,62
OV_sh6_h1_dd0w20_re2_SOXS,4m,2025-12-10 to 2026-04-10,18538.95,8538.95,85.3895,27.46,83
OV_sh6_h1_dd0w20_re2_SOXS,5m,2025-11-10 to 2026-04-10,29681.34,19681.34,196.8134,27.46,104
OV_sh6_h1_dd0w20_re2_SOXS,6m,2025-10-10 to 2026-04-10,22756.78,12756.78,127.5678,33.09,125
OV_sh6_h1_dd0w20_re2_SOXS,1y,2025-04-10 to 2026-04-10,29453.48,19453.48,194.5348,37.84,251
OV_sh6_h1_dd0w20_re2_SOXS,2y,2024-04-10 to 2026-04-10,45588.42,35588.42,355.8842,65.12,502
OV_sh6_h1_dd0w40_re2_SOXS,1m,2026-03-10 to 2026-04-10,16115.49,6115.49,61.1549,15.39,23
OV_sh6_h1_dd0w40_re2_SOXS,2m,2026-02-10 to 2026-04-10,17307.87,7307.87,73.0787,19.39,42
OV_sh6_h1_dd0w40_re2_SOXS,3m,2026-01-12 to 2026-04-10,18684.64,8684.64,86.8464,27.46,62
