candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,shock_drop_pct,shock_hold_days,dd_trigger_pct,dd_window_days,reentry_pos_days,defensive_symbol
OV_sh6_h1_dd0w20_re1_SOXS,406.3212,29.59,376.7312,1,4,1,42.2331,-7.518,True,6.0,1,0.0,20,1,SOXS
OV_sh6_h1_dd0w40_re1_SOXS,406.3212,29.59,376.7312,1,4,1,42.2331,-7.518,True,6.0,1,0.0,40,1,SOXS
OV_sh0_h1_dd0w20_re1_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,1,0.0,20,1,SOXS
OV_sh0_h1_dd0w20_re2_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,1,0.0,20,2,SOXS
OV_sh0_h1_dd0w40_re1_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,1,0.0,40,1,SOXS
OV_sh0_h1_dd0w40_re2_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,1,0.0,40,2,SOXS
OV_sh0_h2_dd0w20_re1_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,2,0.0,20,1,SOXS
OV_sh0_h2_dd0w20_re2_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,2,0.0,20,2,SOXS
OV_sh0_h2_dd0w40_re1_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,2,0.0,40,1,SOXS
OV_sh0_h2_dd0w40_re2_SOXS,364.0881,37.108,326.9801,0,0,0,0.0,0.0,False,0.0,2,0.0,40,2,SOXS
OV_sh6_h2_dd0w20_re1_SOXS,262.4401,34.854,227.5861,1,3,1,-101.6481,-2.254,False,6.0,2,0.0,20,1,SOXS
OV_sh6_h2_dd0w40_re1_SOXS,262.4401,34.854,227.5861,1,3,1,-101.6481,-2.254,False,6.0,2,0.0,40,1,SOXS
OV_sh6_h1_dd0w20_re2_SOXS,165.1976,35.78,129.4176,1,2,1,-198.8905,-1.328,False,6.0,1,0.0,20,2,SOXS
OV_sh6_h1_dd0w40_re2_SOXS,165.1976,35.78,129.4176,1,2,1,-198.8905,-1.328,False,6.0,1,0.0,40,2,SOXS
OV_sh6_h2_dd0w20_re2_SOXS,165.1976,35.78,129.4176,1,2,1,-198.8905,-1.328,False,6.0,2,0.0,20,2,SOXS
OV_sh6_h2_dd0w40_re2_SOXS,165.1976,35.78,129.4176,1,2,1,-198.8905,-1.328,False,6.0,2,0.0,40,2,SOXS
OV_sh6_h1_dd16w20_re1_SOXS,115.9182,38.074,77.8442,0,1,0,-248.1699,0.966,False,6.0,1,16.0,20,1,SOXS
OV_sh6_h2_dd20w20_re1_SOXS,99.4922,39.078,60.4142,0,1,0,-264.5959,1.97,False,6.0,2,20.0,20,1,SOXS
