cid,fast_signal_threshold,fast_trend_gap_pct,fast_inverse_min_weight,windows,sum_fast_minus_v2_return_pct,sum_fast_minus_v2_maxdd_pct,sum_fast_minus_v2_equity,sum_fast_override_days,avg_fast_minus_v2_return_pct,avg_fast_minus_v2_maxdd_pct,avg_fast_minus_v2_equity,score
FEV1-0001,0.66,6.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0002,0.66,6.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0003,0.66,8.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0004,0.66,8.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0005,0.66,10.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0006,0.66,10.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0007,0.68,6.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0008,0.68,6.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0009,0.68,8.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0010,0.68,8.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0011,0.68,10.0,0.8,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0012,0.68,10.0,0.9,8,321.1500603925472,-17.474350709968583,32115.00603925471,8,40.1437575490684,-2.184293838746073,4014.3757549068387,45.25028022334827
FEV1-0013,0.7,6.0,0.8,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0014,0.7,6.0,0.9,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0015,0.7,8.0,0.8,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0016,0.7,8.0,0.9,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0017,0.7,10.0,0.8,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
FEV1-0018,0.7,10.0,0.9,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
