Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-01-12,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
2026-01-13,9999.0,SOXL,no change,no change,no change,no change,SOXL,10203.95,204.95,2.05,0.0
2026-01-14,10203.95,SOXL,no change,no change,no change,no change,SOXL,10051.83,-152.12,-1.49,1.49
2026-01-15,10051.83,SOXL,09:37,SOXL,15:55,SOXL,SOXL,10928.72,876.89,8.72,0.0
2026-01-16,10928.72,SOXL,no change,no change,no change,no change,SOXL,11405.76,477.04,4.37,0.0
2026-01-20,11405.76,SOXL,no change,no change,no change,no change,SOXL,10914.64,-491.13,-4.31,4.31
2026-01-21,10914.64,SOXL,11:42,SOXL,15:55,SOXL,SOXL,11809.13,894.49,8.2,0.0
2026-01-22,11809.13,SOXL,no change,no change,no change,no change,SOXL,11796.13,-13.0,-0.11,0.11
2026-01-23,11796.13,SOXL,no change,no change,no change,no change,SOXL,11395.07,-401.06,-3.4,3.51
2026-01-26,11395.07,SOXL,no change,no change,no change,no change,SOXL,11266.95,-128.12,-1.12,4.59
2026-01-27,11266.95,SOXL,no change,no change,no change,no change,SOXL,12061.65,794.7,7.05,0.0
2026-01-28,12061.65,SOXL,04:00,SOXL,15:55,SOXL,SOXL,12999.47,937.82,7.78,0.0
2026-01-29,12999.47,SOXL,no change,no change,no change,no change,SOXL,13037.51,38.04,0.29,0.0
2026-01-30,13037.51,SOXL,no change,no change,no change,no change,SOXL,11462.1,-1575.41,-12.08,12.08
2026-02-02,11462.1,SOXL,no change,no change,no change,no change,SOXL,12057.14,595.04,5.19,7.52
2026-02-03,12057.14,SOXL,no change,no change,no change,no change,SOXL,11301.59,-755.55,-6.27,13.31
2026-02-04,11301.59,SOXL,no change,no change,no change,no change,SOXL,9908.97,-1392.62,-12.32,24.0
2026-02-05,9908.97,SOXL,no change,no change,no change,no change,SOXL,9818.03,-90.94,-0.92,24.69
