Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2026-01-12,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01
2026-01-13,9999.0,SOXL,no change,no change,no change,no change,SOXL,10203.95,204.95,2.05,0.0
2026-01-14,10203.95,SOXL,no change,no change,no change,no change,SOXL,10051.83,-152.12,-1.49,1.49
2026-01-15,10051.83,SOXL,08:00,SOXL,15:55,SOXL,SOXL,10793.99,742.16,7.38,0.0
2026-01-16,10793.99,SOXL,no change,no change,no change,no change,SOXL,11265.15,471.16,4.37,0.0
2026-01-20,11265.15,SOXL,no change,no change,no change,no change,SOXL,10780.08,-485.07,-4.31,4.31
2026-01-21,10780.08,SOXL,11:42,SOXL,15:55,SOXL,SOXL,11687.39,907.31,8.42,0.0
2026-01-22,11687.39,SOXL,no change,no change,no change,no change,SOXL,11674.53,-12.86,-0.11,0.11
2026-01-23,11674.53,SOXL,no change,no change,no change,no change,SOXL,11277.6,-396.93,-3.4,3.51
2026-01-26,11277.6,SOXL,no change,no change,no change,no change,SOXL,11150.8,-126.8,-1.12,4.59
2026-01-27,11150.8,SOXL,15:54,SOXL,15:55,SOXL,SOXL,11881.68,730.88,6.55,0.0
2026-01-28,11881.68,SOXL,04:00,SOXL,15:55,SOXL,SOXL,12831.7,950.02,8.0,0.0
2026-01-29,12831.7,SOXL,no change,no change,no change,no change,SOXL,12869.25,37.55,0.29,0.0
2026-01-30,12869.25,SOXL,no change,no change,no change,no change,SOXL,11314.17,-1555.08,-12.08,12.08
2026-02-02,11314.17,SOXL,14:59,SOXL,15:55,SOXL,SOXL,12013.51,699.34,6.18,6.65
2026-02-03,12013.51,SOXL,no change,no change,no change,no change,SOXL,11260.7,-752.81,-6.27,12.5
2026-02-04,11260.7,SOXL,no change,no change,no change,no change,SOXL,9873.12,-1387.58,-12.32,23.28
