candidate_id,stop_pct,rv_gate,trail_scale,threshold_scale,strict_accept,score,avg_return_pct,avg_max_dd_pct,delta_avg_return_pct,delta_avg_max_dd_pct,ret_wins,dd_wins,both_wins
C_sp4.0_rv75_tr1.10_th1.10,4.0,75.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv80_tr1.10_th1.10,4.0,80.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv85_tr1.10_th1.10,4.0,85.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv90_tr1.10_th1.10,4.0,90.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv70_tr1.10_th1.10,4.0,70.0,1.1,1.1,True,248.3414,273.7514,25.41,16.6629,-0.2286,4,2,2
C_sp4.5_rv70_tr1.10_th1.10,4.5,70.0,1.1,1.1,True,240.6004,266.1175,25.5171,9.0289,-0.1214,4,2,2
C_sp5.0_rv80_tr1.00_th1.00,5.0,80.0,1.0,1.0,False,231.45,257.0886,25.6386,0.0,0.0,0,0,0
C_sp4.0_rv75_tr0.90_th1.10,4.0,75.0,0.9,1.1,False,231.2984,256.6012,25.3029,-0.4873,-0.3357,3,2,2
C_sp4.0_rv80_tr0.90_th1.10,4.0,80.0,0.9,1.1,False,231.2984,256.6012,25.3029,-0.4873,-0.3357,3,2,2
C_sp4.0_rv85_tr0.90_th1.10,4.0,85.0,0.9,1.1,False,231.2984,256.6012,25.3029,-0.4873,-0.3357,3,2,2
C_sp4.0_rv90_tr0.90_th1.10,4.0,90.0,0.9,1.1,False,231.2984,256.6012,25.3029,-0.4873,-0.3357,3,2,2
C_sp4.0_rv75_tr1.20_th1.10,4.0,75.0,1.2,1.1,False,230.9045,256.4288,25.5243,-0.6598,-0.1143,3,1,1
C_sp4.0_rv80_tr1.20_th1.10,4.0,80.0,1.2,1.1,False,230.9045,256.4288,25.5243,-0.6598,-0.1143,3,1,1
C_sp4.0_rv85_tr1.20_th1.10,4.0,85.0,1.2,1.1,False,230.9045,256.4288,25.5243,-0.6598,-0.1143,3,1,1
C_sp4.0_rv90_tr1.20_th1.10,4.0,90.0,1.2,1.1,False,230.9045,256.4288,25.5243,-0.6598,-0.1143,3,1,1
C_sp4.0_rv70_tr0.90_th1.10,4.0,70.0,0.9,1.1,False,230.6669,255.9697,25.3029,-1.1189,-0.3357,3,2,2
C_sp4.0_rv75_tr1.00_th1.10,4.0,75.0,1.0,1.1,False,230.2537,255.6937,25.44,-1.3949,-0.1986,2,2,1
C_sp4.0_rv80_tr1.00_th1.10,4.0,80.0,1.0,1.1,False,230.2537,255.6937,25.44,-1.3949,-0.1986,2,2,1
C_sp4.0_rv85_tr1.00_th1.10,4.0,85.0,1.0,1.1,False,230.2537,255.6937,25.44,-1.3949,-0.1986,2,2,1
C_sp4.0_rv90_tr1.00_th1.10,4.0,90.0,1.0,1.1,False,230.2537,255.6937,25.44,-1.3949,-0.1986,2,2,1
C_sp4.0_rv70_tr1.20_th1.10,4.0,70.0,1.2,1.1,False,230.2452,255.7694,25.5243,-1.3191,-0.1143,3,1,1
C_sp4.0_rv70_tr1.00_th1.10,4.0,70.0,1.0,1.1,False,229.589,255.029,25.44,-2.0595,-0.1986,2,2,1
C_sp4.0_rv75_tr1.10_th1.00,4.0,75.0,1.1,1.0,False,227.1672,252.7101,25.5429,-4.3785,-0.0957,2,1,1
C_sp4.0_rv80_tr1.10_th1.00,4.0,80.0,1.1,1.0,False,227.1672,252.7101,25.5429,-4.3785,-0.0957,2,1,1
C_sp4.0_rv85_tr1.10_th1.00,4.0,85.0,1.1,1.0,False,227.1672,252.7101,25.5429,-4.3785,-0.0957,2,1,1
C_sp4.0_rv90_tr1.10_th1.00,4.0,90.0,1.1,1.0,False,227.1672,252.7101,25.5429,-4.3785,-0.0957,2,1,1
C_sp4.0_rv70_tr1.10_th1.00,4.0,70.0,1.1,1.0,False,226.5424,252.0853,25.5429,-5.0033,-0.0957,2,1,1
C_sp4.5_rv75_tr1.00_th1.10,4.5,75.0,1.0,1.1,False,223.2332,248.7803,25.5471,-8.3082,-0.0914,2,2,1
C_sp4.5_rv70_tr1.20_th1.10,4.5,70.0,1.2,1.1,False,222.96,248.5915,25.6314,-8.4971,-0.0071,2,1,1
C_sp4.5_rv70_tr1.00_th1.10,4.5,70.0,1.0,1.1,False,222.3023,247.8494,25.5471,-9.2391,-0.0914,2,2,1
