candidate_id,window,period,final_equity,pnl,return_pct,max_dd_pct,days
C_sp4.0_rv70_tr0.90_th0.90,3m,2026-01-12 to 2026-04-10,24406.33,14406.33,144.0633,23.83,62
C_sp4.0_rv70_tr0.90_th0.90,6m,2025-10-10 to 2026-04-10,35530.61,25530.61,255.3061,34.02,125
C_sp4.0_rv70_tr0.90_th0.90,1y,2025-04-10 to 2026-04-10,54328.82,44328.82,443.2882,37.32,251
C_sp4.0_rv70_tr0.90_th1.00,3m,2026-01-12 to 2026-04-10,26387.77,16387.77,163.8777,23.83,62
C_sp4.0_rv70_tr0.90_th1.00,6m,2025-10-10 to 2026-04-10,38004.89,28004.89,280.0489,33.59,125
C_sp4.0_rv70_tr0.90_th1.00,1y,2025-04-10 to 2026-04-10,56859.23,46859.23,468.5923,36.41,251
C_sp4.0_rv70_tr0.90_th1.10,3m,2026-01-12 to 2026-04-10,27756.73,17756.73,177.5673,24.69,62
C_sp4.0_rv70_tr0.90_th1.10,6m,2025-10-10 to 2026-04-10,42074.1,32074.1,320.741,30.11,125
C_sp4.0_rv70_tr0.90_th1.10,1y,2025-04-10 to 2026-04-10,65719.95,55719.95,557.1995,32.7,251
C_sp4.0_rv70_tr1.00_th0.90,3m,2026-01-12 to 2026-04-10,24030.86,14030.86,140.3086,23.99,62
C_sp4.0_rv70_tr1.00_th0.90,6m,2025-10-10 to 2026-04-10,33723.46,23723.46,237.2346,34.29,125
C_sp4.0_rv70_tr1.00_th0.90,1y,2025-04-10 to 2026-04-10,55012.42,45012.42,450.1242,38.21,251
C_sp4.0_rv70_tr1.00_th1.00,3m,2026-01-12 to 2026-04-10,26073.25,16073.25,160.7325,23.99,62
C_sp4.0_rv70_tr1.00_th1.00,6m,2025-10-10 to 2026-04-10,38096.43,28096.43,280.9643,30.82,125
C_sp4.0_rv70_tr1.00_th1.00,1y,2025-04-10 to 2026-04-10,61117.08,51117.08,511.1708,34.3,251
C_sp4.0_rv70_tr1.00_th1.10,3m,2026-01-12 to 2026-04-10,26931.06,16931.06,169.3106,24.69,62
C_sp4.0_rv70_tr1.00_th1.10,6m,2025-10-10 to 2026-04-10,41187.41,31187.41,311.8741,30.39,125
C_sp4.0_rv70_tr1.00_th1.10,1y,2025-04-10 to 2026-04-10,69169.12,59169.12,591.6912,33.38,251
C_sp4.0_rv70_tr1.10_th0.90,3m,2026-01-12 to 2026-04-10,25528.82,15528.82,155.2882,24.14,62
C_sp4.0_rv70_tr1.10_th0.90,6m,2025-10-10 to 2026-04-10,37264.42,27264.42,272.6442,34.56,125
C_sp4.0_rv70_tr1.10_th0.90,1y,2025-04-10 to 2026-04-10,59533.73,49533.73,495.3373,38.0,251
C_sp4.0_rv70_tr1.10_th1.00,3m,2026-01-12 to 2026-04-10,26917.34,16917.34,169.1734,24.14,62
