candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,stop_pct,rv_gate,trail_scale,threshold_scale
C_sp5.0_rv75_tr1.10_th1.10,301.2733,25.5171,275.7561,7,2,2,44.1847,-0.1214,True,5.0,75.0,1.1,1.1
C_sp5.0_rv80_tr1.10_th1.10,301.2733,25.5171,275.7561,7,2,2,44.1847,-0.1214,True,5.0,80.0,1.1,1.1
C_sp5.0_rv85_tr1.10_th1.10,301.2733,25.5171,275.7561,7,2,2,44.1847,-0.1214,True,5.0,85.0,1.1,1.1
C_sp5.0_rv90_tr1.10_th1.10,301.2733,25.5171,275.7561,7,2,2,44.1847,-0.1214,True,5.0,90.0,1.1,1.1
C_sp5.0_rv70_tr1.10_th1.10,299.9735,25.5171,274.4564,7,2,2,42.8849,-0.1214,True,5.0,70.0,1.1,1.1
C_sp5.5_rv75_tr1.10_th1.10,296.7179,25.56,271.1579,7,2,2,39.6293,-0.0786,True,5.5,75.0,1.1,1.1
C_sp5.5_rv80_tr1.10_th1.10,296.7179,25.56,271.1579,7,2,2,39.6293,-0.0786,True,5.5,80.0,1.1,1.1
C_sp5.5_rv85_tr1.10_th1.10,296.7179,25.56,271.1579,7,2,2,39.6293,-0.0786,True,5.5,85.0,1.1,1.1
C_sp5.5_rv90_tr1.10_th1.10,296.7179,25.56,271.1579,7,2,2,39.6293,-0.0786,True,5.5,90.0,1.1,1.1
C_sp5.5_rv70_tr1.10_th1.10,295.1764,25.56,269.6164,7,2,2,38.0878,-0.0786,True,5.5,70.0,1.1,1.1
C_sp6.0_rv70_tr1.10_th1.10,291.0113,25.6086,265.4028,7,2,2,33.9228,-0.03,True,6.0,70.0,1.1,1.1
C_sp6.0_rv75_tr1.10_th1.10,291.0113,25.6086,265.4028,7,2,2,33.9228,-0.03,True,6.0,75.0,1.1,1.1
C_sp6.0_rv80_tr1.10_th1.10,291.0113,25.6086,265.4028,7,2,2,33.9228,-0.03,True,6.0,80.0,1.1,1.1
C_sp6.0_rv85_tr1.10_th1.10,291.0113,25.6086,265.4028,7,2,2,33.9228,-0.03,True,6.0,85.0,1.1,1.1
C_sp6.0_rv90_tr1.10_th1.10,291.0113,25.6086,265.4028,7,2,2,33.9228,-0.03,True,6.0,90.0,1.1,1.1
C_sp5.0_rv75_tr0.90_th1.10,283.728,25.4114,258.3166,7,2,2,26.6394,-0.2271,True,5.0,75.0,0.9,1.1
C_sp5.0_rv75_tr1.00_th1.10,281.846,25.5471,256.2988,7,2,2,24.7574,-0.0914,True,5.0,75.0,1.0,1.1
C_sp5.0_rv80_tr1.00_th1.10,281.846,25.5471,256.2988,7,2,2,24.7574,-0.0914,True,5.0,80.0,1.0,1.1
C_sp5.0_rv85_tr1.00_th1.10,281.846,25.5471,256.2988,7,2,2,24.7574,-0.0914,True,5.0,85.0,1.0,1.1
C_sp5.0_rv90_tr1.00_th1.10,281.846,25.5471,256.2988,7,2,2,24.7574,-0.0914,True,5.0,90.0,1.0,1.1
C_sp5.0_rv75_tr1.20_th1.10,281.2598,25.6314,255.6284,6,1,1,24.1713,-0.0071,True,5.0,75.0,1.2,1.1
C_sp5.0_rv80_tr1.20_th1.10,281.2598,25.6314,255.6284,6,1,1,24.1713,-0.0071,True,5.0,80.0,1.2,1.1
C_sp5.0_rv85_tr1.20_th1.10,281.2598,25.6314,255.6284,6,1,1,24.1713,-0.0071,True,5.0,85.0,1.2,1.1
C_sp5.0_rv90_tr1.20_th1.10,281.2598,25.6314,255.6284,6,1,1,24.1713,-0.0071,True,5.0,90.0,1.2,1.1
C_sp5.0_rv70_tr1.00_th1.10,280.6304,25.5471,255.0833,7,2,2,23.5419,-0.0914,True,5.0,70.0,1.0,1.1
C_sp4.0_rv75_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,75.0,1.1,1.1
C_sp4.0_rv80_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,80.0,1.1,1.1
C_sp4.0_rv85_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,85.0,1.1,1.1
C_sp4.0_rv90_tr1.10_th1.10,274.4636,25.41,249.0536,4,2,2,17.3751,-0.2286,True,4.0,90.0,1.1,1.1
C_sp4.0_rv70_tr1.10_th1.10,273.7514,25.41,248.3414,4,2,2,16.6629,-0.2286,True,4.0,70.0,1.1,1.1
C_sp5.0_rv80_tr1.00_th1.00,257.0886,25.6386,231.45,0,0,0,0.0,0.0,False,5.0,80.0,1.0,1.0
