candidate_id,stop_pct,rv_gate,trail_scale,threshold_scale,strict_accept,score,avg_return_pct,avg_max_dd_pct,delta_avg_return_pct,delta_avg_max_dd_pct,ret_wins,dd_wins,both_wins
C_sp5.0_rv75_tr1.10_th1.10,5.0,75.0,1.1,1.1,True,275.7561,301.2733,25.5171,44.1847,-0.1214,7,2,2
C_sp5.0_rv80_tr1.10_th1.10,5.0,80.0,1.1,1.1,True,275.7561,301.2733,25.5171,44.1847,-0.1214,7,2,2
C_sp5.0_rv85_tr1.10_th1.10,5.0,85.0,1.1,1.1,True,275.7561,301.2733,25.5171,44.1847,-0.1214,7,2,2
C_sp5.0_rv90_tr1.10_th1.10,5.0,90.0,1.1,1.1,True,275.7561,301.2733,25.5171,44.1847,-0.1214,7,2,2
C_sp5.0_rv70_tr1.10_th1.10,5.0,70.0,1.1,1.1,True,274.4564,299.9735,25.5171,42.8849,-0.1214,7,2,2
C_sp5.5_rv75_tr1.10_th1.10,5.5,75.0,1.1,1.1,True,271.1579,296.7179,25.56,39.6293,-0.0786,7,2,2
C_sp5.5_rv80_tr1.10_th1.10,5.5,80.0,1.1,1.1,True,271.1579,296.7179,25.56,39.6293,-0.0786,7,2,2
C_sp5.5_rv85_tr1.10_th1.10,5.5,85.0,1.1,1.1,True,271.1579,296.7179,25.56,39.6293,-0.0786,7,2,2
C_sp5.5_rv90_tr1.10_th1.10,5.5,90.0,1.1,1.1,True,271.1579,296.7179,25.56,39.6293,-0.0786,7,2,2
C_sp5.5_rv70_tr1.10_th1.10,5.5,70.0,1.1,1.1,True,269.6164,295.1764,25.56,38.0878,-0.0786,7,2,2
C_sp6.0_rv70_tr1.10_th1.10,6.0,70.0,1.1,1.1,True,265.4028,291.0113,25.6086,33.9228,-0.03,7,2,2
C_sp6.0_rv75_tr1.10_th1.10,6.0,75.0,1.1,1.1,True,265.4028,291.0113,25.6086,33.9228,-0.03,7,2,2
C_sp6.0_rv80_tr1.10_th1.10,6.0,80.0,1.1,1.1,True,265.4028,291.0113,25.6086,33.9228,-0.03,7,2,2
C_sp6.0_rv85_tr1.10_th1.10,6.0,85.0,1.1,1.1,True,265.4028,291.0113,25.6086,33.9228,-0.03,7,2,2
C_sp6.0_rv90_tr1.10_th1.10,6.0,90.0,1.1,1.1,True,265.4028,291.0113,25.6086,33.9228,-0.03,7,2,2
C_sp5.0_rv75_tr0.90_th1.10,5.0,75.0,0.9,1.1,True,258.3166,283.728,25.4114,26.6394,-0.2271,7,2,2
C_sp5.0_rv75_tr1.00_th1.10,5.0,75.0,1.0,1.1,True,256.2988,281.846,25.5471,24.7574,-0.0914,7,2,2
C_sp5.0_rv80_tr1.00_th1.10,5.0,80.0,1.0,1.1,True,256.2988,281.846,25.5471,24.7574,-0.0914,7,2,2
C_sp5.0_rv85_tr1.00_th1.10,5.0,85.0,1.0,1.1,True,256.2988,281.846,25.5471,24.7574,-0.0914,7,2,2
C_sp5.0_rv90_tr1.00_th1.10,5.0,90.0,1.0,1.1,True,256.2988,281.846,25.5471,24.7574,-0.0914,7,2,2
C_sp5.0_rv75_tr1.20_th1.10,5.0,75.0,1.2,1.1,True,255.6284,281.2598,25.6314,24.1713,-0.0071,6,1,1
C_sp5.0_rv80_tr1.20_th1.10,5.0,80.0,1.2,1.1,True,255.6284,281.2598,25.6314,24.1713,-0.0071,6,1,1
C_sp5.0_rv85_tr1.20_th1.10,5.0,85.0,1.2,1.1,True,255.6284,281.2598,25.6314,24.1713,-0.0071,6,1,1
C_sp5.0_rv90_tr1.20_th1.10,5.0,90.0,1.2,1.1,True,255.6284,281.2598,25.6314,24.1713,-0.0071,6,1,1
C_sp5.0_rv70_tr1.00_th1.10,5.0,70.0,1.0,1.1,True,255.0833,280.6304,25.5471,23.5419,-0.0914,7,2,2
C_sp4.0_rv75_tr1.10_th1.10,4.0,75.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv80_tr1.10_th1.10,4.0,80.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv85_tr1.10_th1.10,4.0,85.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv90_tr1.10_th1.10,4.0,90.0,1.1,1.1,True,249.0536,274.4636,25.41,17.3751,-0.2286,4,2,2
C_sp4.0_rv70_tr1.10_th1.10,4.0,70.0,1.1,1.1,True,248.3414,273.7514,25.41,16.6629,-0.2286,4,2,2
