candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,stop_pct,rv_gate,trail_scale,threshold_scale
C_sp4.8_rv75_tr1.10_th1.20,334.2063,25.2671,308.9392,7,2,2,77.1177,-0.3714,True,4.75,75.0,1.1,1.2
C_sp4.8_rv80_tr1.10_th1.20,334.2063,25.2671,308.9392,7,2,2,77.1177,-0.3714,True,4.75,80.0,1.1,1.2
C_sp4.8_rv85_tr1.10_th1.20,334.2063,25.2671,308.9392,7,2,2,77.1177,-0.3714,True,4.75,85.0,1.1,1.2
C_sp4.8_rv90_tr1.10_th1.20,334.2063,25.2671,308.9392,7,2,2,77.1177,-0.3714,True,4.75,90.0,1.1,1.2
C_sp4.8_rv70_tr1.10_th1.20,332.8732,25.2671,307.6061,7,2,2,75.7846,-0.3714,True,4.75,70.0,1.1,1.2
C_sp5.0_rv75_tr1.10_th1.20,331.8334,25.2671,306.5663,7,2,2,74.7448,-0.3714,True,5.0,75.0,1.1,1.2
C_sp5.0_rv80_tr1.10_th1.20,331.8334,25.2671,306.5663,7,2,2,74.7448,-0.3714,True,5.0,80.0,1.1,1.2
C_sp5.0_rv85_tr1.10_th1.20,331.8334,25.2671,306.5663,7,2,2,74.7448,-0.3714,True,5.0,85.0,1.1,1.2
C_sp5.0_rv90_tr1.10_th1.20,331.8334,25.2671,306.5663,7,2,2,74.7448,-0.3714,True,5.0,90.0,1.1,1.2
C_sp5.0_rv70_tr1.10_th1.20,330.3654,25.2671,305.0983,7,2,2,73.2769,-0.3714,True,5.0,70.0,1.1,1.2
C_sp5.2_rv75_tr1.10_th1.20,329.2194,25.2843,303.9351,7,2,2,72.1308,-0.3543,True,5.25,75.0,1.1,1.2
C_sp5.2_rv80_tr1.10_th1.20,329.2194,25.2843,303.9351,7,2,2,72.1308,-0.3543,True,5.25,80.0,1.1,1.2
C_sp5.2_rv85_tr1.10_th1.20,329.2194,25.2843,303.9351,7,2,2,72.1308,-0.3543,True,5.25,85.0,1.1,1.2
C_sp5.2_rv90_tr1.10_th1.20,329.2194,25.2843,303.9351,7,2,2,72.1308,-0.3543,True,5.25,90.0,1.1,1.2
C_sp5.2_rv70_tr1.10_th1.20,327.6163,25.2843,302.332,7,2,2,70.5277,-0.3543,True,5.25,70.0,1.1,1.2
C_sp5.5_rv75_tr1.10_th1.20,326.8059,25.31,301.4959,7,2,2,69.7173,-0.3286,True,5.5,75.0,1.1,1.2
C_sp5.5_rv80_tr1.10_th1.20,326.8059,25.31,301.4959,7,2,2,69.7173,-0.3286,True,5.5,80.0,1.1,1.2
C_sp5.5_rv85_tr1.10_th1.20,326.8059,25.31,301.4959,7,2,2,69.7173,-0.3286,True,5.5,85.0,1.1,1.2
C_sp5.5_rv90_tr1.10_th1.20,326.8059,25.31,301.4959,7,2,2,69.7173,-0.3286,True,5.5,90.0,1.1,1.2
C_sp4.8_rv75_tr1.15_th1.20,325.7976,25.3071,300.4905,7,2,2,68.709,-0.3314,True,4.75,75.0,1.15,1.2
C_sp4.8_rv80_tr1.15_th1.20,325.7976,25.3071,300.4905,7,2,2,68.709,-0.3314,True,4.75,80.0,1.15,1.2
C_sp4.8_rv85_tr1.15_th1.20,325.7976,25.3071,300.4905,7,2,2,68.709,-0.3314,True,4.75,85.0,1.15,1.2
C_sp4.8_rv90_tr1.15_th1.20,325.7976,25.3071,300.4905,7,2,2,68.709,-0.3314,True,4.75,90.0,1.15,1.2
C_sp5.5_rv70_tr1.10_th1.20,325.065,25.31,299.755,7,2,2,67.9764,-0.3286,True,5.5,70.0,1.1,1.2
