candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp4.8_rv75_tr1.10_th1.20,401.4104,25.995,375.4154,4,2,2,97.9694,-0.65,True
C_sp4.8_rv80_tr1.10_th1.20,401.4104,25.995,375.4154,4,2,2,97.9694,-0.65,True
C_sp4.8_rv85_tr1.10_th1.20,401.4104,25.995,375.4154,4,2,2,97.9694,-0.65,True
C_sp4.8_rv90_tr1.10_th1.20,401.4104,25.995,375.4154,4,2,2,97.9694,-0.65,True
C_sp4.8_rv70_tr1.10_th1.20,399.0775,25.995,373.0825,4,2,2,95.6365,-0.65,True
C_sp5.0_rv75_tr1.10_th1.20,398.0309,25.995,372.0359,4,2,2,94.5899,-0.65,True
C_sp5.0_rv80_tr1.10_th1.20,398.0309,25.995,372.0359,4,2,2,94.5899,-0.65,True
C_sp5.0_rv85_tr1.10_th1.20,398.0309,25.995,372.0359,4,2,2,94.5899,-0.65,True
C_sp5.0_rv90_tr1.10_th1.20,398.0309,25.995,372.0359,4,2,2,94.5899,-0.65,True
C_sp5.0_rv70_tr1.10_th1.20,395.462,25.995,369.467,4,2,2,92.021,-0.65,True
C_sp5.2_rv75_tr1.10_th1.20,394.0401,26.025,368.0151,4,2,2,90.599,-0.62,True
C_sp5.2_rv80_tr1.10_th1.20,394.0401,26.025,368.0151,4,2,2,90.599,-0.62,True
C_sp5.2_rv85_tr1.10_th1.20,394.0401,26.025,368.0151,4,2,2,90.599,-0.62,True
C_sp5.2_rv90_tr1.10_th1.20,394.0401,26.025,368.0151,4,2,2,90.599,-0.62,True
C_sp5.2_rv70_tr1.10_th1.20,391.2346,26.025,365.2097,4,2,2,87.7936,-0.62,True
C_sp5.5_rv75_tr1.10_th1.20,390.4948,26.07,364.4248,4,2,2,87.0538,-0.575,True
C_sp5.5_rv80_tr1.10_th1.20,390.4948,26.07,364.4248,4,2,2,87.0538,-0.575,True
C_sp5.5_rv85_tr1.10_th1.20,390.4948,26.07,364.4248,4,2,2,87.0538,-0.575,True
C_sp5.5_rv90_tr1.10_th1.20,390.4948,26.07,364.4248,4,2,2,87.0538,-0.575,True
C_sp4.8_rv75_tr1.15_th1.20,390.1284,26.065,364.0634,4,2,2,86.6874,-0.58,True
C_sp4.8_rv80_tr1.15_th1.20,390.1284,26.065,364.0634,4,2,2,86.6874,-0.58,True
C_sp4.8_rv85_tr1.15_th1.20,390.1284,26.065,364.0634,4,2,2,86.6874,-0.58,True
C_sp4.8_rv90_tr1.15_th1.20,390.1284,26.065,364.0634,4,2,2,86.6874,-0.58,True
C_sp4.8_rv75_tr1.05_th1.20,387.8481,25.9275,361.9206,4,2,2,84.407,-0.7175,True
C_sp4.8_rv80_tr1.05_th1.20,387.8481,25.9275,361.9206,4,2,2,84.407,-0.7175,True
C_sp4.8_rv85_tr1.05_th1.20,387.8481,25.9275,361.9206,4,2,2,84.407,-0.7175,True
C_sp4.8_rv90_tr1.05_th1.20,387.8481,25.9275,361.9206,4,2,2,84.407,-0.7175,True
C_sp4.8_rv70_tr1.15_th1.20,387.8706,26.065,361.8056,4,2,2,84.4296,-0.58,True
C_sp5.5_rv70_tr1.10_th1.20,387.4482,26.07,361.3782,4,2,2,84.0072,-0.575,True
C_sp4.8_rv75_tr1.10_th1.15,387.2236,25.995,361.2286,4,2,2,83.7826,-0.65,True
C_sp4.8_rv80_tr1.10_th1.15,387.2236,25.995,361.2286,4,2,2,83.7826,-0.65,True
C_sp4.8_rv85_tr1.10_th1.15,387.2236,25.995,361.2286,4,2,2,83.7826,-0.65,True
C_sp4.8_rv90_tr1.10_th1.15,387.2236,25.995,361.2286,4,2,2,83.7826,-0.65,True
C_sp5.0_rv75_tr1.15_th1.20,386.8431,26.065,360.7781,4,2,2,83.4021,-0.58,True
C_sp5.0_rv80_tr1.15_th1.20,386.8431,26.065,360.7781,4,2,2,83.4021,-0.58,True
C_sp5.0_rv85_tr1.15_th1.20,386.8431,26.065,360.7781,4,2,2,83.4021,-0.58,True
C_sp5.0_rv90_tr1.15_th1.20,386.8431,26.065,360.7781,4,2,2,83.4021,-0.58,True
C_sp4.8_rv70_tr1.05_th1.20,385.5781,25.9275,359.6506,4,2,2,82.1371,-0.7175,True
C_sp4.8_rv70_tr1.10_th1.15,384.9841,25.995,358.9891,4,2,2,81.5431,-0.65,True
C_sp5.0_rv75_tr1.05_th1.20,384.5598,25.9275,358.6323,4,2,2,81.1188,-0.7175,True
C_sp5.0_rv80_tr1.05_th1.20,384.5598,25.9275,358.6323,4,2,2,81.1188,-0.7175,True
C_sp5.0_rv85_tr1.05_th1.20,384.5598,25.9275,358.6323,4,2,2,81.1188,-0.7175,True
C_sp5.0_rv90_tr1.05_th1.20,384.5598,25.9275,358.6323,4,2,2,81.1188,-0.7175,True
C_sp5.0_rv70_tr1.15_th1.20,384.3569,26.065,358.2919,4,2,2,80.9159,-0.58,True
C_sp5.0_rv75_tr1.10_th1.15,383.9618,25.995,357.9668,4,2,2,80.5208,-0.65,True
C_sp5.0_rv80_tr1.10_th1.15,383.9618,25.995,357.9668,4,2,2,80.5208,-0.65,True
C_sp5.0_rv85_tr1.10_th1.15,383.9618,25.995,357.9668,4,2,2,80.5208,-0.65,True
C_sp5.0_rv90_tr1.10_th1.15,383.9618,25.995,357.9668,4,2,2,80.5208,-0.65,True
C_sp5.2_rv75_tr1.15_th1.20,382.9669,26.095,356.8718,4,2,2,79.5258,-0.55,True
