candidate_id,stop_pct,rv_gate,trail_scale,threshold_scale,strict_accept,score,avg_return_pct,avg_max_dd_pct,delta_avg_return_pct,delta_avg_max_dd_pct,ret_wins,dd_wins,both_wins
C_sp4.7_rv75_tr1.10_th1.20,4.7,75.0,1.1,1.2,True,309.1025,334.3697,25.2671,77.2811,-0.3714,7,2,2
C_sp4.7_rv80_tr1.10_th1.20,4.7,80.0,1.1,1.2,True,309.1025,334.3697,25.2671,77.2811,-0.3714,7,2,2
C_sp4.7_rv70_tr1.10_th1.20,4.7,70.0,1.1,1.2,True,307.7681,333.0353,25.2671,75.9467,-0.3714,7,2,2
C_sp4.8_rv75_tr1.10_th1.20,4.8,75.0,1.1,1.2,True,307.5084,332.7755,25.2671,75.6869,-0.3714,7,2,2
C_sp4.8_rv80_tr1.10_th1.20,4.8,80.0,1.1,1.2,True,307.5084,332.7755,25.2671,75.6869,-0.3714,7,2,2
C_sp4.9_rv75_tr1.10_th1.20,4.9,75.0,1.1,1.2,True,306.7866,332.0537,25.2671,74.9652,-0.3714,7,2,2
C_sp4.9_rv80_tr1.10_th1.20,4.9,80.0,1.1,1.2,True,306.7866,332.0537,25.2671,74.9652,-0.3714,7,2,2
C_sp4.8_rv70_tr1.10_th1.20,4.8,70.0,1.1,1.2,True,306.1569,331.4241,25.2671,74.3355,-0.3714,7,2,2
C_sp4.9_rv70_tr1.10_th1.20,4.9,70.0,1.1,1.2,True,305.3794,330.6466,25.2671,73.558,-0.3714,7,2,2
C_sp4.7_rv75_tr1.12_th1.20,4.7,75.0,1.12,1.2,True,304.9237,330.208,25.2843,73.1194,-0.3543,7,2,2
C_sp4.7_rv80_tr1.12_th1.20,4.7,80.0,1.12,1.2,True,304.9237,330.208,25.2843,73.1194,-0.3543,7,2,2
C_sp4.7_rv70_tr1.12_th1.20,4.7,70.0,1.12,1.2,True,303.6097,328.894,25.2843,71.8054,-0.3543,7,2,2
C_sp4.8_rv75_tr1.12_th1.20,4.8,75.0,1.12,1.2,True,303.3462,328.6304,25.2843,71.5419,-0.3543,7,2,2
C_sp4.8_rv80_tr1.12_th1.20,4.8,80.0,1.12,1.2,True,303.3462,328.6304,25.2843,71.5419,-0.3543,7,2,2
C_sp4.9_rv75_tr1.12_th1.20,4.9,75.0,1.12,1.2,True,302.6354,327.9197,25.2843,70.8311,-0.3543,7,2,2
C_sp4.9_rv80_tr1.12_th1.20,4.9,80.0,1.12,1.2,True,302.6354,327.9197,25.2843,70.8311,-0.3543,7,2,2
C_sp4.8_rv70_tr1.12_th1.20,4.8,70.0,1.12,1.2,True,302.0153,327.2996,25.2843,70.2111,-0.3543,7,2,2
C_sp4.9_rv70_tr1.12_th1.20,4.9,70.0,1.12,1.2,True,301.2497,326.534,25.2843,69.4454,-0.3543,7,2,2
C_sp4.7_rv75_tr1.10_th1.18,4.7,75.0,1.1,1.18,True,300.6953,325.9625,25.2671,68.8739,-0.3714,7,2,2
C_sp4.7_rv80_tr1.10_th1.18,4.7,80.0,1.1,1.18,True,300.6953,325.9625,25.2671,68.8739,-0.3714,7,2,2
C_sp4.7_rv70_tr1.10_th1.18,4.7,70.0,1.1,1.18,True,299.3959,324.663,25.2671,67.5744,-0.3714,7,2,2
C_sp4.8_rv75_tr1.10_th1.18,4.8,75.0,1.1,1.18,True,299.1337,324.4008,25.2671,67.3122,-0.3714,7,2,2
C_sp4.8_rv80_tr1.10_th1.18,4.8,80.0,1.1,1.18,True,299.1337,324.4008,25.2671,67.3122,-0.3714,7,2,2
C_sp4.9_rv75_tr1.10_th1.18,4.9,75.0,1.1,1.18,True,298.4308,323.6979,25.2671,66.6094,-0.3714,7,2,2
C_sp4.9_rv80_tr1.10_th1.18,4.9,80.0,1.1,1.18,True,298.4308,323.6979,25.2671,66.6094,-0.3714,7,2,2
C_sp4.8_rv70_tr1.10_th1.18,4.8,70.0,1.1,1.18,True,297.8176,323.0847,25.2671,65.9962,-0.3714,7,2,2
C_sp4.9_rv70_tr1.10_th1.18,4.9,70.0,1.1,1.18,True,297.0604,322.3276,25.2671,65.239,-0.3714,7,2,2
C_sp4.7_rv75_tr1.12_th1.18,4.7,75.0,1.12,1.18,True,296.4846,321.7689,25.2843,64.6804,-0.3543,7,2,2
C_sp4.7_rv80_tr1.12_th1.18,4.7,80.0,1.12,1.18,True,296.4846,321.7689,25.2843,64.6804,-0.3543,7,2,2
C_sp4.8_rv75_tr1.12_th1.18,4.8,75.0,1.12,1.18,True,294.9397,320.224,25.2843,63.1354,-0.3543,7,2,2
