candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp4.7_rv75_tr1.10_th1.20,401.6619,25.995,375.6669,4,2,2,98.2209,-0.65,True
C_sp4.7_rv80_tr1.10_th1.20,401.6619,25.995,375.6669,4,2,2,98.2209,-0.65,True
C_sp4.8_rv75_tr1.10_th1.20,399.6796,25.995,373.6846,4,2,2,96.2386,-0.65,True
C_sp4.8_rv80_tr1.10_th1.20,399.6796,25.995,373.6846,4,2,2,96.2386,-0.65,True
C_sp4.7_rv70_tr1.10_th1.20,399.3268,25.995,373.3318,4,2,2,95.8858,-0.65,True
C_sp4.9_rv75_tr1.10_th1.20,398.4165,25.995,372.4215,4,2,2,94.9755,-0.65,True
C_sp4.9_rv80_tr1.10_th1.20,398.4165,25.995,372.4215,4,2,2,94.9755,-0.65,True
C_sp4.8_rv70_tr1.10_th1.20,397.3146,25.995,371.3196,4,2,2,93.8736,-0.65,True
C_sp4.7_rv75_tr1.12_th1.20,396.1803,26.025,370.1553,4,2,2,92.7393,-0.62,True
C_sp4.7_rv80_tr1.12_th1.20,396.1803,26.025,370.1553,4,2,2,92.7393,-0.62,True
C_sp4.9_rv70_tr1.10_th1.20,395.954,25.995,369.959,4,2,2,92.5129,-0.65,True
C_sp4.8_rv75_tr1.12_th1.20,394.2214,26.025,368.1964,4,2,2,90.7804,-0.62,True
C_sp4.8_rv80_tr1.12_th1.20,394.2214,26.025,368.1964,4,2,2,90.7804,-0.62,True
C_sp4.7_rv70_tr1.12_th1.20,393.8808,26.025,367.8558,4,2,2,90.4397,-0.62,True
C_sp4.9_rv75_tr1.12_th1.20,392.9776,26.025,366.9526,4,2,2,89.5366,-0.62,True
C_sp4.9_rv80_tr1.12_th1.20,392.9776,26.025,366.9526,4,2,2,89.5366,-0.62,True
C_sp4.7_rv75_tr1.10_th1.18,392.3857,25.995,366.3907,4,2,2,88.9447,-0.65,True
C_sp4.7_rv80_tr1.10_th1.18,392.3857,25.995,366.3907,4,2,2,88.9447,-0.65,True
