candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept,stop_pct,rv_gate,trail_scale,threshold_scale
C_sp4.8_rv75_tr1.10_th1.20,332.7755,25.2671,282.2412,7,2,2,75.6869,-0.3714,True,4.8,75.0,1.1,1.2
C_sp4.8_rv80_tr1.10_th1.20,332.7755,25.2671,282.2412,7,2,2,75.6869,-0.3714,True,4.8,80.0,1.1,1.2
C_sp4.8_rv85_tr1.10_th1.20,332.7755,25.2671,282.2412,7,2,2,75.6869,-0.3714,True,4.8,85.0,1.1,1.2
C_sp5.0_rv75_tr1.10_th1.20,331.8334,25.2671,281.2991,7,2,2,74.7448,-0.3714,True,5.0,75.0,1.1,1.2
C_sp5.0_rv80_tr1.10_th1.20,331.8334,25.2671,281.2991,7,2,2,74.7448,-0.3714,True,5.0,80.0,1.1,1.2
C_sp5.0_rv85_tr1.10_th1.20,331.8334,25.2671,281.2991,7,2,2,74.7448,-0.3714,True,5.0,85.0,1.1,1.2
C_sp4.8_rv70_tr1.10_th1.20,331.4241,25.2671,280.8898,7,2,2,74.3355,-0.3714,True,4.8,70.0,1.1,1.2
C_sp5.0_rv70_tr1.10_th1.20,330.3654,25.2671,279.8312,7,2,2,73.2769,-0.3714,True,5.0,70.0,1.1,1.2
C_sp5.2_rv75_tr1.10_th1.20,329.7929,25.28,279.2329,7,2,2,72.7043,-0.3586,True,5.2,75.0,1.1,1.2
C_sp5.2_rv80_tr1.10_th1.20,329.7929,25.28,279.2329,7,2,2,72.7043,-0.3586,True,5.2,80.0,1.1,1.2
C_sp5.2_rv85_tr1.10_th1.20,329.7929,25.28,279.2329,7,2,2,72.7043,-0.3586,True,5.2,85.0,1.1,1.2
C_sp5.2_rv70_tr1.10_th1.20,328.2156,25.28,277.6556,7,2,2,71.127,-0.3586,True,5.2,70.0,1.1,1.2
C_sp5.4_rv75_tr1.10_th1.20,327.5887,25.3043,276.9802,7,2,2,70.5002,-0.3343,True,5.4,75.0,1.1,1.2
C_sp5.4_rv80_tr1.10_th1.20,327.5887,25.3043,276.9802,7,2,2,70.5002,-0.3343,True,5.4,80.0,1.1,1.2
C_sp5.4_rv85_tr1.10_th1.20,327.5887,25.3043,276.9802,7,2,2,70.5002,-0.3343,True,5.4,85.0,1.1,1.2
C_sp5.4_rv70_tr1.10_th1.20,325.9058,25.3043,275.2972,7,2,2,68.8172,-0.3343,True,5.4,70.0,1.1,1.2
C_sp4.8_rv75_tr1.02_th1.20,325.184,25.2029,274.7783,7,2,2,68.0955,-0.4357,True,4.8,75.0,1.02,1.2
C_sp4.8_rv80_tr1.02_th1.20,325.184,25.2029,274.7783,7,2,2,68.0955,-0.4357,True,4.8,80.0,1.02,1.2
C_sp4.8_rv85_tr1.02_th1.20,325.184,25.2029,274.7783,7,2,2,68.0955,-0.4357,True,4.8,85.0,1.02,1.2
C_sp4.8_rv75_tr1.10_th1.18,324.4008,25.2671,273.8665,7,2,2,67.3122,-0.3714,True,4.8,75.0,1.1,1.18
C_sp4.8_rv80_tr1.10_th1.18,324.4008,25.2671,273.8665,7,2,2,67.3122,-0.3714,True,4.8,80.0,1.1,1.18
C_sp4.8_rv85_tr1.10_th1.18,324.4008,25.2671,273.8665,7,2,2,67.3122,-0.3714,True,4.8,85.0,1.1,1.18
C_sp5.0_rv75_tr1.02_th1.20,324.2578,25.2029,273.8521,7,2,2,67.1692,-0.4357,True,5.0,75.0,1.02,1.2
C_sp5.0_rv80_tr1.02_th1.20,324.2578,25.2029,273.8521,7,2,2,67.1692,-0.4357,True,5.0,80.0,1.02,1.2
C_sp5.0_rv85_tr1.02_th1.20,324.2578,25.2029,273.8521,7,2,2,67.1692,-0.4357,True,5.0,85.0,1.02,1.2
C_sp4.8_rv70_tr1.02_th1.20,323.8553,25.2029,273.4496,7,2,2,66.7668,-0.4357,True,4.8,70.0,1.02,1.2
C_sp5.6_rv70_tr1.10_th1.20,323.9854,25.3229,273.3397,7,2,2,66.8969,-0.3157,True,5.6,70.0,1.1,1.2
C_sp5.6_rv75_tr1.10_th1.20,323.9854,25.3229,273.3397,7,2,2,66.8969,-0.3157,True,5.6,75.0,1.1,1.2
C_sp5.6_rv80_tr1.10_th1.20,323.9854,25.3229,273.3397,7,2,2,66.8969,-0.3157,True,5.6,80.0,1.1,1.2
C_sp5.6_rv85_tr1.10_th1.20,323.9854,25.3229,273.3397,7,2,2,66.8969,-0.3157,True,5.6,85.0,1.1,1.2
C_sp5.0_rv75_tr1.10_th1.18,323.4834,25.2671,272.9491,7,2,2,66.3948,-0.3714,True,5.0,75.0,1.1,1.18
C_sp5.0_rv80_tr1.10_th1.18,323.4834,25.2671,272.9491,7,2,2,66.3948,-0.3714,True,5.0,80.0,1.1,1.18
C_sp5.0_rv85_tr1.10_th1.18,323.4834,25.2671,272.9491,7,2,2,66.3948,-0.3714,True,5.0,85.0,1.1,1.18
C_sp4.8_rv70_tr1.10_th1.18,323.0847,25.2671,272.5505,7,2,2,65.9962,-0.3714,True,4.8,70.0,1.1,1.18
C_sp5.0_rv70_tr1.02_th1.20,322.8145,25.2029,272.4088,7,2,2,65.7259,-0.4357,True,5.0,70.0,1.02,1.2
C_sp5.2_rv75_tr1.02_th1.20,322.252,25.2157,271.8205,7,2,2,65.1634,-0.4229,True,5.2,75.0,1.02,1.2
C_sp5.2_rv80_tr1.02_th1.20,322.252,25.2157,271.8205,7,2,2,65.1634,-0.4229,True,5.2,80.0,1.02,1.2
C_sp5.2_rv85_tr1.02_th1.20,322.252,25.2157,271.8205,7,2,2,65.1634,-0.4229,True,5.2,85.0,1.02,1.2
C_sp4.8_rv75_tr1.05_th1.20,320.6581,25.2286,270.2009,7,2,2,63.5695,-0.41,True,4.8,75.0,1.05,1.2
C_sp4.8_rv80_tr1.05_th1.20,320.6581,25.2286,270.2009,7,2,2,63.5695,-0.41,True,4.8,80.0,1.05,1.2
C_sp5.0_rv80_tr1.00_th1.00,257.0886,25.6386,205.8114,0,0,0,0.0,0.0,False,5.0,80.0,1.0,1.0
