candidate_id,stop_pct,rv_gate,trail_scale,threshold_scale,strict_accept,score,avg_return_pct,avg_max_dd_pct,delta_avg_return_pct,delta_avg_max_dd_pct,ret_wins,dd_wins,both_wins
C_sp4.8_rv75_tr1.10_th1.20,4.8,75.0,1.1,1.2,True,282.2412,332.7755,25.2671,75.6869,-0.3714,7,2,2
C_sp4.8_rv80_tr1.10_th1.20,4.8,80.0,1.1,1.2,True,282.2412,332.7755,25.2671,75.6869,-0.3714,7,2,2
C_sp4.8_rv85_tr1.10_th1.20,4.8,85.0,1.1,1.2,True,282.2412,332.7755,25.2671,75.6869,-0.3714,7,2,2
C_sp5.0_rv75_tr1.10_th1.20,5.0,75.0,1.1,1.2,True,281.2991,331.8334,25.2671,74.7448,-0.3714,7,2,2
C_sp5.0_rv80_tr1.10_th1.20,5.0,80.0,1.1,1.2,True,281.2991,331.8334,25.2671,74.7448,-0.3714,7,2,2
C_sp5.0_rv85_tr1.10_th1.20,5.0,85.0,1.1,1.2,True,281.2991,331.8334,25.2671,74.7448,-0.3714,7,2,2
C_sp4.8_rv70_tr1.10_th1.20,4.8,70.0,1.1,1.2,True,280.8898,331.4241,25.2671,74.3355,-0.3714,7,2,2
C_sp5.0_rv70_tr1.10_th1.20,5.0,70.0,1.1,1.2,True,279.8312,330.3654,25.2671,73.2769,-0.3714,7,2,2
C_sp5.2_rv75_tr1.10_th1.20,5.2,75.0,1.1,1.2,True,279.2329,329.7929,25.28,72.7043,-0.3586,7,2,2
C_sp5.2_rv80_tr1.10_th1.20,5.2,80.0,1.1,1.2,True,279.2329,329.7929,25.28,72.7043,-0.3586,7,2,2
C_sp5.2_rv85_tr1.10_th1.20,5.2,85.0,1.1,1.2,True,279.2329,329.7929,25.28,72.7043,-0.3586,7,2,2
C_sp5.2_rv70_tr1.10_th1.20,5.2,70.0,1.1,1.2,True,277.6556,328.2156,25.28,71.127,-0.3586,7,2,2
C_sp5.4_rv75_tr1.10_th1.20,5.4,75.0,1.1,1.2,True,276.9802,327.5887,25.3043,70.5002,-0.3343,7,2,2
C_sp5.4_rv80_tr1.10_th1.20,5.4,80.0,1.1,1.2,True,276.9802,327.5887,25.3043,70.5002,-0.3343,7,2,2
C_sp5.4_rv85_tr1.10_th1.20,5.4,85.0,1.1,1.2,True,276.9802,327.5887,25.3043,70.5002,-0.3343,7,2,2
C_sp5.4_rv70_tr1.10_th1.20,5.4,70.0,1.1,1.2,True,275.2972,325.9058,25.3043,68.8172,-0.3343,7,2,2
C_sp4.8_rv75_tr1.02_th1.20,4.8,75.0,1.02,1.2,True,274.7783,325.184,25.2029,68.0955,-0.4357,7,2,2
C_sp4.8_rv80_tr1.02_th1.20,4.8,80.0,1.02,1.2,True,274.7783,325.184,25.2029,68.0955,-0.4357,7,2,2
C_sp4.8_rv85_tr1.02_th1.20,4.8,85.0,1.02,1.2,True,274.7783,325.184,25.2029,68.0955,-0.4357,7,2,2
C_sp4.8_rv75_tr1.10_th1.18,4.8,75.0,1.1,1.18,True,273.8665,324.4008,25.2671,67.3122,-0.3714,7,2,2
C_sp4.8_rv80_tr1.10_th1.18,4.8,80.0,1.1,1.18,True,273.8665,324.4008,25.2671,67.3122,-0.3714,7,2,2
C_sp4.8_rv85_tr1.10_th1.18,4.8,85.0,1.1,1.18,True,273.8665,324.4008,25.2671,67.3122,-0.3714,7,2,2
C_sp5.0_rv75_tr1.02_th1.20,5.0,75.0,1.02,1.2,True,273.8521,324.2578,25.2029,67.1692,-0.4357,7,2,2
C_sp5.0_rv80_tr1.02_th1.20,5.0,80.0,1.02,1.2,True,273.8521,324.2578,25.2029,67.1692,-0.4357,7,2,2
C_sp5.0_rv85_tr1.02_th1.20,5.0,85.0,1.02,1.2,True,273.8521,324.2578,25.2029,67.1692,-0.4357,7,2,2
C_sp4.8_rv70_tr1.02_th1.20,4.8,70.0,1.02,1.2,True,273.4496,323.8553,25.2029,66.7668,-0.4357,7,2,2
C_sp5.6_rv70_tr1.10_th1.20,5.6,70.0,1.1,1.2,True,273.3397,323.9854,25.3229,66.8969,-0.3157,7,2,2
C_sp5.6_rv75_tr1.10_th1.20,5.6,75.0,1.1,1.2,True,273.3397,323.9854,25.3229,66.8969,-0.3157,7,2,2
C_sp5.6_rv80_tr1.10_th1.20,5.6,80.0,1.1,1.2,True,273.3397,323.9854,25.3229,66.8969,-0.3157,7,2,2
C_sp5.6_rv85_tr1.10_th1.20,5.6,85.0,1.1,1.2,True,273.3397,323.9854,25.3229,66.8969,-0.3157,7,2,2
