candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp4.8_rv75_tr1.10_th1.20,381.2554,25.995,329.2654,4,2,2,97.7308,-0.65,True
C_sp4.8_rv80_tr1.10_th1.20,381.2554,25.995,329.2654,4,2,2,97.7308,-0.65,True
C_sp4.8_rv85_tr1.10_th1.20,381.2554,25.995,329.2654,4,2,2,97.7308,-0.65,True
C_sp5.0_rv75_tr1.10_th1.20,379.6067,25.995,327.6167,4,2,2,96.0821,-0.65,True
C_sp5.0_rv80_tr1.10_th1.20,379.6067,25.995,327.6167,4,2,2,96.0821,-0.65,True
C_sp5.0_rv85_tr1.10_th1.20,379.6067,25.995,327.6167,4,2,2,96.0821,-0.65,True
C_sp4.8_rv70_tr1.10_th1.20,378.8904,25.995,326.9004,4,2,2,95.3657,-0.65,True
C_sp5.0_rv70_tr1.10_th1.20,377.0378,25.995,325.0478,4,2,2,93.5131,-0.65,True
C_sp5.2_rv75_tr1.10_th1.20,376.5624,26.0175,324.5274,4,2,2,93.0377,-0.6275,True
C_sp5.2_rv80_tr1.10_th1.20,376.5624,26.0175,324.5274,4,2,2,93.0377,-0.6275,True
C_sp5.2_rv85_tr1.10_th1.20,376.5624,26.0175,324.5274,4,2,2,93.0377,-0.6275,True
C_sp5.2_rv70_tr1.10_th1.20,373.8021,26.0175,321.7672,4,2,2,90.2775,-0.6275,True
C_sp5.4_rv75_tr1.10_th1.20,373.24,26.06,321.12,4,2,2,89.7154,-0.585,True
C_sp5.4_rv80_tr1.10_th1.20,373.24,26.06,321.12,4,2,2,89.7154,-0.585,True
C_sp5.4_rv85_tr1.10_th1.20,373.24,26.06,321.12,4,2,2,89.7154,-0.585,True
C_sp4.8_rv75_tr1.02_th1.20,372.8705,25.8825,321.1055,4,2,2,89.3459,-0.7625,True
C_sp4.8_rv80_tr1.02_th1.20,372.8705,25.8825,321.1055,4,2,2,89.3459,-0.7625,True
C_sp4.8_rv85_tr1.02_th1.20,372.8705,25.8825,321.1055,4,2,2,89.3459,-0.7625,True
C_sp4.8_rv75_tr1.10_th1.18,372.019,25.995,320.029,4,2,2,88.4943,-0.65,True
C_sp4.8_rv80_tr1.10_th1.18,372.019,25.995,320.029,4,2,2,88.4943,-0.65,True
C_sp4.8_rv85_tr1.10_th1.18,372.019,25.995,320.029,4,2,2,88.4943,-0.65,True
C_sp5.0_rv75_tr1.02_th1.20,371.2496,25.8825,319.4846,4,2,2,87.7249,-0.7625,True
C_sp5.0_rv80_tr1.02_th1.20,371.2496,25.8825,319.4846,4,2,2,87.7249,-0.7625,True
C_sp5.0_rv85_tr1.02_th1.20,371.2496,25.8825,319.4846,4,2,2,87.7249,-0.7625,True
C_sp4.8_rv70_tr1.02_th1.20,370.5453,25.8825,318.7803,4,2,2,87.0206,-0.7625,True
C_sp5.0_rv75_tr1.10_th1.18,370.4135,25.995,318.4235,4,2,2,86.8888,-0.65,True
C_sp5.0_rv80_tr1.10_th1.18,370.4135,25.995,318.4235,4,2,2,86.8888,-0.65,True
C_sp5.0_rv85_tr1.10_th1.18,370.4135,25.995,318.4235,4,2,2,86.8888,-0.65,True
C_sp5.4_rv70_tr1.10_th1.20,370.2948,26.06,318.1748,4,2,2,86.7702,-0.585,True
C_sp4.8_rv70_tr1.10_th1.18,369.7159,25.995,317.7259,4,2,2,86.1912,-0.65,True
C_sp5.0_rv70_tr1.02_th1.20,368.7238,25.8825,316.9588,4,2,2,85.1992,-0.7625,True
C_sp5.2_rv75_tr1.02_th1.20,368.2566,25.905,316.4466,4,2,2,84.732,-0.74,True
C_sp5.2_rv80_tr1.02_th1.20,368.2566,25.905,316.4466,4,2,2,84.732,-0.74,True
C_sp5.2_rv85_tr1.02_th1.20,368.2566,25.905,316.4466,4,2,2,84.732,-0.74,True
C_sp5.6_rv70_tr1.10_th1.20,368.4306,26.0925,316.2456,4,2,2,84.906,-0.5525,True
C_sp5.6_rv75_tr1.10_th1.20,368.4306,26.0925,316.2456,4,2,2,84.906,-0.5525,True
C_sp5.6_rv80_tr1.10_th1.20,368.4306,26.0925,316.2456,4,2,2,84.906,-0.5525,True
C_sp5.6_rv85_tr1.10_th1.20,368.4306,26.0925,316.2456,4,2,2,84.906,-0.5525,True
C_sp4.8_rv75_tr1.05_th1.20,367.7954,25.9275,315.9404,4,2,2,84.2708,-0.7175,True
C_sp4.8_rv80_tr1.05_th1.20,367.7954,25.9275,315.9404,4,2,2,84.2708,-0.7175,True
C_sp4.8_rv85_tr1.05_th1.20,367.7954,25.9275,315.9404,4,2,2,84.2708,-0.7175,True
C_sp5.0_rv70_tr1.10_th1.18,367.9117,25.995,315.9217,4,2,2,84.3871,-0.65,True
C_sp5.2_rv75_tr1.10_th1.18,367.4424,26.0175,315.4074,4,2,2,83.9178,-0.6275,True
C_sp5.2_rv80_tr1.10_th1.18,367.4424,26.0175,315.4074,4,2,2,83.9178,-0.6275,True
C_sp5.2_rv85_tr1.10_th1.18,367.4424,26.0175,315.4074,4,2,2,83.9178,-0.6275,True
C_sp5.0_rv75_tr1.05_th1.20,366.1912,25.9275,314.3362,4,2,2,82.6666,-0.7175,True
C_sp5.0_rv80_tr1.05_th1.20,366.1912,25.9275,314.3362,4,2,2,82.6666,-0.7175,True
C_sp5.0_rv85_tr1.05_th1.20,366.1912,25.9275,314.3362,4,2,2,82.6666,-0.7175,True
C_sp5.2_rv70_tr1.02_th1.20,365.5428,25.905,313.7328,4,2,2,82.0182,-0.74,True
C_sp4.8_rv70_tr1.05_th1.20,365.4942,25.9275,313.6392,4,2,2,81.9696,-0.7175,True
