Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %
2024-04-10,10000.0,CASH,no change,no change,15:55,SOXS,SOXS,9999.0,-1.0,-0.01,0.01
2024-04-11,9999.0,SOXS,no change,no change,no change,no change,SOXS,9358.55,-640.45,-6.41,6.41
2024-04-12,9358.55,SOXS,no change,no change,no change,no change,SOXS,10275.53,916.98,9.8,0.0
2024-04-15,10275.53,SOXS,no change,no change,no change,no change,SOXS,10645.17,369.64,3.6,0.0
2024-04-16,10645.17,SOXS,no change,no change,no change,no change,SOXS,10380.37,-264.8,-2.49,2.49
2024-04-17,10380.37,SOXS,no change,no change,15:55,SOXL,SOXL,11337.55,957.18,9.22,0.0
2024-04-18,11337.55,SOXL,no change,no change,15:55,SOXS,SOXS,10595.51,-742.03,-6.54,6.54
2024-04-19,10595.51,SOXS,no change,no change,no change,no change,SOXS,11793.61,1198.1,11.31,0.0
2024-04-22,11793.61,SOXS,no change,no change,no change,no change,SOXS,11328.74,-464.88,-3.94,3.94
2024-04-23,11328.74,SOXS,17:39,SOXS,15:55,SOXL,SOXL,10042.54,-1286.2,-11.35,14.85
2024-04-24,10042.54,SOXL,10:02,SOXL,15:55,SOXL,SOXL,10794.49,751.96,7.49,8.47
2024-04-25,10794.49,SOXL,no change,no change,no change,no change,SOXL,11331.92,537.42,4.98,3.91
2024-04-26,11331.92,SOXL,no change,no change,no change,no change,SOXL,12010.51,678.59,5.99,0.0
2024-04-29,12010.51,SOXL,no change,no change,15:55,SOXS,SOXS,12282.48,271.97,2.26,0.0
2024-04-30,12282.48,SOXS,no change,no change,15:55,SOXL,SOXL,12992.82,710.35,5.78,0.0
2024-05-01,12992.82,SOXL,no change,no change,no change,no change,SOXL,11668.1,-1324.72,-10.2,10.2
2024-05-02,11668.1,SOXL,no change,no change,15:55,SOXS,SOXS,12346.21,678.11,5.81,4.98
2024-05-03,12346.21,SOXS,08:30,SOXS,no change,no change,CASH,11694.68,-651.52,-5.28,9.99
2024-05-06,11694.68,CASH,no change,no change,15:55,SOXS,SOXS,11693.52,-1.17,-0.01,10.0
2024-05-07,11693.52,SOXS,no change,no change,15:55,SOXL,SOXL,11928.47,234.95,2.01,8.19
2024-05-08,11928.47,SOXL,no change,no change,no change,no change,SOXL,11937.53,9.06,0.08,8.12
2024-05-09,11937.53,SOXL,no change,no change,no change,no change,SOXL,11761.48,-176.05,-1.47,9.48
2024-05-10,11761.48,SOXL,no change,no change,15:55,SOXS,SOXS,12143.07,381.59,3.24,6.54
2024-05-13,12143.07,SOXS,no change,no change,no change,no change,SOXS,12088.0,-55.06,-0.45,6.96
2024-05-14,12088.0,SOXS,15:55,SOXS,no change,no change,CASH,11481.4,-606.6,-5.02,11.63
2024-05-15,11481.4,CASH,no change,no change,15:55,SOXL,SOXL,11480.25,-1.15,-0.01,11.64
2024-05-16,11480.25,SOXL,no change,no change,no change,no change,SOXL,11342.82,-137.44,-1.2,12.7
2024-05-17,11342.82,SOXL,no change,no change,no change,no change,SOXL,11114.55,-228.27,-2.01,14.46
2024-05-20,11114.55,SOXL,13:57,SOXL,15:55,SOXL,SOXL,11812.69,698.14,6.28,9.08
2024-05-21,11812.69,SOXL,no change,no change,no change,no change,SOXL,11788.15,-24.54,-0.21,9.27
2024-05-22,11788.15,SOXL,no change,no change,no change,no change,SOXL,12104.43,316.28,2.68,6.84
2024-05-23,12104.43,SOXL,09:31,SOXL,15:55,SOXL,SOXL,12839.64,735.21,6.07,1.18
2024-05-24,12839.64,SOXL,no change,no change,no change,no change,SOXL,13608.91,769.27,5.99,0.0
2024-05-28,13608.91,SOXL,no change,no change,no change,no change,SOXL,14226.08,617.17,4.54,0.0
2024-05-29,14226.08,SOXL,no change,no change,no change,no change,SOXL,13446.05,-780.04,-5.48,5.48
2024-05-30,13446.05,SOXL,no change,no change,no change,no change,SOXL,13232.43,-213.61,-1.59,6.98
2024-05-31,13232.43,SOXL,no change,no change,no change,no change,SOXL,12711.96,-520.47,-3.93,10.64
2024-06-03,12711.96,SOXL,no change,no change,no change,no change,SOXL,12785.99,74.03,0.58,10.12
2024-06-04,12785.99,SOXL,no change,no change,no change,no change,SOXL,12571.01,-214.98,-1.68,11.63
2024-06-05,12571.01,SOXL,no change,no change,no change,no change,SOXL,14201.08,1630.07,12.97,0.18
2024-06-06,14201.08,SOXL,no change,no change,no change,no change,SOXL,13947.09,-254.0,-1.79,1.96
2024-06-07,13947.09,SOXL,no change,no change,no change,no change,SOXL,13734.7,-212.39,-1.52,3.45
2024-06-10,13734.7,SOXL,no change,no change,no change,no change,SOXL,14277.32,542.63,3.95,0.0
2024-06-11,14277.32,SOXL,no change,no change,no change,no change,SOXL,14323.05,45.72,0.32,0.0
2024-06-12,14323.05,SOXL,10:44,SOXL,15:55,SOXL,SOXL,15368.6,1045.55,7.3,0.0
2024-06-13,15368.6,SOXL,no change,no change,no change,no change,SOXL,15861.5,492.9,3.21,0.0
2024-06-14,15861.5,SOXL,no change,no change,no change,no change,SOXL,15550.36,-311.13,-1.96,1.96
2024-06-17,15550.36,SOXL,no change,no change,no change,no change,SOXL,16424.87,874.51,5.62,0.0
2024-06-18,16424.87,SOXL,no change,no change,no change,no change,SOXL,17028.6,603.73,3.68,0.0
2024-06-20,17028.6,SOXL,no change,no change,no change,no change,SOXL,15738.85,-1289.75,-7.57,7.57
2024-06-21,15738.85,SOXL,no change,no change,15:55,SOXS,SOXS,15116.21,-622.63,-3.96,11.23
2024-06-24,15116.21,SOXS,no change,no change,no change,no change,SOXS,16383.46,1267.25,8.38,3.79
2024-06-25,16383.46,SOXS,no change,no change,no change,no change,SOXS,15708.13,-675.33,-4.12,7.75
