candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_ov,bias,a20,a60,b_rv,b_dd,temp,floor,ceil,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
G1-146739,True,-76.54099444051889,120.67880470825463,366.82283740004,372.7763263865868,3.932902057999298,0.5856030080156532,-0.16742563933935958,0.4704225770639409,0.06444765068662708,0.13084360678860474,0.09103826330848515,0.9866970032167229,88.3189325291589,8.91,147.76647784942375,26.49,146.52237952977512,27.12,255.02270950228385,27.12,434.66935003826643,27.12,416.3821780799739,27.12,1103.8526728282447,38.91,1220.382,54.46
G1-064301,True,-78.8081086994607,126.52032864581028,361.70809418617824,577.0705263865868,3.7613826898503433,0.6061525161782417,-0.19653669840012197,0.48932272743040706,0.05279573669311049,0.18448855890337829,0.09123253472253312,0.9418748842012468,88.32362920997332,8.91,147.77273261334517,26.49,146.5369482948309,27.11,249.1556653549366,27.11,430.68948593983316,27.11,413.4077377043881,27.11,1105.692234088402,29.55,1424.6762,54.8
G1-718827,True,-80.10186203715962,120.0366056723402,332.68951107448845,333.28962638658686,0.6402367534330917,0.6531946521985309,-0.1855224750712864,0.10667538656413637,0.04375623664946185,0.2060881120542743,0.1634529569938518,0.8598245060820526,90.04880395226998,8.05,150.08567257068083,25.3,152.82413430263097,25.95,245.31408762097428,25.95,426.7943935611497,25.95,403.71041951771974,25.95,1090.266061542064,42.41,1180.8953000000001,56.72
G1-921165,True,-81.1499380240748,121.60978150946694,353.6990295766042,254.49702638658664,5.454537492529754,0.38835306333503977,-0.17204115004988765,0.4289944182593061,0.08290287102656571,0.07683416421414574,0.13169558756208974,0.8931299572637457,89.2940078447947,8.43,149.0735545436915,25.77,150.22412087665046,26.41,248.10783934429264,26.41,431.5623325191072,26.41,409.7971502992788,26.41,1100.4209103046633,44.05,1102.1027,57.91
G1-918295,True,-86.22003371334648,126.76909002593865,334.9983378486045,352.46112638658656,3.9069284509361673,0.3028645375493401,-0.13442314195706268,0.20606762032267162,0.09749264633903554,0.07867958544193478,0.13141165833139154,0.8575375086399968,89.28724202566542,8.43,149.06448522931913,25.71,150.41939240590204,26.35,244.0976001219631,26.35,425.43958846452614,26.35,405.2376068668367,26.35,1091.0740003737947,41.82,1200.0667999999998,56.27
G1-1128893,True,-88.81135732537736,124.45672840237873,303.87852549269644,262.8759263865868,3.671713328444344,0.6616605463937186,-0.19916087405473348,0.2587869184094152,0.11731536571382462,0.15912491621803992,0.2227109778316103,0.8126721305584234,91.44081289171436,7.72,151.95307711088583,24.44,157.60222207372837,25.11,240.6633876554995,25.11,418.9611701391077,25.11,392.8590739564502,25.11,1072.3327209282731,44.58,1110.4816,58.37
G1-136844,True,-89.52516479959034,125.73502802777384,294.2514670045176,339.2358263865867,5.519315617029227,0.39982439796944047,-0.14478200638890135,0.6616456876881159,0.027630531444217343,0.2599421950517686,0.1260387066791279,0.9600085384701563,89.15894601235578,8.5,148.8924661782719,26.04,149.14921616753563,26.67,246.31138331434704,26.67,425.8303585730303,26.67,401.6092843839581,26.67,1053.9554520125864,37.88,1186.8415,57.54
G1-1180250,True,-89.60476410982488,129.4287830009388,323.5649236338219,373.3763263865867,6.962590031210791,0.5204438820905589,-0.19622777897628163,0.35550834418756505,0.19553720805688066,0.10155380090920192,0.09991364199374604,0.9111289309776467,88.53263521549317,8.81,148.05287109618894,26.22,147.72241359555142,26.85,245.87996623369554,26.85,425.4607291314466,26.85,412.7110207202504,26.85,1072.1671723055983,37.21,1220.982,54.28
G1-1257766,True,-90.04166424451446,132.2366320321246,346.68817259878375,376.3075263865869,2.0660685016259794,0.37646785712261166,-0.10493424910376002,0.3345082628876697,0.014125909482171118,0.14690322139610865,0.03830567644510681,0.9821959718116442,86.86973379903269,9.55,145.82975581785723,27.17,142.35367944098303,27.78,251.08400315041646,27.78,426.70359403290047,27.78,411.06197457338584,27.78,1096.9394674174248,38.39,1223.9132000000002,54.31
G1-634108,True,-92.47090078169353,127.48514256264907,281.90669253223797,341.17862638658676,4.255461789508386,0.6560776591479047,-0.186689471320015,0.7596620100066555,0.012701122686661926,0.512224739888455,0.16910041809931542,0.9634029187097252,90.18239315760037,7.98,150.26512347572933,25.48,152.38692436505445,26.13,245.9237643234126,26.13,418.83405038886866,26.13,391.26694516139236,26.13,1051.9530167628725,37.68,1188.7843,56.54
G1-965416,True,-106.40824907870036,140.26086059888002,278.6551499244792,299.35482638658664,3.006824351992556,0.6583289334897438,-0.16626675099103494,0.5352338814469091,0.03386444494131302,0.1197420136496703,0.163862109889025,0.8348769294720445,90.05849780442712,8.04,150.09867878730995,25.25,153.00875900649427,25.9,243.26979933909527,25.9,408.38080273710784,25.9,386.93302916301883,25.9,1053.0353901534872,42.14,1146.9605,56.53
G1-420265,True,-123.10736299023695,156.21333825613618,278.93372738167506,260.6301263865869,2.348465335722244,0.24889295485450288,-0.09705341380427886,0.1939948771931776,0.03671633822490374,0.09414060347235238,0.17336545870574796,0.7156489399004995,90.28315316395033,7.93,150.39999187602314,24.91,154.464860374917,25.56,229.99798161494294,25.56,403.7180729873449,25.56,385.6944275833459,25.56,1054.552569190356,43.04,1108.2358000000002,57.21
G1-058713,True,-125.10025615329288,158.06809705811628,265.7030637709167,319.8767263865868,5.78093144257163,0.3891678503384651,-0.15295130647160776,0.5374359163377942,0.06889871664682944,0.06993545291311642,0.10833098910755634,0.8061202164148846,88.73486619442834,8.71,148.32394195388892,25.92,148.98966742376297,26.55,232.76486416310246,26.55,408.1959614800155,26.55,392.3540912182621,26.55,1034.6622419446815,39.99,1167.4824,55.15
G1-533926,True,-137.64920687934037,166.6761098135777,215.98102406505598,371.44002638658685,4.998403702639056,0.6186523029320464,-0.19257954830212276,0.4988997037255408,0.053934596360107445,0.17706680172187012,0.08455377892077959,0.96639642759748,87.78699343223866,8.99,147.06486248760035,26.58,145.54725075723294,27.2,242.31861310487278,27.2,395.68356867779204,27.2,379.36588523164494,27.2,997.9284082254379,33.08,1219.0457000000001,56.53
G1-1381883,True,-142.49669956040458,168.00523518991938,172.66829101783065,412.08532638658676,7.454337679364068,0.5998184194353334,-0.18497126683625337,0.6936917293907703,0.13341987654993223,0.16215121467000623,0.09320675990136232,0.9673394967988678,88.37119831447046,8.89,147.83649718696333,26.46,146.68500654317396,27.09,248.4775247552158,27.09,385.70193628357157,27.09,369.3500027269909,27.09,964.6315576828666,28.86,1259.691,54.16
