candidate_id,trail_scale,threshold_scale,stop_pct,rv_gate,shock_drop_pct,shock_hold_days,dd_trigger_pct,dd_window_days,reentry_pos_days,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
HYB-0060,1.1,1.2,4.7,77.5,7.0,1,0.0,20,1,68.7363120333643,121.95378432610488,120.58465820262474,132.3364485540918,282.5239166982815,301.8788785007118,675.0498892180342,886.1107000000001,-38.690593185753414,-51.54523305653461,-94.53028125613567,-129.92373351139454,-144.16423118631172,-25.619474732629442,-158.78016193437168,37.240300000000275,32.54,55.64
HYB-0059,1.1,1.2,4.7,77.5,6.0,1,0.0,20,1,68.73632431400762,121.95379366953148,122.46665295471084,134.31868715147465,285.7876546724962,279.5973024586117,658.7074048432376,897.2526,-38.690580905110096,-51.545223713108015,-92.64828650404957,-127.94149491401168,-140.900493212097,-47.901050774729526,-175.12264630916832,48.38220000000024,30.31,56.28
HYB-0039,1.1,1.2,4.7,72.5,6.0,1,0.0,20,1,68.73630719679508,121.9537828639972,122.46661724372868,134.31872588274163,285.78757968374106,279.59735581731394,658.7072549196772,848.8703999999998,-38.69059802232263,-51.54523451864229,-92.64832221503173,-127.9414561827447,-140.90056820085215,-47.90099741602728,-175.12279623272866,0.0,33.69,58.2
HYB-0019,1.1,1.2,4.7,75.0,6.0,1,0.0,20,1,68.73630719679508,121.9537828639972,122.46661724372868,134.31872588274163,285.78757968374106,279.59735581731394,658.7072549196772,848.8703999999998,-38.69059802232263,-51.54523451864229,-92.64832221503173,-127.9414561827447,-140.90056820085215,-47.90099741602728,-175.12279623272866,0.0,33.69,58.2
HYB-0020,1.1,1.2,4.7,75.0,7.0,1,0.0,20,1,68.73631883384492,121.95380663432624,120.5846355378888,132.33643860066607,282.52387642396275,301.8789089504203,675.0498103407259,838.2691000000001,-38.690586385272795,-51.54521074831325,-94.5303039208716,-129.92374346482026,-144.16427146063046,-25.619444282920938,-158.78024081167996,-10.601299999999696,35.81,57.59
HYB-0040,1.1,1.2,4.7,72.5,7.0,1,0.0,20,1,68.73631883384492,121.95380663432624,120.5846355378888,132.33643860066607,282.52387642396275,301.8789089504203,675.0498103407259,838.2691000000001,-38.690586385272795,-51.54521074831325,-94.5303039208716,-129.92374346482026,-144.16427146063046,-25.619444282920938,-158.78024081167996,-10.601299999999696,35.81,57.59
HYB-0080,1.1,1.15,4.7,75.0,7.0,1,0.0,20,1,68.73631655157637,121.95382693924437,120.5846250261028,126.23330514565087,272.4755763365279,291.32206350774845,654.6901835920038,862.313,-38.69058866754135,-51.54519044339513,-94.5303144326576,-136.02687691983544,-154.21257154806528,-36.17628972559277,-179.13986756040208,13.442600000000198,32.39,57.67
HYB-0079,1.1,1.15,4.7,75.0,6.0,1,0.0,20,1,68.73631121720763,121.95381004521929,122.46661695461408,128.1634988949197,275.653504451396,269.62583012235586,638.7771740987009,873.1860000000001,-38.690594001910085,-51.54520733742021,-92.64832250414632,-134.09668317056662,-151.03464343319723,-57.872523110985355,-195.05287705370495,24.31560000000036,30.16,58.28
HYB-0140,1.12,1.2,4.7,75.0,7.0,1,0.0,20,1,68.3226605959756,121.13814162418612,119.50443937145263,131.10414801177,280.33937610188724,299.0936748524375,665.5231887699493,820.0961,-39.10424462314211,-52.360875758453375,-95.61050008730777,-131.15603405371633,-146.34877178270597,-28.404678380903704,-168.30686238245653,-28.774299999999812,36.2,57.79
HYB-0139,1.12,1.2,4.7,75.0,6.0,1,0.0,20,1,68.3226401315348,121.1381240469844,121.37724768869828,133.07587198489048,283.5844922508662,276.9665536487868,649.3740330632957,830.482,-39.10426508758292,-52.36089333565509,-93.73769177006213,-129.18431008059585,-143.103655633727,-50.53179958455439,-184.45601808911022,-18.38839999999982,34.09,58.41
HYB-0119,1.08,1.2,4.7,75.0,6.0,1,0.0,20,1,65.36461384885746,117.78572417498086,118.55684740809056,130.29478140068386,279.31751853163644,273.6893235387554,650.9613565500491,832.8074000000001,-42.062291370260255,-55.71329320765864,-96.55809205066984,-131.96540066480247,-147.37062935295677,-53.80902969458583,-182.86869460235675,-16.062999999999647,33.27,57.99
HYB-0120,1.08,1.2,4.7,75.0,7.0,1,0.0,20,1,65.36459659265708,117.78573533356251,116.70793870374166,128.34659158567015,276.1087415695517,295.6240909615359,667.1288907370829,822.3765999999999,-42.062308626460634,-55.71328204907698,-98.40700075501874,-133.91359047981618,-150.57940631504152,-31.87426227180532,-166.701160415323,-26.49379999999985,35.41,57.36
HYB-0100,1.1,1.25,4.7,75.0,7.0,1,0.0,20,1,68.73631691149956,121.95383233300414,120.58463078900776,132.3364609699079,282.5239711238675,307.1529195919218,668.1130799159209,745.9574999999999,-38.69058830761816,-51.54518504963535,-94.53030866975264,-129.92372109557843,-144.1641767607257,-20.345433641419447,-165.71697123648494,-102.91289999999992,37.03,58.67
HYB-0099,1.1,1.25,4.7,75.0,6.0,1,0.0,20,1,68.73632194737019,121.95382077180828,122.46660476008256,134.31869659219603,285.7875949645568,284.46358332940224,652.1254127559042,755.7525,-38.69058327174753,-51.54519661083121,-92.64833469867784,-127.9414854732903,-140.90055292003643,-43.03476990393898,-181.70463839650165,-93.11789999999974,34.95,59.27
HYB-0045,1.1,1.2,4.7,77.5,0.0,0,15.0,20,1,41.24456991061996,60.825313427273485,52.18835976336951,39.28016443010316,84.77634849893863,70.67346782032031,222.3808769457808,93.3302,-66.18233530849776,-112.67370395536601,-162.9265796953909,-222.98001763538318,-341.9117993856546,-256.8248854130209,-611.449174206625,-755.5401999999998,59.28,71.81
HYB-0005,1.1,1.2,4.7,75.0,0.0,0,15.0,20,1,41.2446089175825,60.82519330441909,52.18845739836053,39.28018422703372,84.7762877903567,70.67358090317042,222.38099135864545,65.4182,-66.18229630153522,-112.6738240782204,-162.92648206039988,-222.97999783845262,-341.9118600942365,-256.8247723301708,-611.4490597937604,-783.4521999999998,65.16,75.76
HYB-0125,1.12,1.2,4.7,75.0,0.0,0,15.0,20,1,40.95599024330352,60.36544817816952,51.56716903595302,38.654864667403245,83.94669170124153,69.69892229107614,218.94066710621308,63.0211,-66.4709149758142,-113.13356920446998,-163.5477704228074,-223.6053173980831,-342.74145618335166,-257.7994309422651,-614.8893840461928,-785.8492999999997,65.3,75.85
HYB-0105,1.08,1.2,4.7,75.0,0.0,0,15.0,20,1,38.365646766043305,57.67607947569557,49.391478791640985,36.7763715471213,81.45470224374387,67.81111491685027,218.56312413264365,64.12849999999999,-69.0612584530744,-115.82293790694392,-165.7234606671194,-225.48381051836503,-345.23344564084937,-259.68723831649095,-615.2669270197622,-784.7418999999998,65.01,75.67
HYB-0065,1.1,1.15,4.7,75.0,0.0,0,15.0,20,1,41.24456432619568,60.82522914711346,52.1884430704342,35.621492592608206,79.92247845537763,66.19022954824972,213.91250287460483,61.0729,-66.18234089292204,-112.67378823552603,-162.9264963883262,-226.63868947287813,-346.76566942921556,-261.3081236850915,-619.9175482778011,-787.7974999999998,65.16,75.76
HYB-0085,1.1,1.25,4.7,75.0,0.0,0,15.0,20,1,41.24464276349977,60.82523360123157,52.1884743603573,39.28016712924312,84.77641280093002,72.91330844014487,219.39144233298404,48.1395,-66.18226245561794,-112.67378378140793,-162.9264650984031,-222.9800149362432,-341.9117350836632,-254.58504479319635,-614.4386088194218,-800.7308999999998,68.51,78.09
