candidate_id,gate_ok_2y,score,short_penalty_sum,short_excess_sum,long_diff_2y_vs_OV,trail_scale,threshold_scale,stop_pct,rv_gate,overlay,1m_ret,1m_mdd,2m_ret,2m_mdd,3m_ret,3m_mdd,4m_ret,4m_mdd,5m_ret,5m_mdd,6m_ret,6m_mdd,1y_ret,1y_mdd,2y_ret,2y_mdd
P5-0052,True,-643.2537088631309,643.2537088631309,0.0,37.240300000000275,1.1,1.2,4.7,77.5,OV_sh7_h1_dd0w20_re1_SOXS,68.7363120333643,10.01,121.95378432610488,26.59,120.58465820262474,27.2,132.3364485540918,27.2,282.5239166982815,27.2,301.8788785007118,27.2,675.0498892180342,32.54,886.1107000000001,55.64
P5-0051,True,-674.749776332274,674.749776332274,0.0,48.38220000000024,1.1,1.2,4.7,77.5,OV_sh6_h1_dd0w20_re1_SOXS,68.73632431400762,10.01,121.95379366953149,25.97,122.46665295471084,26.58,134.31868715147465,26.58,285.7876546724962,26.58,279.5973024586117,26.58,658.7074048432376,30.31,897.2526,56.28
P5-0046,True,-674.7499727883494,674.7499727883494,0.0,0.0,1.1,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,68.73630719679508,10.01,121.9537828639972,25.97,122.46661724372868,26.58,134.31872588274163,26.58,285.78757968374106,26.58,279.59735581731394,26.58,658.7072549196772,33.69,848.8703999999998,58.2
P5-0036,True,-692.9308513206879,692.9308513206879,0.0,0.6272000000001299,1.05,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,65.97400240981924,10.01,118.99067989916486,25.97,120.17065065635136,26.58,132.13749419960402,26.58,282.5871823500945,26.58,277.6042530396324,26.58,655.9224825209898,32.9,849.4975999999999,57.66
P5-0077,True,-714.9470171465904,714.9470171465904,0.0,0.3139000000001033,1.2,1.2,4.7,77.5,OV_sh7_h1_dd0w20_re1_SOXS,66.67649439749104,10.01,117.90203153617043,26.59,116.33711861177285,27.2,127.39664625125924,27.2,273.6253238080655,27.2,290.3310055096306,27.2,639.101959135364,31.21,849.1842999999999,54.72
P5-0076,True,-745.2970153646478,745.2970153646478,0.0,10.908700000000294,1.2,1.2,4.7,77.5,OV_sh6_h1_dd0w20_re1_SOXS,66.67649589681741,10.01,117.90202414001976,25.97,118.18283701605404,26.58,129.33674645838101,26.58,276.81293645275383,26.58,268.68976681151315,26.58,623.4197742561571,28.94,859.7791000000001,55.38
P5-0047,False,-10653.855101074509,643.2538010745092,0.0,-10.601299999999696,1.1,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,68.73631883384492,10.01,121.95380663432624,26.59,120.58463553788879,27.2,132.33643860066607,27.2,282.52387642396275,27.2,301.8789089504203,27.2,675.0498103407259,35.81,838.2691000000001,57.59
P5-0037,False,-10671.566181823307,661.5643818233074,0.0,-10.001799999999776,1.05,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.97399801050821,10.01,118.9906639541301,26.59,118.30807790154951,27.2,130.1736939124389,27.2,279.35065795640776,27.2,299.76879144349505,27.2,672.1873313945073,35.05,838.8686,57.03
P5-0067,False,-10698.21076119033,677.46626119033,0.0,-20.74449999999979,1.15,1.2,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,67.70375319958121,10.01,119.91962175164966,26.59,119.01203104923917,27.2,130.44417551902495,27.2,279.02058521334163,27.2,296.97785993800625,27.2,655.7733085351713,34.71,828.1259,56.73
P5-0066,False,-10718.652792045754,708.366092045754,0.0,-10.286699999999882,1.15,1.2,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,67.70377631294002,10.01,119.91961290101875,25.97,120.88059132827414,26.58,132.41031210528126,26.58,282.25427233381566,26.58,274.96821943332714,26.58,639.8147199359331,32.55,838.5836999999999,57.36
P5-0042,False,-10808.876478443832,767.6368784438329,0.0,-41.239599999999655,1.1,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,68.73631829327036,10.01,119.74074570834934,27.32,115.25273313788276,27.32,120.76486250945865,27.32,263.4722030890084,27.32,281.8632070708771,27.32,608.8506481436647,32.43,807.6308000000001,57.69
P5-0041,False,-10827.91867999247,796.9341799924694,0.0,-30.984499999999912,1.1,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,68.73631489595597,10.01,119.74075029009144,26.7,117.08924707023165,26.7,122.64841434247482,26.7,266.5732680554784,26.7,260.6913481473564,26.7,593.9040736022861,30.2,817.8858999999999,58.31
P5-0027,False,-10849.44411358115,799.4689135811522,0.0,-49.97519999999963,1.05,1.1,4.7,72.5,OV_sh7_h1_dd0w20_re1_SOXS,65.97398760681553,10.01,117.02882594721555,27.25,113.24902965123904,27.25,119.15731380793532,27.25,261.1944352695451,27.25,274.3161687209262,27.25,595.9289218115152,31.54,798.8952000000002,57.13
P5-0032,False,-10849.44411358115,799.4689135811522,0.0,-49.97519999999963,1.05,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.97398760681553,10.01,117.02882594721555,27.25,113.24902965123904,27.25,119.15731380793532,27.25,261.1944352695451,27.25,274.3161687209262,27.25,595.9289218115152,31.54,798.8952000000002,57.13
P5-0057,False,-10864.477977593915,753.1253775939157,0.0,-111.35259999999982,1.1,1.2,5.2,75.0,OV_sh7_h1_dd0w20_re1_SOXS,65.07595303467211,10.57,117.1389652063917,27.27,113.81416969361528,27.87,124.02371203814981,27.87,263.79351909647335,27.87,281.7212505059123,27.87,627.6246492272139,39.46,737.5178,58.75
P5-0062,False,-10866.975823732062,812.9302237320626,0.0,-54.04559999999981,1.15,1.1,4.7,75.0,OV_sh7_h1_dd0w20_re1_SOXS,67.70375357002496,10.01,117.50423000945295,27.4,112.40896375166312,27.4,117.40303383988034,27.4,257.57120456757775,27.4,274.51243164333073,27.4,586.2837552823516,31.37,794.8248,56.86
P5-0026,False,-10867.909113146658,828.1104131466581,0.0,-39.798699999999826,1.05,1.1,4.7,72.5,OV_sh6_h1_dd0w20_re1_SOXS,65.97398229823519,10.01,117.02883032835376,26.63,115.06843676031697,26.63,121.02711392477698,26.63,264.27607143415275,26.63,253.56274854881522,26.63,581.2699999550352,29.28,809.0717,57.75
P5-0031,False,-10867.909113146658,828.1104131466581,0.0,-39.798699999999826,1.05,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,65.97398229823519,10.01,117.02883032835376,26.63,115.06843676031697,26.63,121.02711392477698,26.63,264.27607143415275,26.63,253.56274854881522,26.63,581.2699999550352,29.28,809.0717,57.75
P5-0061,False,-10885.430895044341,841.4677950443427,0.0,-43.96309999999983,1.15,1.1,4.7,75.0,OV_sh6_h1_dd0w20_re1_SOXS,67.70375035119464,10.01,117.5041997032506,26.78,114.22122489330451,26.78,119.25787779761126,26.78,260.62198321760366,26.78,253.7481797693951,26.78,571.7925856196417,29.1,804.9073,57.48
P5-0012,False,-10887.0527661734,832.6627661734009,0.0,-54.38999999999987,1.0,1.1,4.7,72.5,OV_sh7_h1_dd0w20_re1_SOXS,66.99379747735826,10.01,119.2559205298143,27.18,116.09815540660682,27.2,113.0528389763998,27.2,251.49229332821957,27.2,265.75209601601574,27.2,581.0097284885287,30.79,794.4803999999999,56.82
P5-0072,False,-10899.88430162278,785.5580016227798,0.0,-114.32629999999972,1.15,1.2,5.2,77.5,OV_sh7_h1_dd0w20_re1_SOXS,64.06578955904709,10.57,115.14896054642114,27.27,112.28985178397997,27.87,122.19917365977979,27.87,260.4616689033258,27.87,277.06606146507164,27.87,609.528088855939,37.97,734.5441000000001,57.92
P5-0056,False,-10904.176505658139,790.1384056581389,0.0,-114.03809999999987,1.1,1.2,5.2,75.0,OV_sh6_h1_dd0w20_re1_SOXS,65.07594425600254,10.57,117.1389846414185,26.59,115.79471964444359,27.2,126.09886486403039,27.2,267.16341174323304,27.2,258.74362940999526,27.2,606.1636361790819,37.82,734.8322999999999,59.58
P5-0011,False,-10905.0602507198,860.6984507197985,0.0,-44.36179999999979,1.0,1.1,4.7,72.5,OV_sh6_h1_dd0w20_re1_SOXS,66.99380771801302,10.01,119.25588967352154,26.55,117.94185332905727,26.58,114.87056458040298,26.58,254.4911385896286,26.58,245.4734621993751,26.58,566.5924295865472,28.5,804.5086,57.45
P5-0071,False,-10938.869122257616,821.8411222576157,0.0,-117.02799999999979,1.15,1.2,5.2,77.5,OV_sh6_h1_dd0w20_re1_SOXS,64.065783909671,10.57,115.14894127700606,26.59,114.2562521490857,27.2,124.25738410274664,27.2,263.80058201627446,27.2,254.36876329134637,27.2,588.5787673925983,36.29,731.8424,58.77
P5-0007,False,-11033.002553867138,879.7939538671374,0.0,-153.20859999999993,1.0,1.0,4.7,72.5,OV_sh7_h1_dd0w20_re1_SOXS,62.84909752257728,10.01,113.81406769016778,26.48,111.74733872684692,26.5,113.74939051500301,26.5,252.64148108555142,26.5,264.11828074103016,26.5,547.6039862480302,31.71,695.6617999999999,57.4
P5-0006,False,-11038.985829991141,901.6081299911424,0.0,-137.37769999999978,1.0,1.0,4.7,72.5,OV_sh6_h1_dd0w20_re1_SOXS,62.84910023808492,10.01,113.81409573213742,25.85,113.5539700342795,25.87,115.57312683464609,25.87,255.6501773226817,25.87,243.93036904929417,25.87,539.3386271940778,29.46,711.4927,58.02
P5-0017,False,-11082.961788320674,932.5246883206755,0.0,-150.43709999999976,1.0,1.1,5.2,72.5,OV_sh7_h1_dd0w20_re1_SOXS,63.371236853245996,10.57,114.49958318859781,27.85,109.46540016742894,27.87,105.43005879366847,27.87,234.2813313923719,27.87,247.4063741015521,27.87,539.3389235788035,34.72,698.4333,58.0
P5-0021,False,-11103.851652368321,971.072752368321,0.0,-132.7788999999999,1.05,1.0,4.2,72.5,OV_sh6_h1_dd0w20_re1_SOXS,64.74502509657496,12.49,94.46543371295115,25.07,96.80106318535037,25.07,107.9582774423184,25.07,245.04983001013468,25.07,233.72215511269627,25.07,532.5030594679974,28.51,716.0914999999999,57.46
P5-0016,False,-11118.474607073129,965.4083070731281,0.0,-153.06629999999973,1.0,1.1,5.2,72.5,OV_sh6_h1_dd0w20_re1_SOXS,63.371223163366274,10.57,114.49961981634206,27.18,111.40561696357962,27.2,107.33292499187787,27.2,237.37767578587864,27.2,226.49444904858416,27.2,520.4277795535874,32.95,695.8041000000001,58.86
P5-0022,False,-11122.022820204891,962.3764202048914,0.0,-159.64639999999986,1.05,1.0,4.2,72.5,OV_sh7_h1_dd0w20_re1_SOXS,64.74501307670741,13.33,94.46544327015287,25.79,94.91189716709654,25.79,105.96207093627426,25.79,241.7376649964234,25.79,251.06298746762818,25.79,531.0560992771701,30.71,689.2239999999999,57.18
P5-0001,False,-11148.468993219667,1006.8665932196681,0.0,-141.60239999999976,1.0,1.0,4.2,72.5,OV_sh6_h1_dd0w20_re1_SOXS,65.75725506767509,12.13,96.26047347497646,24.92,98.48117648707586,24.94,101.40894547646471,24.94,234.52443061668396,24.94,225.1980249670781,24.94,517.8206970867219,27.58,707.268,57.08
P5-0002,False,-11165.99642750639,998.1603275063891,0.0,-167.83609999999987,1.0,1.0,4.2,72.5,OV_sh7_h1_dd0w20_re1_SOXS,65.75726307514817,12.97,96.26048477477521,25.64,96.57587910988512,25.66,99.47558868254329,25.66,231.3132877094107,25.66,242.09587374282,25.66,516.6788917953726,29.8,681.0342999999999,56.79
P5-0053,False,-12596.431368997963,1779.4282689979618,0.0,-817.0030999999998,1.1,1.2,4.7,77.5,OV_sh6_h1_dd10w20_re1_SOXS,55.858064256866726,47.22,110.79644546467442,52.99,104.1763567391809,53.45,75.83877493056046,56.57,64.17496252546027,56.57,61.5407136994524,56.57,94.50400978218703,62.47,31.8673,72.69
P5-0054,False,-12602.73895478974,1887.5785547897403,0.0,-715.1603999999998,1.1,1.2,4.7,77.5,OV_sh6_h1_dd15w20_re1_SOXS,41.24454264592832,34.94,60.441831169143214,34.94,55.40313652216411,34.94,42.222260087033625,36.62,46.994539987156614,36.62,44.63595011913235,36.62,167.79678107604553,45.97,133.71,67.96
P5-0048,False,-12603.478997701675,1779.4284977016757,0.0,-824.0504999999998,1.1,1.2,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,55.85791221154339,50.04,110.79635556080957,55.5,104.17627679795332,55.94,75.83883446455187,58.89,64.17492890833188,58.89,61.54068157228569,58.89,94.50410917919261,64.48,24.819900000000004,74.03
P5-0068,False,-12614.53323193916,1789.4309319391596,0.0,-825.1022999999998,1.15,1.2,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,55.062893081761,50.26,109.29223068663178,55.56,103.13596055717582,56.0,74.94293100694438,59.03,63.33848021748884,59.03,60.22507197746432,59.03,90.88909692971833,64.45,23.768100000000004,73.75
P5-0049,False,-12615.22886022892,1887.578360228921,0.0,-727.6504999999997,1.1,1.2,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,41.24455136861449,34.94,60.44181352565279,34.94,55.40310904706143,34.94,42.222260796218734,36.62,46.99455730511186,36.62,44.63590923801648,36.62,167.79703488674733,48.86,121.2199,69.52
P5-0038,False,-12618.737073814738,1794.8923738147382,0.0,-823.8446999999998,1.05,1.2,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,53.15001574058535,49.02,107.55769747960544,54.73,101.65663160713106,55.18,73.66875535657978,58.31,62.148873945438375,58.31,60.03699294701943,58.31,93.20625550524639,63.84,25.025699999999993,73.82
P5-0078,False,-12624.82131661962,1803.0754166196198,0.0,-821.7458999999998,1.2,1.2,4.7,77.5,OV_sh6_h1_dd10w20_re1_SOXS,54.27075306267331,48.7,107.79752554468911,54.03,101.06618879813745,54.48,73.1604060789247,57.48,61.67429734198144,57.48,58.18902869998905,57.48,87.08398025032929,63.1,27.12450000000002,72.61
P5-0039,False,-12626.307605443637,1899.9835054436367,0.0,-726.3240999999998,1.05,1.2,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,38.79043574248349,34.48,57.976658392068316,34.48,53.48528778883714,34.48,40.61064766638047,36.62,45.328861400783246,36.62,43.43602505128785,36.62,166.7061749108668,48.54,122.5463,69.35
P5-0069,False,-12629.226556860522,1898.8368568605213,0.0,-730.3896999999997,1.15,1.2,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,40.52392719638682,35.08,59.29694625932627,35.08,54.611254570634586,35.08,41.352810904990235,36.62,46.095886151494426,36.62,43.31123455988413,36.62,162.28867989310638,48.24,118.48070000000001,69.12
P5-0055,False,-12631.8173754663,1803.728275466301,0.0,-828.0890999999998,1.1,1.2,4.7,77.5,OV_sh7_h1_dd10w20_re1_SOXS,55.857899592874325,51.65,110.79643824523191,56.94,104.17628821713656,57.37,75.8386750659133,60.22,64.1750692550898,60.22,61.54078667028673,60.22,70.20416388351045,64.51,20.7813,71.42
P5-0050,False,-12638.272094636177,1803.7280946361777,0.0,-834.5439999999998,1.1,1.2,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,55.85805060195301,54.24,110.7962496888569,59.24,104.1765263716226,59.65,75.8388869492461,62.35,64.17502789469376,62.35,61.54071143452611,62.35,70.20404881926805,66.41,14.326399999999984,72.82
P5-0079,False,-12638.786504128795,1913.350304128794,0.0,-725.4361999999999,1.2,1.2,4.7,77.5,OV_sh6_h1_dd15w20_re1_SOXS,39.80627843095539,35.54,58.15909473794485,35.54,53.035970276936254,35.54,39.76945948025479,36.62,44.459401096016514,36.62,41.34525664407638,36.62,156.391831601366,45.65,123.43419999999998,67.71
P5-0070,False,-12648.786426572482,1813.2790265724816,0.0,-835.5073999999998,1.15,1.2,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,55.06279767685527,54.44,109.29236461250737,59.3,103.13583543135655,59.7,74.94290123456788,62.47,63.33855399640076,62.47,60.22517995881407,62.47,67.04093691336084,66.39,13.362999999999992,72.52
P5-0040,False,-12653.385768871014,1819.0302688710144,0.0,-834.3554999999998,1.05,1.2,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,53.149862718009544,53.3,107.55755574324937,58.54,101.6565381926529,58.95,73.66872564973225,61.81,62.148894203471094,61.81,60.03714614731004,61.81,69.0686048709045,65.8,14.514899999999997,72.6
P5-0080,False,-12658.88181628792,1826.4486162879195,0.0,-832.4331999999998,1.2,1.2,4.7,77.5,OV_sh7_h1_dd10w20_re1_SOXS,54.270700978723,53.01,107.79740871613663,57.89,101.06613895033489,58.31,73.16038689874244,61.06,61.6743219901249,61.06,58.18896182940612,61.06,63.71106074495667,65.11,16.437199999999997,71.33
P5-0024,False,-12690.435905073175,1930.5464050731757,0.0,-759.8894999999998,1.05,1.0,4.2,72.5,OV_sh6_h1_dd15w20_re1_SOXS,49.823127418024995,35.11,60.13634148924902,35.11,49.96829714817175,35.11,35.32544404121183,35.69,41.172432288277825,35.69,36.53781685032498,35.69,142.80773208790785,50.52,88.9809,71.29
P5-0043,False,-12690.503910135816,1854.931710135815,0.0,-835.5721999999998,1.1,1.1,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,52.38001732291089,53.62,104.09897786760918,58.28,94.85358231877727,58.7,63.401752594566844,60.39,52.563046030873984,60.39,50.11493978745081,60.39,73.9735703383402,63.95,13.298199999999994,73.64
P5-0013,False,-12696.994806690314,1859.2191066903151,0.0,-837.7756999999998,1.0,1.1,4.7,72.5,OV_sh6_h1_dd10w20_re1_SOXS,50.49872862470652,53.85,102.8182307783589,58.84,94.82129422926174,59.24,63.70871720511868,61.16,52.84952065424366,61.16,48.96124409355909,61.16,73.44075412078045,64.21,11.09469999999999,74.1
P5-0058,False,-12703.663997644338,1861.861097644337,0.0,-841.8028999999998,1.1,1.2,5.2,75.0,OV_sh6_h1_dd10w20_re1_SOXS,50.72690440225187,56.89,102.825836981581,60.33,94.78965973325184,60.72,63.17036743526829,63.04,51.11898692727432,63.04,47.6536491589048,63.04,74.17109411347494,66.66,7.067500000000004,74.92
P5-0063,False,-12707.59114482628,1870.1477448262794,0.0,-837.4433999999998,1.15,1.1,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,51.602598116447226,54.19,102.43517376320099,58.64,92.67293998844934,59.04,61.40793575376915,60.61,50.701457554818916,60.61,47.829005672923344,60.61,69.52074072045593,63.96,11.42700000000001,73.39
P5-0033,False,-12710.155902534414,1873.229002534414,0.0,-836.9268999999998,1.05,1.1,4.7,75.0,OV_sh6_h1_dd10w20_re1_SOXS,49.73235209142564,53.31,101.16826334715267,58.18,92.64532272331465,58.6,61.71524906605646,60.42,50.988326218463584,60.42,46.5478419102727,60.42,70.29123850524444,63.26,11.943499999999997,73.41
P5-0044,False,-12710.291768131287,1962.1608681312866,0.0,-748.1308999999998,1.1,1.1,4.7,75.0,OV_sh6_h1_dd15w20_re1_SOXS,38.092755030932345,38.19,55.297568025053145,38.19,48.26277896279314,38.19,32.12326445451463,38.19,36.556646932093614,38.19,34.36549728544072,38.19,139.45821757423,48.86,100.73950000000002,69.52
P5-0004,False,-12710.764382363928,1947.0009823639289,0.0,-763.7633999999998,1.0,1.0,4.2,72.5,OV_sh6_h1_dd15w20_re1_SOXS,50.74363231997161,37.54,61.44948418360763,37.54,51.09418746071781,37.54,30.796130389836883,37.54,36.44750139501423,37.54,32.64336550285054,37.54,136.1423127804164,50.5,85.107,71.3
P5-0008,False,-12711.20137952125,1864.0374795212495,0.0,-847.1638999999998,1.0,1.0,4.7,72.5,OV_sh6_h1_dd10w20_re1_SOXS,50.49859647201747,57.75,102.81793218696342,62.32,95.75732262671444,62.69,64.49536951676711,64.61,53.583924399860464,64.61,48.52282534569143,64.61,66.60414632708019,66.06,1.7064999999999886,75.32
P5-0073,False,-12713.037271920053,1871.1112719200528,0.0,-841.9259999999998,1.15,1.2,5.2,77.5,OV_sh6_h1_dd10w20_re1_SOXS,49.95807404208301,56.77,101.37837013380735,60.09,93.79708138453928,60.49,62.33901865895939,62.89,50.34893463872192,62.89,46.45102979842246,62.89,70.93381581975811,66.4,6.944400000000006,74.65
P5-0028,False,-12713.669891963125,1873.4258919631254,0.0,-840.2439999999998,1.05,1.1,4.7,72.5,OV_sh6_h1_dd10w20_re1_SOXS,49.73224291529226,54.69,101.16819574130798,59.42,92.64542879792575,59.82,61.7152538133789,61.59,50.98827414808267,61.59,46.54785594312194,61.59,70.09445307410932,64.35,8.62639999999999,74.17
P5-0059,False,-12716.994398378278,1960.0564983782779,0.0,-756.9378999999998,1.1,1.2,5.2,75.0,OV_sh6_h1_dd15w20_re1_SOXS,36.59470623233252,39.0,54.375179966636786,39.0,48.258852119263665,39.0,34.263880737339946,39.0,37.03698943801501,39.0,33.89446939958602,39.0,141.83702012489226,50.37,91.93249999999999,69.68
P5-0045,False,-12721.763943064363,1876.6668430643645,0.0,-845.0970999999998,1.1,1.1,4.7,75.0,OV_sh7_h1_dd10w20_re1_SOXS,52.380120290859544,57.51,104.09896036157234,61.79,94.85345615889713,62.17,63.40167632160305,63.72,52.562922669803,63.72,50.11500205412474,63.72,52.2386154751199,65.91,3.7733000000000017,72.41
