candidate_id,gate_ok_2y,score,mom20_thr,mom60_thr,rv20_cap,dd60_cap,enter_days,exit_days,1m_ret,2m_ret,3m_ret,4m_ret,5m_ret,6m_ret,1y_ret,2y_ret,1m_vsC,2m_vsC,3m_vsC,4m_vsC,5m_vsC,6m_vsC,1y_vsC,2y_vsOV,1y_mdd,2y_mdd
D6-1314,False,-10658.62561495859,4.0,6.0,6.0,20.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-1323,False,-10658.62561495859,4.0,6.0,6.0,30.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-1332,False,-10658.62561495859,4.0,6.0,6.0,40.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-1341,False,-10658.62561495859,4.0,6.0,6.0,50.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-1350,False,-10658.62561495859,4.0,6.0,6.0,60.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-2034,False,-10658.62561495859,6.0,6.0,6.0,20.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-2043,False,-10658.62561495859,6.0,6.0,6.0,30.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-2052,False,-10658.62561495859,6.0,6.0,6.0,40.0,3,3,68.73629251349298,121.95378456084896,155.72654502152855,169.3505328136693,343.4648249624659,283.4376393404692,698.4494622252781,695.4433,-38.69061270562473,-51.545232821790535,-59.38839443723185,-92.90964925181703,-83.2233229221273,-44.060713892872,-135.38058892712775,-153.42709999999977,45.17,65.44
D6-0102,False,-11419.547639103366,2.0,0.0,7.0,30.0,1,3,81.1693917408082,138.87765089432764,175.2254876265905,216.4025688118745,173.53085269125123,152.52451671081556,400.24478881730994,437.6651,-26.25751347830952,-34.62136648831185,-39.8894518321699,-45.857613253611845,-253.15729519334198,-174.97383652252566,-433.58526233509593,-411.2052999999998,41.17,62.71
D6-0111,False,-11419.547639103366,2.0,0.0,7.0,40.0,1,3,81.1693917408082,138.87765089432764,175.2254876265905,216.4025688118745,173.53085269125123,152.52451671081556,400.24478881730994,437.6651,-26.25751347830952,-34.62136648831185,-39.8894518321699,-45.857613253611845,-253.15729519334198,-174.97383652252566,-433.58526233509593,-411.2052999999998,41.17,62.71
