candidate_id,gate_ok_2y_proxy,score_proxy,short_penalty_proxy,long_diff_2y_vs_OV_proxy,mom20_thr,mom60_thr,rv20_cap,dd60_cap,enter_days,exit_days,1m_ret_proxy,2m_ret_proxy,3m_ret_proxy,4m_ret_proxy,5m_ret_proxy,6m_ret_proxy,1y_ret_proxy,2y_ret_proxy
D6-0102,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,0.0,7.0,30.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0111,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,0.0,7.0,40.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0120,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,0.0,7.0,50.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0129,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,0.0,7.0,60.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0282,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,2.0,7.0,30.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0291,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,2.0,7.0,40.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0300,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,2.0,7.0,50.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0309,False,-10558.340858046655,440.58021471955306,-117.7606433271012,2.0,2.0,7.0,60.0,1,3,81.15552280793594,138.90433448336123,175.22131065504877,216.412852941925,324.7147994306377,292.0943369837547,677.2342243741277,731.1097566728986
D6-0462,False,-10615.745566718759,440.5802147195484,-175.16535199921066,2.0,4.0,7.0,30.0,1,3,81.15552280793597,138.90433448336137,175.22131065504905,216.41285294192545,324.7147994306383,292.09433698375534,677.2342243741302,673.7050480007891
D6-0471,False,-10615.745566718759,440.5802147195484,-175.16535199921066,2.0,4.0,7.0,40.0,1,3,81.15552280793597,138.90433448336137,175.22131065504905,216.41285294192545,324.7147994306383,292.09433698375534,677.2342243741302,673.7050480007891
D6-0480,False,-10615.745566718759,440.5802147195484,-175.16535199921066,2.0,4.0,7.0,50.0,1,3,81.15552280793597,138.90433448336137,175.22131065504905,216.41285294192545,324.7147994306383,292.09433698375534,677.2342243741302,673.7050480007891
D6-0489,False,-10615.745566718759,440.5802147195484,-175.16535199921066,2.0,4.0,7.0,60.0,1,3,81.15552280793597,138.90433448336137,175.22131065504905,216.41285294192545,324.7147994306383,292.09433698375534,677.2342243741302,673.7050480007891
D6-0642,False,-10615.95000721235,440.58021471954777,-175.36979249280273,2.0,6.0,7.0,30.0,1,3,81.15552280793605,138.90433448336145,175.22131065504917,216.41285294192545,324.7147994306383,292.09433698375545,677.2342243741305,673.5006075071971
D6-0651,False,-10615.95000721235,440.58021471954777,-175.36979249280273,2.0,6.0,7.0,40.0,1,3,81.15552280793605,138.90433448336145,175.22131065504917,216.41285294192545,324.7147994306383,292.09433698375545,677.2342243741305,673.5006075071971
