window,period,start_equity,m0106_cpu_final_equity,m0106_cpu_pnl,m0106_cpu_return_pct,m0106_cpu_maxdd_pct,m0106_cpu_maxdd_usd,m0106_cpu_events,m0106_variants_seen,m0106_gpu_final_equity,m0106_gpu_pnl,m0106_gpu_return_pct,m0106_gpu_maxdd_pct,m0106_gpu_maxdd_usd,m0106_gpu_events,m0106_cpu_gpu_diff_bps
1m,2026-02-25 to 2026-03-27,10000.0,16810.788583133068,6810.788583133068,68.10788583133068,7.068698847574766,1278.690822261393,8,2,16810.788583133068,6810.788583133068,68.10788583133068,7.068698847574766,1278.690822261393,8,0.0
2m,2026-01-25 to 2026-03-27,10000.0,19000.8106958482,9000.810695848199,90.00810695848199,7.068698847574783,1445.272012800433,12,2,19000.8106958482,9000.810695848199,90.00810695848199,7.068698847574783,1445.272012800433,12,0.0
3m,2025-12-25 to 2026-03-27,10000.0,17277.606026261263,7277.606026261263,72.77606026261263,9.893362411045333,1839.3546188780838,17,3,17277.606026261263,7277.606026261263,72.77606026261263,9.893362411045333,1839.3546188780838,17,0.0
4m,2025-11-25 to 2026-03-27,10000.0,17708.347282379695,7708.347282379695,77.08347282379695,10.325185577832023,1967.4960933493403,20,3,17708.347282379695,7708.347282379695,77.08347282379695,10.325185577832023,1967.4960933493403,20,0.0
5m,2025-10-25 to 2026-03-27,10000.0,19705.586547482577,9705.586547482577,97.05586547482577,12.806243171288354,2715.4955330499506,26,3,19705.586547482577,9705.586547482577,97.05586547482577,12.806243171288354,2715.4955330499506,26,0.0
6m,2025-09-25 to 2026-03-27,10000.0,18621.2991031889,8621.2991031889,86.212991031889,21.234413930745053,4254.8890221258425,28,3,18621.2991031889,8621.2991031889,86.212991031889,21.234413930745053,4254.8890221258425,28,0.0
1y,2025-03-27 to 2026-03-27,10000.0,19418.06157526601,9418.061575266009,94.18061575266007,21.234413930745053,4436.94591713067,63,3,19418.06157526601,9418.061575266009,94.18061575266007,21.234413930745053,4436.94591713067,63,0.0
2y,2024-03-27 to 2026-03-27,10000.0,12988.608771626676,2988.6087716266757,29.88608771626675,47.35542206743855,6618.663925089831,139,3,12988.608771626676,2988.6087716266757,29.88608771626675,47.35542206743855,6618.663925089831,139,0.0
3y,2023-03-28 to 2026-03-27,10000.0,15221.281657531135,5221.281657531135,52.21281657531136,53.561105135378256,8772.810205433712,201,3,15221.281657531135,5221.281657531135,52.21281657531136,53.561105135378256,8772.810205433712,201,0.0
4y,2022-03-28 to 2026-03-27,10000.0,29610.801413840607,19610.801413840607,196.10801413840608,53.56110513537812,17066.233099095374,321,3,29610.801413840607,19610.801413840607,196.10801413840608,53.56110513537812,17066.233099095374,321,0.0
5y,2021-03-28 to 2026-03-27,10000.0,26966.192807400857,16966.192807400857,169.66192807400859,53.56110513537822,15542.008668199782,354,3,26966.192807400857,16966.192807400857,169.66192807400859,53.56110513537822,15542.008668199782,354,0.0
7y,2019-03-29 to 2026-03-27,10000.0,36277.05830050591,26277.05830050591,262.77058300505905,53.561105135378135,20908.340995341066,644,3,36277.05830050591,26277.05830050591,262.77058300505905,53.561105135378135,20908.340995341066,644,0.0
