candidate_id,burst_ret3d_min,burst_rv20_max,burst_dd20_max,riskoff_rv20_min,riskoff_crossovers20_min,riskoff_dd20_min,router_days_v1_all,router_days_v2_all,router_days_m0106_all,1m_meta_final,1m_meta_return,1m_meta_dd,1m_best_baseline_final,1m_best_baseline_dd,2m_meta_final,2m_meta_return,2m_meta_dd,2m_best_baseline_final,2m_best_baseline_dd,6m_meta_final,6m_meta_return,6m_meta_dd,6m_best_baseline_final,6m_best_baseline_dd,1y_meta_final,1y_meta_return,1y_meta_dd,1y_best_baseline_final,1y_best_baseline_dd,wins_vs_best_baseline,avg_uplift_pct_vs_best_baseline,avg_dd_over_best_baseline_pct,ranking_score
MRV1-0106,0.12,100.0,18.0,80.0,7,18.0,369,823,1048,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0108,0.12,100.0,18.0,80.0,9,18.0,369,858,1013,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0110,0.12,100.0,18.0,100.0,7,18.0,369,823,1048,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0112,0.12,100.0,18.0,100.0,9,18.0,369,858,1013,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0124,0.12,120.0,18.0,80.0,9,18.0,369,858,1013,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0126,0.12,120.0,18.0,100.0,7,18.0,369,823,1048,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0144,0.12,140.0,18.0,100.0,9,18.0,369,858,1013,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0122,0.12,120.0,18.0,80.0,7,18.0,369,823,1048,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0128,0.12,120.0,18.0,100.0,9,18.0,369,858,1013,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
MRV1-0138,0.12,140.0,18.0,80.0,7,18.0,369,823,1048,16810.788583133068,68.10788583133068,7.068698847574766,19508.989836837496,7.068698847574766,15354.670085784659,53.54670085784659,16.752223752908872,21020.108235875323,7.068698847574783,15382.858067092759,53.82858067092759,28.23887116680239,25037.90044416518,17.360492864386565,33724.47895798593,237.2447895798593,28.2388711668024,45708.51371640169,17.36049286438656,0,-26.39077951440404,7.8600703775414384,-287.4880062766647
