window,order_type,period,cpu_final_equity,cpu_return_pct,cpu_pnl,cpu_maxdd_pct,gpu_final_equity,gpu_return_pct,gpu_pnl,gpu_maxdd_pct,cpu_gpu_diff_bps,profit_lock_exec_model_effective
2m,close_position,2026-01-21 to 2026-03-21,18331.83362439398,83.31833624393981,8331.833624393981,8.512889211623424,18331.83362439398,83.31833624393981,8331.833624393981,8.512889211623424,0.0,synthetic
2m,market_order,2026-01-21 to 2026-03-21,18331.83362439398,83.31833624393981,8331.833624393981,8.512889211623424,18331.83362439398,83.31833624393981,8331.833624393981,8.512889211623424,0.0,synthetic
2m,stop_order,2026-01-21 to 2026-03-21,15231.394882310462,52.313948823104624,5231.394882310462,10.245737169589201,15231.394882310462,52.313948823104624,5231.394882310462,10.245737169589201,0.0,synthetic
2m,trailing_stop,2026-01-21 to 2026-03-21,15419.07803051422,54.1907803051422,5419.07803051422,10.121024641132491,15419.07803051422,54.1907803051422,5419.07803051422,10.121024641132491,0.0,synthetic
3m,close_position,2025-12-21 to 2026-03-21,13319.509320570543,33.19509320570544,3319.5093205705434,26.826242128128325,13319.509320570543,33.19509320570544,3319.5093205705434,26.826242128128325,0.0,synthetic
3m,market_order,2025-12-21 to 2026-03-21,13319.509320570543,33.19509320570544,3319.5093205705434,26.826242128128325,13319.509320570543,33.19509320570544,3319.5093205705434,26.826242128128325,0.0,synthetic
3m,stop_order,2025-12-21 to 2026-03-21,11066.798349634888,10.667983496348876,1066.798349634888,32.28687925566799,11066.798349634888,10.667983496348876,1066.798349634888,32.28687925566799,0.0,synthetic
3m,trailing_stop,2025-12-21 to 2026-03-21,11203.164819734606,12.031648197346057,1203.1648197346058,31.893878900368783,11203.164819734606,12.031648197346057,1203.1648197346058,31.893878900368783,0.0,synthetic
4m,close_position,2025-11-21 to 2026-03-21,17070.069663874227,70.70069663874226,7070.0696638742265,32.89683036508182,17070.069663874227,70.70069663874226,7070.0696638742265,32.89683036508182,0.0,synthetic
4m,market_order,2025-11-21 to 2026-03-21,17070.069663874227,70.70069663874226,7070.0696638742265,32.89683036508182,17070.069663874227,70.70069663874226,7070.0696638742265,32.89683036508182,0.0,synthetic
4m,stop_order,2025-11-21 to 2026-03-21,12585.339778968697,25.85339778968696,2585.339778968697,45.08926788459733,12585.339778968697,25.85339778968696,2585.339778968697,45.08926788459733,0.0,synthetic
4m,trailing_stop,2025-11-21 to 2026-03-21,13368.453694452417,33.68453694452418,3368.453694452417,45.74983463640748,13368.453694452417,33.68453694452418,3368.453694452417,45.74983463640748,0.0,synthetic
6m,close_position,2025-09-21 to 2026-03-21,15333.836396640858,53.338363966408586,5333.836396640858,32.896830365081854,15333.836396640858,53.338363966408586,5333.836396640858,32.896830365081854,0.0,synthetic
6m,market_order,2025-09-21 to 2026-03-21,15333.836396640858,53.338363966408586,5333.836396640858,32.896830365081854,15333.836396640858,53.338363966408586,5333.836396640858,32.896830365081854,0.0,synthetic
6m,stop_order,2025-09-21 to 2026-03-21,12154.564201142162,21.545642011421617,2154.5642011421623,45.08926788459731,12154.564201142162,21.545642011421617,2154.5642011421623,45.08926788459731,0.0,synthetic
6m,trailing_stop,2025-09-21 to 2026-03-21,12567.140653390485,25.67140653390485,2567.1406533904847,45.749834636407485,12567.140653390485,25.67140653390485,2567.1406533904847,45.749834636407485,0.0,synthetic
