engine,window,period,protective_stop_pct,initial_equity,final_equity,return_pct,maxdd_pct,maxdd_usd,events,delta_return_vs_base_pct,delta_maxdd_vs_base_pct,delta_equity_vs_base_usd
v1,10d,2026-03-31 to 2026-04-10,0.0,10000.0,12806.12939247892,28.061293924789197,12.668513388734993,1857.6876217467834,3,0.0,0.0,0.0
v1,1m,2026-03-11 to 2026-04-10,0.0,10000.0,13725.517085057538,37.25517085057537,12.75115604385576,2004.0447829912628,8,0.0,0.0,0.0
v1,2m,2026-02-08 to 2026-04-10,0.0,10000.0,21675.298650494893,116.75298650494894,12.751156043855755,3164.781983156865,12,0.0,0.0,0.0
v1,3m,2026-01-08 to 2026-04-10,0.0,10000.0,18442.12905265663,84.42129052656631,14.180525405362683,2994.556599319825,15,0.0,0.0,0.0
v1,4m,2025-12-09 to 2026-04-10,0.0,10000.0,16454.444592230666,64.54444592230666,22.13038004832069,4169.665792258808,18,0.0,0.0,0.0
v1,5m,2025-11-08 to 2026-04-10,0.0,10000.0,20557.956807143033,105.57956807143034,22.13038004832069,5209.523103438747,22,0.0,0.0,0.0
v1,6m,2025-10-09 to 2026-04-10,0.0,10000.0,19777.33804999426,97.77338049994262,22.130380048320664,5011.709114018782,25,0.0,0.0,0.0
v1,1y,2025-04-10 to 2026-04-10,0.0,10000.0,22577.302123135414,125.77302123135414,26.992642081495383,6978.251018309929,65,0.0,0.0,0.0
v1,10d,2026-03-31 to 2026-04-10,4.0,10000.0,9022.492019222478,-9.775079807775223,15.380595391805855,1639.946532547694,4,-37.83637373256442,2.7120820030708614,-3783.6373732564425
v1,1m,2026-03-11 to 2026-04-10,4.0,10000.0,10395.318883859189,3.953188838591881,15.38059539180586,1889.4743405693316,12,-33.30198201198348,2.6294393479501004,-3330.198201198349
v1,2m,2026-02-08 to 2026-04-10,4.0,10000.0,11072.667521476316,10.726675214763159,15.380595391805851,2012.5906090259286,19,-106.02631129018577,2.629439347950097,-10602.631129018577
v1,3m,2026-01-08 to 2026-04-10,4.0,10000.0,9667.138234238304,-3.3286176576169613,20.765445900666013,2372.2979019625072,30,-87.74990818418327,6.584920495303329,-8774.990818418326
v1,4m,2025-12-09 to 2026-04-10,4.0,10000.0,11221.952922167291,12.219529221672909,24.631169726796937,3266.5064044336377,35,-52.32491670063376,2.5007896784762487,-5232.491670063375
v1,5m,2025-11-08 to 2026-04-10,4.0,10000.0,9700.38061855255,-2.9961938144745015,34.04072967029762,3950.095428949033,40,-108.57576188590484,11.910349621976934,-10857.576188590483
v1,6m,2025-10-09 to 2026-04-10,4.0,10000.0,8100.295197554286,-18.997048024457143,37.49383893508016,3833.8376959337966,48,-116.77042852439976,15.3634588867595,-11677.042852439976
v1,1y,2025-04-10 to 2026-04-10,4.0,10000.0,8287.270660054788,-17.127293399452114,42.864452139824266,4905.668513329519,113,-142.90031463080624,15.871810058328883,-14290.031463080626
v1,10d,2026-03-31 to 2026-04-10,5.0,10000.0,12280.629357169288,22.806293571692883,6.279174587051731,811.7887133191089,5,-5.255000353096314,-6.389338801683262,-525.500035309633
v1,1m,2026-03-11 to 2026-04-10,5.0,10000.0,13637.043625334269,36.37043625334269,13.409956336507229,1925.162617048829,13,-0.8847345972326792,0.6588002926514687,-88.47345972326912
v1,2m,2026-02-08 to 2026-04-10,5.0,10000.0,15414.487446677573,54.14487446677572,13.409956336507214,2176.0871203918796,20,-62.60811203817322,0.6588002926514598,-6260.81120381732
v1,3m,2026-01-08 to 2026-04-10,5.0,10000.0,12843.722411541752,28.437224115417514,22.32792588550872,3018.9722351072114,30,-55.984066411148795,8.147400480146036,-5598.406641114878
v1,4m,2025-12-09 to 2026-04-10,5.0,10000.0,14069.160927848869,40.69160927848869,27.806741021878036,4118.490947155966,36,-23.852836643817973,5.6763609735573475,-2385.2836643817973
v1,5m,2025-11-08 to 2026-04-10,5.0,10000.0,11627.48187034196,16.2748187034196,38.19906253792756,4675.824499542706,41,-89.30474936801075,16.06868248960687,-8930.474936801073
v1,6m,2025-10-09 to 2026-04-10,5.0,10000.0,9431.657910397536,-5.6834208960246375,48.75660872125366,4877.666712118195,49,-103.45680139596726,26.626228672933,-10345.680139596725
v1,1y,2025-04-10 to 2026-04-10,5.0,10000.0,9606.26150289831,-3.9373849710169107,57.64937907474342,7107.513795751834,110,-129.71040620237105,30.65673699324804,-12971.040620237105
v1,10d,2026-03-31 to 2026-04-10,6.0,10000.0,12145.275049603222,21.452750496032213,6.279174587051731,811.7887133191089,5,-6.608543428756985,-6.389338801683262,-660.8543428756984
v1,1m,2026-03-11 to 2026-04-10,6.0,10000.0,12869.45595859925,28.694559585992497,16.654866401960483,2281.573359231228,13,-8.560611264582871,3.903710358104723,-856.0611264582876
v1,2m,2026-02-08 to 2026-04-10,6.0,10000.0,13478.024837650186,34.780248376501866,16.654866401960472,2389.464053769254,19,-81.97273812844708,3.9037103581047177,-8197.273812844707
v1,3m,2026-01-08 to 2026-04-10,6.0,10000.0,10511.643131600262,5.116431316002612,30.127582738235507,3371.071717019723,27,-79.30485921056369,15.947057332872824,-7930.485921056368
v1,4m,2025-12-09 to 2026-04-10,6.0,10000.0,10024.941972904347,0.2494197290434652,38.40288121137696,4098.064337014408,32,-64.2950261932632,16.27250116305627,-6429.502619326318
v1,5m,2025-11-08 to 2026-04-10,6.0,10000.0,8794.684534159562,-12.053154658404386,46.97684541736155,4913.729733786744,38,-117.63272272983473,24.846465369040864,-11763.272272983471
v1,6m,2025-10-09 to 2026-04-10,6.0,10000.0,7953.173818168891,-20.468261818311095,49.86574623054521,4988.626092807746,45,-118.24164231825371,27.73536618222455,-11824.16423182537
v1,1y,2025-04-10 to 2026-04-10,6.0,10000.0,8973.004496320797,-10.269955036792034,56.46925900434324,7340.516625067397,102,-136.04297626814616,29.47661692284786,-13604.297626814618
v1,10d,2026-03-31 to 2026-04-10,7.0,10000.0,12016.185283625118,20.16185283625118,7.054971289574643,912.0858141891749,5,-7.8994410885380155,-5.613542099160351,-789.9441088538024
v1,1m,2026-03-11 to 2026-04-10,7.0,10000.0,13076.828643975441,30.768286439754398,8.610320187043055,1211.4223129299553,12,-6.48688441082097,-4.140835856812705,-648.6884410820967
v1,2m,2026-02-08 to 2026-04-10,7.0,10000.0,13236.5564827738,32.365564827738005,13.219588543881136,1882.6378652835356,18,-84.38742167721094,0.46843250002538106,-8438.742167721093
v1,3m,2026-01-08 to 2026-04-10,7.0,10000.0,12020.322195912802,20.203221959128026,19.610748258953297,2536.203558664497,26,-64.21806856743828,5.430222853590614,-6421.806856743828
v1,4m,2025-12-09 to 2026-04-10,7.0,10000.0,11012.592282760945,10.125922827609447,30.231676793228004,3582.00040569445,31,-54.41852309469722,8.101296744907316,-5441.852309469721
v1,5m,2025-11-08 to 2026-04-10,7.0,10000.0,9177.941609491718,-8.220583905082822,43.01127140585153,4301.127140585153,37,-113.80015197651316,20.880891357530842,-11380.015197651315
v1,6m,2025-10-09 to 2026-04-10,7.0,10000.0,7848.138109402529,-21.518618905974705,51.2684399491507,5126.84399491507,44,-119.29199940591732,29.138059900830033,-11929.199940591732
v1,1y,2025-04-10 to 2026-04-10,7.0,10000.0,8036.026472687177,-19.639735273128224,62.63162208141594,8363.237874251565,101,-145.41275650448236,35.63897999992056,-14541.275650448237
v1,10d,2026-03-31 to 2026-04-10,8.0,10000.0,11842.362110673832,18.42362110673832,8.00550692520775,1030.54116305354,5,-9.637672818050877,-4.663006463527243,-963.7672818050887
v1,1m,2026-03-11 to 2026-04-10,8.0,10000.0,11490.508075425982,14.905080754259824,19.331036250815888,2414.529617177892,11,-22.350090096315544,6.579880206960128,-2235.009009631556
v1,2m,2026-02-08 to 2026-04-10,8.0,10000.0,11204.954287997109,12.049542879971087,19.33103625081592,2354.5254752793426,17,-104.70344362497785,6.579880206960166,-10470.344362497784
v1,3m,2026-01-08 to 2026-04-10,8.0,10000.0,9799.306436644512,-2.006935633554874,28.16367887798059,3000.0113102879623,24,-86.42822616012118,13.983153472617907,-8642.822616012118
v1,4m,2025-12-09 to 2026-04-10,8.0,10000.0,9465.634154497004,-5.343658455029965,35.10947908255544,3658.4307597487423,28,-69.88810437733663,12.97909903423475,-6988.810437733662
v1,5m,2025-11-08 to 2026-04-10,8.0,10000.0,8276.1466775122,-17.238533224877994,42.063522096678774,4292.237289237322,33,-122.81810129630834,19.933142048358086,-12281.810129630832
v1,6m,2025-10-09 to 2026-04-10,8.0,10000.0,7534.470840222397,-24.65529159777603,46.178629063689506,4617.8629063689505,38,-122.42867209771865,24.048249015368842,-12242.867209771865
v1,1y,2025-04-10 to 2026-04-10,8.0,10000.0,9259.472228851017,-7.405277711489832,52.32126994739624,7258.4155858566755,91,-133.17829894284398,25.328627865900856,-13317.829894284398
v2,10d,2026-03-31 to 2026-04-10,0.0,10000.0,14521.364165968324,45.21364165968325,6.814576160112525,999.2769784139491,3,0.0,0.0,0.0
v2,1m,2026-03-11 to 2026-04-10,0.0,10000.0,15563.893339653261,55.63893339653261,12.75115604385576,2004.0447829912628,8,0.0,0.0,0.0
v2,2m,2026-02-08 to 2026-04-10,0.0,10000.0,22685.177027107908,126.85177027107906,12.751156043855762,2920.9986010750745,13,0.0,0.0,0.0
v2,3m,2026-01-08 to 2026-04-10,0.0,10000.0,27083.061806713835,170.83061806713835,12.751156043855765,3487.28094807054,19,0.0,0.0,0.0
v2,4m,2025-12-09 to 2026-04-10,0.0,10000.0,27048.504947926915,170.48504947926912,12.751156043855751,3482.8313228349252,24,0.0,0.0,0.0
v2,5m,2025-11-08 to 2026-04-10,0.0,10000.0,33794.03013577458,237.94030135774577,12.751156043855778,4351.401562056544,28,0.0,0.0,0.0
v2,6m,2025-10-09 to 2026-04-10,0.0,10000.0,28146.638436788362,181.4663843678836,12.751156043855753,3624.229663298611,34,0.0,0.0,0.0
v2,1y,2025-04-10 to 2026-04-10,0.0,10000.0,51084.695137694674,410.8469513769467,13.227693959998723,6823.615705397087,75,0.0,0.0,0.0
v2,10d,2026-03-31 to 2026-04-10,4.0,10000.0,9588.240215353077,-4.117597846469234,15.38059539180587,1639.9465325476958,4,-49.331239506152485,8.566019231693346,-4933.123950615247
v2,1m,2026-03-11 to 2026-04-10,4.0,10000.0,11047.149098196414,10.471490981964138,15.380595391805874,1889.4743405693334,12,-45.16744241456847,2.6294393479501146,-4516.744241456847
v2,2m,2026-02-08 to 2026-04-10,4.0,10000.0,9225.939979394514,-7.740600206054859,21.409642106847578,2196.532673539956,21,-134.59237047713393,8.658486062991816,-13459.237047713394
v2,3m,2026-01-08 to 2026-04-10,4.0,10000.0,11480.682710046985,14.806827100469855,22.997771551413084,2936.1017747851965,31,-156.02379096666849,10.246615507557319,-15602.37909666685
v2,4m,2025-12-09 to 2026-04-10,4.0,10000.0,14718.6512555755,47.18651255575499,22.997771551413095,3764.188869719468,39,-123.29853692351413,10.246615507557344,-12329.853692351415
v2,5m,2025-11-08 to 2026-04-10,4.0,10000.0,12722.965455396372,27.229654553963712,22.997771551413027,3253.806624359455,44,-210.71064680378205,10.24661550755725,-21071.064680378207
v2,6m,2025-10-09 to 2026-04-10,4.0,10000.0,11120.73600670116,11.207360067011596,22.997771551413077,2844.048002268959,55,-170.259024300872,10.246615507557324,-17025.902430087204
