Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2025-10-10,10000.0,CASH,no change,no change,15:55,SOXL,SOXL,9999.0,-1.0,-0.01,0.01,,34.525
2025-10-13,9999.0,SOXL,04:00,SOXL,15:55,SOXL,SOXL,10837.07,838.07,8.38,0.0,37.81,39.145
2025-10-14,10837.07,SOXL,no change,no change,no change,no change,SOXL,10142.19,-694.88,-6.41,6.41,,
2025-10-15,10142.19,SOXL,09:31,SOXL,15:55,SOXL,SOXL,10763.32,621.13,6.12,0.68,38.7844,39.7899
2025-10-16,10763.32,SOXL,no change,no change,no change,no change,SOXL,10950.0,186.67,1.73,0.0,,
2025-10-17,10950.0,SOXL,no change,no change,no change,no change,SOXL,10874.26,-75.74,-0.69,0.69,,
2025-10-20,10874.26,SOXL,no change,no change,no change,no change,SOXL,11475.1,600.84,5.53,0.0,,
2025-10-21,11475.1,SOXL,no change,no change,no change,no change,SOXL,11267.84,-207.26,-1.81,1.81,,
2025-10-22,11267.84,SOXL,no change,no change,15:55,SOXS,SOXS,10335.24,-932.6,-8.28,9.93,,4.235
2025-10-23,10335.24,SOXS,no change,no change,15:55,SOXL,SOXL,9516.32,-818.91,-7.92,17.07,,41.24
2025-10-24,9516.32,SOXL,no change,no change,no change,no change,SOXL,10027.45,511.12,5.37,12.62,,
2025-10-27,10027.45,SOXL,13:24,SOXL,15:55,SOXL,SOXL,10662.61,635.17,6.33,7.08,46.21,46.935
2025-10-28,10662.61,SOXL,no change,no change,no change,no change,SOXL,10691.01,28.4,0.27,6.83,,
2025-10-29,10691.01,SOXL,10:17,SOXL,15:55,SOXL,SOXL,11298.68,607.67,5.68,1.54,49.715,49.505
2025-10-30,11298.68,SOXL,no change,no change,no change,no change,SOXL,10881.95,-416.73,-3.69,5.17,,
2025-10-31,10881.95,SOXL,no change,no change,no change,no change,SOXL,10978.01,96.06,0.88,4.33,,
