Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-412837,2026-03-10,69538.3,SOXL,no change,no change,no change,no change,SOXL,71100.37,1562.07,2.25,0.0,,
G1-412837,2026-03-11,71100.37,SOXL,no change,no change,15:55,SOXS,SOXS,73645.33,2544.96,3.58,0.0,,37.8201
G1-412837,2026-03-12,73645.33,SOXS,10:02,SOXS,15:55,SOXL,SOXL,79361.83,5716.5,7.76,0.0,40.685,50.09
G1-412837,2026-03-13,79361.83,SOXL,no change,no change,no change,no change,SOXL,79916.36,554.53,0.7,0.0,,
G1-412837,2026-03-16,79916.36,SOXL,15:13,SOXL,15:55,SOXL,SOXL,86260.48,6344.11,7.94,0.0,54.41,53.71
G1-412837,2026-03-17,86260.48,SOXL,no change,no change,no change,no change,SOXL,87995.0,1734.52,2.01,0.0,,
G1-412837,2026-03-18,87995.0,SOXL,no change,no change,no change,no change,SOXL,87465.01,-529.99,-0.6,0.6,,
G1-412837,2026-03-19,87465.01,SOXL,no change,no change,no change,no change,SOXL,88316.21,851.2,0.97,0.0,,
G1-412837,2026-03-20,88316.21,SOXL,no change,no change,no change,no change,SOXL,81498.56,-6817.65,-7.72,7.72,,
G1-412837,2026-03-23,81498.56,SOXL,10:50,SOXL,15:55,SOXS,SOXS,89214.1,7715.53,9.47,0.0,55.76,38.94
G1-412837,2026-03-24,89214.1,SOXS,11:24,SOXS,no change,no change,CASH,84987.73,-4226.37,-4.74,4.74,36.815,
G1-412837,2026-03-25,84987.73,CASH,no change,no change,15:55,SOXS,SOXS,84979.23,-8.5,-0.01,4.75,,36.015
G1-412837,2026-03-26,84979.23,SOXS,11:46,SOXS,15:55,SOXL,SOXL,92171.82,7192.59,8.46,0.0,38.99,48.99
G1-412837,2026-03-27,92171.82,SOXL,no change,no change,no change,no change,SOXL,87656.36,-4515.46,-4.9,4.9,,
G1-412837,2026-03-30,87656.36,SOXL,no change,no change,no change,no change,SOXL,76753.41,-10902.95,-12.44,16.73,,
G1-412837,2026-03-31,76753.41,SOXL,10:09,SOXL,15:55,SOXL,SOXL,82325.76,5572.36,7.26,10.68,43.81,47.945
G1-412837,2026-04-01,82325.76,SOXL,14:02,SOXL,15:55,SOXL,SOXL,90807.41,8481.64,10.3,1.48,52.8081,52.205
G1-412837,2026-04-02,90807.41,SOXL,no change,no change,no change,no change,SOXL,91781.49,974.09,1.07,0.42,,
G1-412837,2026-04-06,91781.49,SOXL,no change,no change,no change,no change,SOXL,95156.0,3374.51,3.68,0.0,,
G1-412837,2026-04-07,95156.0,SOXL,19:33,SOXL,15:55,SOXL,SOXL,109822.66,14666.66,15.41,0.0,63.06,56.375
G1-412837,2026-04-08,109822.66,SOXL,07:15,SOXL,15:55,SOXL,SOXL,127223.94,17401.28,15.84,0.0,65.3,67.35
G1-412837,2026-04-09,127223.94,SOXL,no change,no change,no change,no change,SOXL,135866.1,8642.16,6.79,0.0,,
G1-412837,2026-04-10,135866.1,SOXL,no change,no change,no change,no change,SOXL,144385.47,8519.38,6.27,0.0,,
