Window,Period,Variant,Start Equity,Final Equity,PnL ($),Return %,Max Drawdown %,Days
1m,2026-03-10 to 2026-04-10,FEV1-0001,10000.0,18475.06,8475.06,84.75,16.74,23
1m,2026-03-10 to 2026-04-10,fev1_best,10000.0,18822.69,8822.69,88.23,16.73,23
1m,2026-03-10 to 2026-04-10,runtime_switch_loop.py,10000.0,14216.81,4216.81,42.17,16.74,23
1m,2026-03-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,16120.99,6120.99,61.21,16.74,23
2m,2026-02-10 to 2026-04-10,FEV1-0001,10000.0,26294.49,16294.49,162.94,16.74,42
2m,2026-02-10 to 2026-04-10,fev1_best,10000.0,26789.25,16789.25,167.89,16.73,42
2m,2026-02-10 to 2026-04-10,runtime_switch_loop.py,10000.0,21455.08,11455.08,114.55,16.74,42
2m,2026-02-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,22944.07,12944.07,129.44,16.74,42
3m,2026-01-12 to 2026-04-10,FEV1-0001,10000.0,28074.62,18074.62,180.75,23.99,62
3m,2026-01-12 to 2026-04-10,fev1_best,10000.0,28602.87,18602.87,186.03,23.99,62
3m,2026-01-12 to 2026-04-10,runtime_switch_loop.py,10000.0,20512.46,10512.46,105.12,22.08,62
3m,2026-01-12 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,24497.38,14497.38,144.97,23.99,62
4m,2025-12-10 to 2026-04-10,FEV1-0001,10000.0,29745.66,19745.66,197.46,28.08,83
4m,2025-12-10 to 2026-04-10,fev1_best,10000.0,30305.36,20305.36,203.05,28.08,83
4m,2025-12-10 to 2026-04-10,runtime_switch_loop.py,10000.0,15789.54,5789.54,57.9,40.02,83
4m,2025-12-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,25955.5,15955.5,159.55,28.08,83
5m,2025-11-10 to 2026-04-10,FEV1-0001,10000.0,38728.82,28728.82,287.29,28.08,104
5m,2025-11-10 to 2026-04-10,fev1_best,10000.0,39457.54,29457.54,294.58,28.08,104
5m,2025-11-10 to 2026-04-10,runtime_switch_loop.py,10000.0,20557.96,10557.96,105.58,40.02,104
5m,2025-11-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,33794.03,23794.03,237.94,28.08,104
6m,2025-10-10 to 2026-04-10,FEV1-0001,10000.0,39348.12,29348.12,293.48,31.88,125
6m,2025-10-10 to 2026-04-10,fev1_best,10000.0,41321.98,31321.98,313.22,30.82,125
6m,2025-10-10 to 2026-04-10,runtime_switch_loop.py,10000.0,24125.2,14125.2,141.25,40.02,125
6m,2025-10-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,34334.41,24334.41,243.34,31.88,125
1y,2025-04-10 to 2026-04-10,FEV1-0001,10000.0,58544.36,48544.36,485.44,36.98,251
1y,2025-04-10 to 2026-04-10,fev1_best,10000.0,64662.31,54662.31,546.62,35.04,251
1y,2025-04-10 to 2026-04-10,runtime_switch_loop.py,10000.0,22577.3,12577.3,125.77,47.46,251
1y,2025-04-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,51084.7,41084.7,410.85,36.98,251
2y,2024-04-10 to 2026-04-10,FEV1-0001,10000.0,22854.07,12854.07,128.54,81.28,502
2y,2024-04-10 to 2026-04-10,fev1_best,10000.0,29984.4,19984.4,199.84,79.12,502
2y,2024-04-10 to 2026-04-10,runtime_switch_loop.py,10000.0,20659.68,10659.68,106.6,59.49,502
2y,2024-04-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,22923.49,12923.49,129.23,78.99,502
3y,2023-04-10 to 2026-04-10,FEV1-0001,10000.0,29373.94,19373.94,193.74,81.28,754
3y,2023-04-10 to 2026-04-10,fev1_best,10000.0,38711.8,28711.8,287.12,79.12,754
3y,2023-04-10 to 2026-04-10,runtime_switch_loop.py,10000.0,19988.3,9988.3,99.88,73.63,754
3y,2023-04-10 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,29463.16,19463.16,194.63,78.99,754
5y,2021-04-12 to 2026-04-10,FEV1-0001,10000.0,30989.48,20989.48,209.89,81.28,1256
5y,2021-04-12 to 2026-04-10,fev1_best,10000.0,44060.03,34060.03,340.6,79.12,1256
5y,2021-04-12 to 2026-04-10,runtime_switch_loop.py,10000.0,20531.01,10531.01,105.31,73.63,1256
5y,2021-04-12 to 2026-04-10,runtime_switch_loop_v2_controlplane.py,10000.0,28665.83,18665.83,186.66,78.99,1256
