variant,window,start_equity,final_equity,pnl_usd,return_pct,max_dd_pct
C_sp4.7_rv75_tr1.10_th1.20,1m,10000.0,20742.69,10742.69,107.43,16.73
G1-412837,1m,10000.0,20742.69,10742.69,107.43,16.73
C_sp4.7_rv75_tr1.10_th1.20,2m,10000.0,27349.9,17349.9,173.5,24.45
G1-412837,2m,10000.0,27285.14,17285.14,172.85,16.73
C_sp4.7_rv75_tr1.10_th1.20,3m,10000.0,31511.49,21511.49,215.11,33.31
G1-412837,3m,10000.0,31436.88,21436.88,214.37,24.69
C_sp4.7_rv75_tr1.10_th1.20,4m,10000.0,36226.02,26226.02,262.26,56.23
G1-412837,4m,10000.0,36140.22,26140.22,261.4,28.08
C_sp4.7_rv75_tr1.10_th1.20,5m,10000.0,52668.81,42668.81,426.69,66.2
G1-412837,5m,10000.0,70214.09,60214.09,602.14,28.08
C_sp4.7_rv75_tr1.10_th1.20,6m,10000.0,42749.84,32749.84,327.5,66.2
G1-412837,6m,10000.0,68276.72,58276.72,582.77,31.08
C_sp4.7_rv75_tr1.10_th1.20,1y,10000.0,93383.01,83383.01,833.83,78.5
G1-412837,1y,10000.0,157718.59,147718.59,1477.19,61.7
C_sp4.7_rv75_tr1.10_th1.20,2y,10000.0,39523.89,29523.89,295.24,81.52
G1-412837,2y,10000.0,108471.43,98471.43,984.71,71.09
