Date,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %,Equity Diff (best-0001),PnL Diff (best-0001)
2026-02-27,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,0.0,0.0
2026-03-02,9999.56,0.56,0.01,0.0,9999.56,0.56,0.01,0.0,0.0,0.0
2026-03-03,11499.69,1500.14,15.0,0.0,11499.69,1500.14,15.0,0.0,0.0,0.0
2026-03-04,10749.84,-749.86,-6.52,6.52,10749.84,-749.86,-6.52,6.52,0.0,0.0
2026-03-05,11567.3,817.47,7.6,0.0,11567.3,817.47,7.6,0.0,0.0,0.0
2026-03-06,12286.97,719.67,6.22,0.0,12286.97,719.67,6.22,0.0,0.0,0.0
2026-03-09,13584.72,1297.75,10.56,0.0,13584.72,1297.75,10.56,0.0,0.0,0.0
2026-03-10,14517.66,932.94,6.87,0.0,14517.66,932.94,6.87,0.0,0.0,0.0
2026-03-11,15037.3,519.64,3.58,0.0,15037.3,519.64,3.58,0.0,0.0,0.0
2026-03-12,16237.66,1200.36,7.98,0.0,16237.66,1200.36,7.98,0.0,0.0,0.0
2026-03-13,16351.12,113.46,0.7,0.0,16351.12,113.46,0.7,0.0,0.0,0.0
2026-03-16,17589.95,1238.83,7.58,0.0,17589.95,1238.83,7.58,0.0,0.0,0.0
2026-03-17,17943.65,353.7,2.01,0.0,17943.65,353.7,2.01,0.0,0.0,0.0
2026-03-18,17835.58,-108.07,-0.6,0.6,17835.58,-108.07,-0.6,0.6,0.0,0.0
2026-03-19,18009.15,173.57,0.97,0.0,18009.15,173.57,0.97,0.0,0.0,0.0
2026-03-20,16618.92,-1390.23,-7.72,7.72,16618.92,-1390.23,-7.72,7.72,0.0,0.0
2026-03-23,17777.0,1158.08,6.97,1.29,17777.0,1158.08,6.97,1.29,0.0,0.0
2026-03-24,17260.87,-516.13,-2.9,4.15,16881.95,-895.06,-5.03,6.26,-378.91999999999825,-378.92999999999995
2026-03-25,16568.51,-692.37,-4.01,8.0,16880.26,-1.69,-0.01,6.27,311.75,690.68
2026-03-26,18007.6,1439.1,8.69,0.01,18346.44,1466.18,8.69,0.0,338.84000000000015,27.080000000000155
2026-03-27,17125.42,-882.19,-4.9,4.91,17447.65,-898.78,-4.9,4.9,322.2300000000032,-16.589999999999918
2026-03-30,14995.31,-2130.11,-12.44,16.74,15277.46,-2170.19,-12.44,16.73,282.14999999999964,-40.07999999999993
2026-03-31,16116.87,1121.56,7.48,10.51,16420.13,1142.67,7.48,10.5,303.2600000000002,21.110000000000127
2026-04-01,17186.23,1069.36,6.64,4.57,17509.61,1089.48,6.64,4.56,323.380000000001,20.12000000000012
2026-04-02,17370.59,184.36,1.07,3.55,17697.44,187.82,1.07,3.54,326.84999999999854,3.4599999999999795
2026-04-06,18009.25,638.66,3.68,0.0,18348.11,650.68,3.68,0.0,338.8600000000006,12.019999999999982
2026-04-07,20827.57,2818.32,15.65,0.0,21219.46,2871.35,15.65,0.0,391.8899999999994,53.029999999999745
2026-04-08,23635.85,2808.28,13.48,0.0,24080.58,2861.12,13.48,0.0,444.7300000000032,52.83999999999969
2026-04-09,25241.4,1605.55,6.79,0.0,25716.35,1635.76,6.79,0.0,474.9499999999971,30.210000000000036
2026-04-10,26824.14,1582.74,6.27,0.0,27328.87,1612.52,6.27,0.0,504.72999999999956,29.779999999999973
