Date,runtime_switch_loop_v1 Day End Equity,runtime_switch_loop_v1 PnL ($),runtime_switch_loop_v1 Return %,runtime_switch_loop_v1 Drawdown %,runtime_switch_loop_v2_controlplane Day End Equity,runtime_switch_loop_v2_controlplane PnL ($),runtime_switch_loop_v2_controlplane Return %,runtime_switch_loop_v2_controlplane Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %
2025-04-10,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01
2025-04-11,9419.68,-579.32,-5.79,5.8,9419.68,-579.32,-5.79,5.8,9419.68,-579.32,-5.79,5.8
2025-04-14,9236.06,-183.62,-1.95,7.64,9236.06,-183.62,-1.95,7.64,9236.06,-183.62,-1.95,7.64
2025-04-15,9298.38,62.32,0.67,7.02,9298.38,62.32,0.67,7.02,9298.38,62.32,0.67,7.02
2025-04-16,10051.79,753.41,8.1,0.0,10051.79,753.41,8.1,0.0,10051.79,753.41,8.1,0.0
2025-04-17,10171.22,119.43,1.19,0.0,10171.22,119.43,1.19,0.0,10171.22,119.43,1.19,0.0
2025-04-21,10787.58,616.36,6.06,0.0,10787.58,616.36,6.06,0.0,10787.58,616.36,6.06,0.0
2025-04-22,10311.03,-476.55,-4.42,4.42,10311.03,-476.55,-4.42,4.42,10311.03,-476.55,-4.42,4.42
2025-04-23,9704.06,-606.97,-5.89,10.04,9704.06,-606.97,-5.89,10.04,9704.06,-606.97,-5.89,10.04
2025-04-24,9062.69,-641.37,-6.61,15.99,9062.69,-641.37,-6.61,15.99,9062.69,-641.37,-6.61,15.99
2025-04-25,8832.99,-229.69,-2.53,18.12,8832.99,-229.69,-2.53,18.12,8832.99,-229.69,-2.53,18.12
2025-04-28,8860.22,27.22,0.31,17.87,8860.22,27.22,0.31,17.87,8860.22,27.22,0.31,17.87
2025-04-29,8742.85,-117.37,-1.32,18.95,8742.85,-117.37,-1.32,18.95,8742.85,-117.37,-1.32,18.95
2025-04-30,8754.38,11.54,0.13,18.85,8754.38,11.54,0.13,18.85,8754.38,11.54,0.13,18.85
2025-05-01,8804.88,50.5,0.58,18.38,8804.88,50.5,0.58,18.38,8804.88,50.5,0.58,18.38
2025-05-02,8954.9,150.02,1.7,16.99,8954.9,150.02,1.7,16.99,8954.9,150.02,1.7,16.99
2025-05-05,8794.11,-160.79,-1.8,18.48,8794.11,-160.79,-1.8,18.48,8794.11,-160.79,-1.8,18.48
2025-05-06,8575.44,-218.67,-2.49,20.51,8575.44,-218.67,-2.49,20.51,8575.44,-218.67,-2.49,20.51
2025-05-07,8513.81,-61.63,-0.72,21.08,8513.81,-61.63,-0.72,21.08,8513.81,-61.63,-0.72,21.08
2025-05-08,8555.88,42.07,0.49,20.69,8555.88,42.07,0.49,20.69,8555.88,42.07,0.49,20.69
2025-05-09,8609.7,53.82,0.63,20.19,8609.7,53.82,0.63,20.19,8609.7,53.82,0.63,20.19
2025-05-12,9412.89,803.19,9.33,12.74,9412.89,803.19,9.33,12.74,9412.89,803.19,9.33,12.74
2025-05-13,9911.27,498.38,5.29,8.12,9911.27,498.38,5.29,8.12,9911.27,498.38,5.29,8.12
2025-05-14,10010.18,98.91,1.0,7.21,10010.18,98.91,1.0,7.21,10010.18,98.91,1.0,7.21
2025-05-15,9888.24,-121.94,-1.22,8.34,9888.24,-121.94,-1.22,8.34,9888.24,-121.94,-1.22,8.34
2025-05-16,9950.9,62.66,0.63,7.76,9950.9,62.66,0.63,7.76,9950.9,62.66,0.63,7.76
2025-05-19,9819.53,-131.37,-1.32,8.97,9819.53,-131.37,-1.32,8.97,9819.53,-131.37,-1.32,8.97
2025-05-20,9695.2,-124.33,-1.27,10.13,9695.2,-124.33,-1.27,10.13,9695.2,-124.33,-1.27,10.13
2025-05-21,9309.26,-385.94,-3.98,13.7,9309.26,-385.94,-3.98,13.7,9309.26,-385.94,-3.98,13.7
2025-05-22,9190.37,-118.89,-1.28,14.81,9190.37,-118.89,-1.28,14.81,9190.37,-118.89,-1.28,14.81
2025-05-23,8911.47,-278.9,-3.03,17.39,8911.47,-278.9,-3.03,17.39,8911.47,-278.9,-3.03,17.39
2025-05-27,9455.65,544.19,6.11,12.35,9455.65,544.19,6.11,12.35,9455.65,544.19,6.11,12.35
2025-05-28,9349.87,-105.79,-1.12,13.33,9349.87,-105.79,-1.12,13.33,9349.87,-105.79,-1.12,13.33
2025-05-29,9753.33,403.47,4.32,9.59,9753.33,403.47,4.32,9.59,9753.33,403.47,4.32,9.59
2025-05-30,9549.78,-203.55,-2.09,11.47,9549.78,-203.55,-2.09,11.47,9549.78,-203.55,-2.09,11.47
2025-06-02,9637.75,87.97,0.92,10.66,9637.75,87.97,0.92,10.66,9637.75,87.97,0.92,10.66
2025-06-03,10007.1,369.36,3.83,7.23,10007.1,369.36,3.83,7.23,10007.1,369.36,3.83,7.23
2025-06-04,10112.25,105.14,1.05,6.26,10112.25,105.14,1.05,6.26,10112.25,105.14,1.05,6.26
2025-06-05,10040.74,-71.5,-0.71,6.92,10040.74,-71.5,-0.71,6.92,10040.74,-71.5,-0.71,6.92
2025-06-06,10291.52,250.77,2.5,4.6,10291.52,250.77,2.5,4.6,10291.52,250.77,2.5,4.6
2025-06-09,10570.66,279.14,2.71,2.01,10570.66,279.14,2.71,2.01,10570.66,279.14,2.71,2.01
2025-06-10,10808.93,238.27,2.25,0.0,10808.93,238.27,2.25,0.0,10808.93,238.27,2.25,0.0
2025-06-11,10731.87,-77.07,-0.71,0.71,10731.87,-77.07,-0.71,0.71,10731.87,-77.07,-0.71,0.71
2025-06-12,10756.77,24.91,0.23,0.48,10756.77,24.91,0.23,0.48,10756.77,24.91,0.23,0.48
2025-06-13,10164.54,-592.23,-5.51,5.96,10164.54,-592.23,-5.51,5.96,10164.54,-592.23,-5.51,5.96
2025-06-16,10685.34,520.8,5.12,1.14,10685.34,520.8,5.12,1.14,10685.34,520.8,5.12,1.14
2025-06-17,10441.29,-244.06,-2.28,3.4,10441.29,-244.06,-2.28,3.4,10441.29,-244.06,-2.28,3.4
2025-06-18,10434.74,-6.55,-0.06,3.46,10434.74,-6.55,-0.06,3.46,10434.74,-6.55,-0.06,3.46
2025-06-20,10377.56,-57.18,-0.55,3.99,10377.56,-57.18,-0.55,3.99,10377.56,-57.18,-0.55,3.99
2025-06-23,10447.24,69.69,0.67,3.35,10447.24,69.69,0.67,3.35,10447.24,69.69,0.67,3.35
2025-06-24,11098.04,650.8,6.23,0.0,11098.82,651.58,6.24,0.0,11098.82,651.58,6.24,0.0
2025-06-25,10846.56,-251.48,-2.27,2.27,11350.98,252.16,2.27,0.0,11350.98,252.16,2.27,0.0
2025-06-26,11105.23,258.67,2.38,0.0,11621.68,270.7,2.38,0.0,11621.68,270.7,2.38,0.0
2025-06-27,11054.35,-50.88,-0.46,0.46,11568.43,-53.25,-0.46,0.46,11568.43,-53.25,-0.46,0.46
2025-06-30,11094.52,40.17,0.36,0.1,11610.47,42.04,0.36,0.1,11610.47,42.04,0.36,0.1
2025-07-01,10963.69,-130.83,-1.18,1.27,11473.55,-136.92,-1.18,1.27,11473.55,-136.92,-1.18,1.27
2025-07-02,11522.94,559.25,5.1,0.0,12058.81,585.26,5.1,0.0,12058.81,585.26,5.1,0.0
2025-07-03,11644.49,121.55,1.05,0.0,12186.01,127.2,1.05,0.0,12186.01,127.2,1.05,0.0
2025-07-07,11047.65,-596.83,-5.13,5.13,11561.42,-624.59,-5.13,5.13,11561.42,-624.59,-5.13,5.13
2025-07-08,11703.78,656.13,5.94,0.0,12248.07,686.64,5.94,0.0,12248.07,686.64,5.94,0.0
2025-07-09,11772.5,68.72,0.59,0.0,12319.98,71.91,0.59,0.0,12319.98,71.91,0.59,0.0
2025-07-10,12126.77,354.27,3.01,0.0,12690.72,370.74,3.01,0.0,12690.72,370.74,3.01,0.0
2025-07-11,12109.04,-17.72,-0.15,0.15,12672.17,-18.55,-0.15,0.15,12672.17,-18.55,-0.15,0.15
2025-07-14,11719.3,-389.74,-3.22,3.36,12264.31,-407.87,-3.22,3.36,12264.31,-407.87,-3.22,3.36
2025-07-15,12148.89,429.59,3.67,0.0,12713.87,449.57,3.67,0.0,12713.87,449.57,3.67,0.0
2025-07-16,11927.48,-221.41,-1.82,1.82,12482.16,-231.71,-1.82,1.82,12482.16,-231.71,-1.82,1.82
2025-07-17,12104.67,177.19,1.49,0.36,12667.59,185.43,1.49,0.36,12667.59,185.43,1.49,0.36
2025-07-18,12124.55,19.88,0.16,0.2,12688.4,20.81,0.16,0.2,12688.4,20.81,0.16,0.2
2025-07-21,12184.39,59.84,0.49,0.0,12751.02,62.63,0.49,0.0,12751.02,62.63,0.49,0.0
2025-07-22,11666.05,-518.33,-4.25,4.25,12208.58,-542.44,-4.25,4.25,12208.58,-542.44,-4.25,4.25
2025-07-23,11342.8,-323.26,-2.77,6.91,11870.29,-338.29,-2.77,6.91,11870.29,-338.29,-2.77,6.91
2025-07-24,11353.36,10.56,0.09,6.82,11881.35,11.05,0.09,6.82,11881.35,11.05,0.09,6.82
2025-07-25,11395.09,41.72,0.37,6.48,11925.01,43.66,0.37,6.48,11925.01,43.66,0.37,6.48
2025-07-28,10750.56,-644.53,-5.66,11.77,11250.51,-674.5,-5.66,11.77,11250.51,-674.5,-5.66,11.77
2025-07-29,10800.42,49.86,0.46,11.36,11302.69,52.18,0.46,11.36,11302.69,52.18,0.46,11.36
2025-07-30,10992.79,192.37,1.78,9.78,11504.01,201.32,1.78,9.78,11504.01,201.32,1.78,9.78
2025-07-31,9901.13,-1091.66,-9.93,18.74,10361.58,-1142.43,-9.93,18.74,10361.58,-1142.43,-9.93,18.74
2025-08-01,10204.94,303.81,3.07,16.25,10679.52,317.94,3.07,16.25,10679.52,317.94,3.07,16.25
2025-08-04,10568.96,364.02,3.57,13.26,11060.47,380.95,3.57,13.26,11060.47,380.95,3.57,13.26
2025-08-05,10724.57,155.61,1.47,11.98,11223.32,162.84,1.47,11.98,11223.32,162.84,1.47,11.98
2025-08-06,10417.5,-307.07,-2.86,14.5,10901.97,-321.35,-2.86,14.5,10901.97,-321.35,-2.86,14.5
2025-08-07,10872.7,455.2,4.37,10.77,11378.33,476.37,4.37,10.77,11378.33,476.37,4.37,10.77
2025-08-08,11197.22,324.52,2.98,8.1,11717.95,339.61,2.98,8.1,11717.95,339.61,2.98,8.1
2025-08-11,11092.7,-104.52,-0.93,8.96,11608.56,-109.38,-0.93,8.96,11608.56,-109.38,-0.93,8.96
2025-08-12,12220.88,1128.18,10.17,0.0,12789.21,1180.65,10.17,0.0,12789.21,1180.65,10.17,0.0
2025-08-13,12764.19,543.31,4.45,0.0,13360.46,571.24,4.47,0.0,13360.46,571.24,4.47,0.0
2025-08-14,12675.16,-89.03,-0.7,0.7,13459.32,98.87,0.74,0.0,13459.32,98.87,0.74,0.0
2025-08-15,13619.52,944.36,7.45,0.0,12495.18,-964.14,-7.16,7.16,12495.18,-964.14,-7.16,7.16
2025-08-18,13681.63,62.12,0.46,0.0,12552.17,56.99,0.46,6.74,12552.17,56.99,0.46,6.74
2025-08-19,12991.73,-689.9,-5.04,5.04,11919.22,-632.95,-5.04,11.44,11919.22,-632.95,-5.04,11.44
2025-08-20,12817.06,-174.67,-1.34,6.32,11758.97,-160.25,-1.34,12.63,11758.97,-160.25,-1.34,12.63
2025-08-21,12635.68,-181.38,-1.42,7.64,11592.57,-166.41,-1.42,13.87,11592.57,-166.41,-1.42,13.87
2025-08-22,13748.41,1112.72,8.81,0.0,12613.43,1020.87,8.81,6.28,12613.43,1020.87,8.81,6.28
2025-08-25,13728.35,-20.06,-0.15,0.15,12595.03,-18.4,-0.15,6.42,12595.03,-18.4,-0.15,6.42
2025-08-26,14036.49,308.14,2.24,0.0,12877.73,282.7,2.24,4.32,12877.73,282.7,2.24,4.32
