Date,runtime_switch_loop.py Day End Equity,runtime_switch_loop.py PnL ($),runtime_switch_loop.py Return %,runtime_switch_loop.py Drawdown %,runtime_switch_loop_v2_controlplane.py Day End Equity,runtime_switch_loop_v2_controlplane.py PnL ($),runtime_switch_loop_v2_controlplane.py Return %,runtime_switch_loop_v2_controlplane.py Drawdown %,FEV1-0001 Day End Equity,FEV1-0001 PnL ($),FEV1-0001 Return %,FEV1-0001 Drawdown %,fev1_best Day End Equity,fev1_best PnL ($),fev1_best Return %,fev1_best Drawdown %
2021-04-12,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01,9999.0,-1.0,-0.01,0.01
2021-04-13,10034.32,35.32,0.35,0.0,9966.03,-32.97,-0.33,0.34,9966.03,-32.97,-0.33,0.34,9966.03,-32.97,-0.33,0.34
2021-04-14,10421.61,387.29,3.86,0.0,9583.78,-382.25,-3.84,4.16,9583.78,-382.25,-3.84,4.16,9583.78,-382.25,-3.84,4.16
2021-04-15,9858.28,-563.33,-5.41,5.41,10097.04,513.27,5.36,0.0,10097.04,513.27,5.36,0.0,10097.04,513.27,5.36,0.0
2021-04-16,9999.12,140.84,1.43,4.05,9950.78,-146.26,-1.45,1.45,9950.78,-146.26,-1.45,1.45,9950.78,-146.26,-1.45,1.45
2021-04-19,10786.72,787.6,7.88,0.0,9165.4,-785.38,-7.89,9.23,9165.4,-785.38,-7.89,9.23,9165.4,-785.38,-7.89,9.23
2021-04-20,11233.28,446.56,4.14,0.0,9544.84,379.44,4.14,5.47,9544.84,379.44,4.14,5.47,9544.84,379.44,4.14,5.47
2021-04-21,10387.58,-845.7,-7.53,7.53,8824.49,-720.35,-7.55,12.6,8824.49,-720.35,-7.55,12.6,8824.49,-720.35,-7.55,12.6
2021-04-22,11078.83,691.25,6.65,1.37,8231.44,-593.05,-6.72,18.48,8231.44,-593.05,-6.72,18.48,8231.44,-593.05,-6.72,18.48
2021-04-23,10409.88,-668.95,-6.04,7.33,7734.42,-497.02,-6.04,23.4,7734.42,-497.02,-6.04,23.4,7819.87,-411.57,-5.0,22.55
2021-04-26,9893.49,-516.39,-4.96,11.93,7349.28,-385.14,-4.98,27.21,7349.28,-385.14,-4.98,27.21,7819.09,-0.78,-0.01,22.56
2021-04-27,10016.72,123.23,1.25,10.83,7249.67,-99.6,-1.36,28.2,7249.67,-99.6,-1.36,28.2,7713.12,-105.97,-1.36,23.61
2021-04-28,10445.08,428.37,4.28,7.02,7559.71,310.03,4.28,25.13,7559.71,310.03,4.28,25.13,8042.97,329.85,4.28,20.34
2021-04-29,10326.79,-118.29,-1.13,8.07,7474.09,-85.62,-1.13,25.98,7474.09,-85.62,-1.13,25.98,7951.88,-91.09,-1.13,21.25
2021-04-30,11178.59,851.8,8.25,0.49,8090.59,616.5,8.25,19.87,8090.59,616.5,8.25,19.87,8607.79,655.91,8.25,14.75
2021-05-03,11524.8,346.21,3.1,0.0,8341.16,250.58,3.1,17.39,8341.16,250.58,3.1,17.39,8874.38,266.59,3.1,12.11
2021-05-04,12193.75,668.95,5.8,0.0,8825.32,484.16,5.8,12.59,8825.32,484.16,5.8,12.59,9389.49,515.11,5.8,7.01
2021-05-05,11856.81,-336.94,-2.76,2.76,8581.46,-243.86,-2.76,15.01,8581.46,-243.86,-2.76,15.01,9130.04,-259.45,-2.76,9.58
2021-05-06,11653.9,-202.91,-1.71,4.43,8434.6,-146.86,-1.71,16.46,8434.6,-146.86,-1.71,16.46,8973.79,-156.25,-1.71,11.12
2021-05-07,11044.91,-608.99,-5.23,9.42,7993.84,-440.76,-5.23,20.83,7993.84,-440.76,-5.23,20.83,8504.85,-468.94,-5.23,15.77
2021-05-10,12516.5,1471.59,13.32,0.0,9058.91,1065.07,13.32,10.28,9058.91,1065.07,13.32,10.28,9638.01,1133.16,13.32,4.55
